key,source_text,target_text
block.pneumaticcraft.advanced_air_compressor,Advanced Air Compressor,高度なエアコンプレッサー
block.pneumaticcraft.advanced_liquid_compressor,Advanced Liquid Compressor,高度なリキッドコンプレッサー
block.pneumaticcraft.advanced_pressure_tube,Advanced Pressure Tube,高度なプレッシャーチューブ
block.pneumaticcraft.aerial_interface,Aerial Interface,空気インターフェース
block.pneumaticcraft.air_cannon,Air Cannon,空気砲
block.pneumaticcraft.air_compressor,Air Compressor,空気圧縮機
block.pneumaticcraft.aphorism_tile,Aphorism Tile,格言タイル
block.pneumaticcraft.assembly_controller,Assembly Controller,アセンブリコントローラ
block.pneumaticcraft.assembly_drill,Assembly Drill,組み立てドリル
block.pneumaticcraft.assembly_io_unit,Assembly IO Unit,アセンブリIOユニット
block.pneumaticcraft.assembly_io_unit_export,Assembly IO Unit (export),組立IOユニット(エクスポート)
block.pneumaticcraft.assembly_io_unit_import,Assembly IO Unit (import),組立IOユニット(インポート)
block.pneumaticcraft.assembly_laser,Assembly Laser,組み立てレーザー
block.pneumaticcraft.assembly_platform,Assembly Platform,アセンブリプラットフォーム
block.pneumaticcraft.biodiesel,Biodiesel,バイオディーゼル
block.pneumaticcraft.charging_station,Charging Station,充電ステーション
block.pneumaticcraft.charging_station.upgrade_only,Charging Station (Upgrades Only),充填ステーション（アップグレード専用）
block.pneumaticcraft.compressed_brick_pillar,Compressed Brick Pillar,圧縮レンガの柱
block.pneumaticcraft.compressed_brick_slab,Compressed Brick Slab,圧縮レンガスラブ
block.pneumaticcraft.compressed_brick_stairs,Compressed Brick Stairs,圧縮レンガの階段
block.pneumaticcraft.compressed_brick_tile,Compressed Brick Tile,圧縮レンガのタイル
block.pneumaticcraft.compressed_brick_wall,Compressed Brick Wall,圧縮レンガの塀
block.pneumaticcraft.compressed_bricks,Compressed Bricks,圧縮レンガ
block.pneumaticcraft.compressed_iron_block,Block of Compressed Iron,圧縮鉄のブロック
block.pneumaticcraft.compressed_stone,Compressed Stone,圧縮石
block.pneumaticcraft.compressed_stone_slab,Compressed Stone Slab,圧縮された石のスラブ
block.pneumaticcraft.creative_compressed_iron_block,Creative Compressed Iron Block,クリエイティブ圧縮鉄ブロック
block.pneumaticcraft.creative_compressor,Creative Compressor,クリエイティブコンプレッサー
block.pneumaticcraft.diesel,Diesel,ディーゼル
block.pneumaticcraft.display_shelf,Display Shelf,ディスプレイ棚
block.pneumaticcraft.display_table,Display Table,ディスプレイテーブル
block.pneumaticcraft.drill_pipe,Drill Pipe,ドリルパイプ
block.pneumaticcraft.drone_interface,Drone Interface,ドローンインターフェース
block.pneumaticcraft.electric_compressor,Electric Compressor,電気コンプレッサー
block.pneumaticcraft.electrostatic_compressor,Electrostatic Compressor,電気静的圧縮機
block.pneumaticcraft.elevator_base,Elevator Base,エレベーターベース
block.pneumaticcraft.elevator_caller,Elevator Caller,エレベーター呼び出し装置
block.pneumaticcraft.elevator_frame,Elevator Frame,エレベーターの枠
block.pneumaticcraft.empty_spawner,Empty Spawner,空のスポナー
block.pneumaticcraft.etching_acid,Etching Acid,エッチング酸
block.pneumaticcraft.etching_tank,Etching Tank,エッチングタンク
block.pneumaticcraft.fluid_mixer,Fluid Mixer,液体ミキサー
block.pneumaticcraft.flux_compressor,Flux Compressor,フラックスコンプレッサー
block.pneumaticcraft.fuel,Gasoline,ガソリン
block.pneumaticcraft.gas_lift,Gas Lift,ガスリフト
block.pneumaticcraft.heat_pipe,Heat Pipe,ヒートパイプ
block.pneumaticcraft.heat_sink,Heat Sink,ヒートシンク
block.pneumaticcraft.huge_tank,Huge Fluid Tank,巨大流体タンク
block.pneumaticcraft.kerosene,Kerosene,灯油
block.pneumaticcraft.kerosene_lamp,Kerosene Lamp,灯油ランプ
block.pneumaticcraft.large_tank,Large Fluid Tank,大型流体タンク
block.pneumaticcraft.liquid_compressor,Liquid Compressor,液体コンプレッサー
block.pneumaticcraft.liquid_hopper,Liquid Hopper,液体ホッパー
block.pneumaticcraft.lpg,LPG,液化石油ガス
block.pneumaticcraft.lubricant,Lubricant,潤滑油
block.pneumaticcraft.medium_tank,Medium Fluid Tank,中型流体タンク
block.pneumaticcraft.oil,Crude Oil,原油
block.pneumaticcraft.omnidirectional_hopper,Omnidirectional Hopper,全方位ホッパー
block.pneumaticcraft.plastic,Molten Plastic,溶融プラスチック
block.pneumaticcraft.plastic_brick_black,Black Plastic Construction Brick™,黒色のプラスチック製レンガ™
block.pneumaticcraft.plastic_brick_blue,Blue Plastic Construction Brick™,青色のプラスチック製レンガ™
block.pneumaticcraft.plastic_brick_brown,Brown Plastic Construction Brick™,茶色のプラスチック製レンガ™
block.pneumaticcraft.plastic_brick_cyan,Cyan Plastic Construction Brick™,青緑色のプラスチック製レンガ™
block.pneumaticcraft.plastic_brick_gray,Gray Plastic Construction Brick™,灰色のプラスチック製レンガ™
block.pneumaticcraft.plastic_brick_green,Green Plastic Construction Brick™,緑色のプラスチック製レンガ™
block.pneumaticcraft.plastic_brick_light_blue,Light Blue Plastic Construction Brick™,空色のプラスチック製レンガ™
block.pneumaticcraft.plastic_brick_light_gray,Light Gray Plastic Construction Brick™,薄灰色のプラスチック製レンガ™
block.pneumaticcraft.plastic_brick_lime,Lime Plastic Construction Brick™,黄緑色のプラスチック製レンガ™
block.pneumaticcraft.plastic_brick_magenta,Magenta Plastic Construction Brick™,赤紫色のプラスチック製レンガ™
block.pneumaticcraft.plastic_brick_orange,Orange Plastic Construction Brick™,橙色のプラスチック製レンガ™
block.pneumaticcraft.plastic_brick_pink,Pink Plastic Construction Brick™,桃色のプラスチック製レンガ™
block.pneumaticcraft.plastic_brick_purple,Purple Plastic Construction Brick™,紫色のプラスチック製レンガ™
block.pneumaticcraft.plastic_brick_red,Red Plastic Construction Brick™,赤色のプラスチック製レンガ™
block.pneumaticcraft.plastic_brick_white,White Plastic Construction Brick™,白色のプラスチック製レンガ™
block.pneumaticcraft.plastic_brick_yellow,Yellow Plastic Construction Brick™,黄色のプラスチック製レンガ™
block.pneumaticcraft.pneumatic_door,Pneumatic Door,気動力ドア
block.pneumaticcraft.pneumatic_door_base,Pneumatic Door Base,気動力ドアベース
block.pneumaticcraft.pneumatic_dynamo,Pneumatic Dynamo,空気圧発電機
block.pneumaticcraft.pneumatic_generator,Pneumatic Generator,気動力発電機
block.pneumaticcraft.pressure_chamber_glass,Pressure Chamber Glass,圧力室のガラス
block.pneumaticcraft.pressure_chamber_interface,Pressure Chamber Interface,圧力チャンバーインターフェース
block.pneumaticcraft.pressure_chamber_valve,Pressure Chamber Valve,圧力チャンバーバルブ
block.pneumaticcraft.pressure_chamber_wall,Pressure Chamber Wall,圧力チャンバーウォール
block.pneumaticcraft.pressure_tube,Pressure Tube,圧力管
block.pneumaticcraft.pressurized_spawner,Pressurized Spawner,加圧スポナー
block.pneumaticcraft.programmable_controller,Programmable Controller,プログラマブルコントローラー
block.pneumaticcraft.programmer,Programmer,プログラマー
block.pneumaticcraft.refinery,Refinery Controller,製油所コントローラー
block.pneumaticcraft.refinery_output,Refinery Output,製油所出力装置
block.pneumaticcraft.reinforced_brick_pillar,Reinforced Brick Pillar,強化されたレンガの柱
block.pneumaticcraft.reinforced_brick_slab,Reinforced Brick Slab,強化されたレンガのハーフブロック
block.pneumaticcraft.reinforced_brick_stairs,Reinforced Brick Stairs,強化されたレンガの階段
block.pneumaticcraft.reinforced_brick_tile,Reinforced Brick Tile,強化されたレンガのタイル
block.pneumaticcraft.reinforced_brick_wall,Reinforced Brick Wall,強化されたレンガの塀
block.pneumaticcraft.reinforced_bricks,Reinforced Bricks,強化されたレンガ
block.pneumaticcraft.reinforced_chest,Reinforced Chest,強化されたチェスト
block.pneumaticcraft.reinforced_stone,Reinforced Stone,強化石
block.pneumaticcraft.reinforced_stone_slab,Reinforced Stone Slab,強化された石のハーフブロック
block.pneumaticcraft.security_station,Security Station,セキュリティステーション
block.pneumaticcraft.sentry_turret,Sentry Turret,番兵タレット
block.pneumaticcraft.small_tank,Small Fluid Tank,小型流体タンク
block.pneumaticcraft.smart_chest,Smart Chest,スマートチェスト
block.pneumaticcraft.spawner_extractor,Spawner Extractor,スポナー抽出装置
block.pneumaticcraft.tag_workbench,Tag Workbench,タグ作業台
block.pneumaticcraft.thermal_compressor,Thermal Compressor,サーマルコンプレッサー
block.pneumaticcraft.thermal_lagging,Thermal Lagging,断熱材
block.pneumaticcraft.thermopneumatic_processing_plant,Thermopneumatic Processing Plant,熱圧プレス
block.pneumaticcraft.universal_sensor,Universal Sensor,ユニバーサルセンサー
block.pneumaticcraft.uv_light_box,UV Light Box,UVライトボックス
block.pneumaticcraft.vacuum_pump,Vacuum Pump,真空ポンプ
block.pneumaticcraft.vacuum_trap,Vacuum Trap,真空トラップ
block.pneumaticcraft.vegetable_oil,Vegetable Oil,植物油
block.pneumaticcraft.vortex_tube,Vortex Tube,渦管
block.pneumaticcraft.wall_lamp_black,Black Wall Lamp,黒色の壁掛けランプ
block.pneumaticcraft.wall_lamp_blue,Blue Wall Lamp,青色の壁掛けランプ
block.pneumaticcraft.wall_lamp_brown,Brown Wall Lamp,茶色の壁掛けランプ
block.pneumaticcraft.wall_lamp_cyan,Cyan Wall Lamp,青緑色の壁掛けランプ
block.pneumaticcraft.wall_lamp_gray,Gray Wall Lamp,灰色の壁掛けランプ
block.pneumaticcraft.wall_lamp_green,Green Wall Lamp,緑色の壁掛けランプ
block.pneumaticcraft.wall_lamp_inverted_black,Black Wall Lamp (inverted),黒色の壁掛けランプ(反転)
block.pneumaticcraft.wall_lamp_inverted_blue,Blue Wall Lamp (inverted),青色の壁掛けランプ(反転)
block.pneumaticcraft.wall_lamp_inverted_brown,Brown Wall Lamp (inverted),茶色の壁掛けランプ(反転)
block.pneumaticcraft.wall_lamp_inverted_cyan,Cyan Wall Lamp (inverted),青緑色の壁掛けランプ(反転)
block.pneumaticcraft.wall_lamp_inverted_gray,Gray Wall Lamp (inverted),灰色の壁掛けランプ(反転)
block.pneumaticcraft.wall_lamp_inverted_green,Green Wall Lamp (inverted),緑色の壁掛けランプ(反転)
block.pneumaticcraft.wall_lamp_inverted_light_blue,Light Blue Wall Lamp (inverted),空色の壁掛けランプ(反転)
block.pneumaticcraft.wall_lamp_inverted_light_gray,Light Gray Wall Lamp (inverted),薄灰色の壁掛けランプ(反転)
block.pneumaticcraft.wall_lamp_inverted_lime,Lime Wall Lamp (inverted),黄緑色の壁掛けランプ(反転)
block.pneumaticcraft.wall_lamp_inverted_magenta,Magenta Wall Lamp (inverted),赤紫色の壁掛けランプ(反転)
block.pneumaticcraft.wall_lamp_inverted_orange,Orange Wall Lamp (inverted),橙色の壁掛けランプ(反転)
block.pneumaticcraft.wall_lamp_inverted_pink,Pink Wall Lamp (inverted),桃色の壁掛けランプ(反転)
block.pneumaticcraft.wall_lamp_inverted_purple,Purple Wall Lamp (inverted),紫色の壁掛けランプ(反転)
block.pneumaticcraft.wall_lamp_inverted_red,Red Wall Lamp (inverted),赤色の壁掛けランプ(反転)
block.pneumaticcraft.wall_lamp_inverted_white,White Wall Lamp (inverted),白色の壁掛けランプ(反転)
block.pneumaticcraft.wall_lamp_inverted_yellow,Yellow Wall Lamp (inverted),黄色の壁掛けランプ(反転)
block.pneumaticcraft.wall_lamp_light_blue,Light Blue Wall Lamp,空色の壁掛けランプ
block.pneumaticcraft.wall_lamp_light_gray,Light Gray Wall Lamp,薄灰色の壁掛けランプ
