key,source_text,target_text
itemGroup.primal,Primal Core,プリマルコア
item.primal.golden_stick.name,Golden Stick,金の棒
item.primal.glass_stick.name,Glass Stick,ガラスの棒
item.primal.dirt_stick.name,Dirt Stick,土の棒
item.primal.ancient_ice_chunk.name,Ancient Ice Chunk,古代の氷塊
item.primal.ash.name,Ash,灰
item.primal.mortar.name,Mortar,乳鉢
item.primal.muck.name,Muck,沈泥
item.primal.muck_molten.name,Molten Muck,溶けた泥
item.primal.rot.name,Rot,回転
item.primal.rock_andesite.name,Andesite Rock,安山岩の岩
item.primal.rock_diorite.name,Diorite Rock,斑れい岩の岩
item.primal.rock_granite.name,Granite Rock,花崗岩の岩
item.primal.rock_netherrack.name,Netherrack Rock,ネザーラックの岩
item.primal.rock_sarsen.name,Sarsen Rock,サルセン岩
item.primal.rock_stone.name,Rock,岩
item.primal.rock_vitrified.name,Vitrified Rock,硝子化した岩
item.primal.rock_end.name,End Stone Rock,エンドストーンの岩
item.primal.bitumin_clump.name,Bituminous Clump,瀝青の塊
item.primal.wax_residue.name,Wax Residue,ワックス残渣
item.primal.soul_residue.name,Soul Residue,ソウル残渣
item.primal.slime_residue.name,Slime Residue,スライム残渣
item.primal.slag.name,Slag,鉱滓
item.primal.fermented_jungle.name,Fermented Mash,発酵マッシュ
item.primal.fletching.name,Fletching,フレッチング
item.primal.cauldron_ladle_ironwood.name,Ironwood Cauldron Ladle,アイアンウッド製大釜用ひしゃく
item.primal.cauldron_ladle_corypha.name,Corypha Cauldron Ladle,コリファ製大釜用ひしゃく
item.primal.cauldron_ladle_lacquer.name,Lacquer Cauldron Ladle,漆製大釜用ひしゃく
item.primal.cauldron_ladle_yew.name,Yew Cauldron Ladle,イチイ製大釜用ひしゃく
item.primal.cauldron_ladle_bone.name,Bone Cauldron Ladle,骨製大釜用ひしゃく
item.primal.plant_fiber.name,Plant Fiber,植物繊維
item.primal.plant_fiber_pulp.name,Plant Fiber Pulp,植物繊維パルプ
item.primal.plant_cordage.name,Plant Twine,植物紐
item.primal.plant_cloth.name,Plant Cloth,植物布
item.primal.plant_papyrus.name,Plant Papyrus,植物パピルス
item.primal.plant_tinder.name,Tinder Bundle,火口素束
item.primal.dry_grass_root.name,Uprooted Sesleria Furvum,抜いたセスレリア・フルヴム
item.primal.dry_grass_seed.name,Sesleria Furvum Seed,セスレリア・フルヴム種子
item.primal.tall_grass_seeds.name,Tall Grass Seeds,背の高い草の種
item.primal.nether_root.name,Uprooted Equisetum Cineris Cilium,抜いたエクイセタム・シネリス・キリウム
item.primal.nether_seed.name,Equisetum Cineris Spore,エクイセタム・シネリス胞子
item.primal.nether_fiber.name,Cineris Fiber,焦土繊維
item.primal.nether_fiber_pulp.name,Cineris Fiber Pulp,焦土繊維パルプ
item.primal.nether_cordage.name,Cineris Twine,焦土紐
item.primal.nether_cloth.name,Cineris Cloth,焦土布
item.primal.nether_papyrus.name,Cineris Papyrus,焦土パピルス
item.primal.nether_tinder.name,Cineris Tinder Bundle,焦土火口素束
item.primal.searing_ember.name,Cineris Ember,焦土の炎
item.primal.searing_sprig.name,Cineris Bloom Sprig,焦土開花小枝
item.primal.yew_aril_seedless.name,Yew Seedless Aril,イチイの種なし仮種皮
item.primal.yew_aril.name,Yew Aril,イチイの仮種皮
item.primal.yew_seed.name,Yew Seed,イチイの種
item.primal.yew_stick.name,Yew Stick,イチイの棒
item.primal.corypha_stick.name,Corphyry Stick,コリファ材の棒
item.primal.corypha_pin.name,Corphyry Pin,コリファピン
item.primal.corypha_seed.name,Corphyry Larva,コリファ幼体
item.primal.fishing_rod_corypha.name,Corphyry Fishing Rod,コリファ製釣り竿
item.primal.leather_strip.name,Leather Strip,革の束
item.primal.leather_cordage.name,Leather Cordage,革ひも
item.primal.leather_boiled.name,Boiled Leather,煮た皮革
item.primal.silk_cordage.name,Silk Cordage,絹紐
item.primal.silk_cordage_coiled.name,Coil of Silk Cordage,巻いた絹紐
item.primal.ore_cluster_bog_iron.name,Bog Iron Ore Cluster,泥炭地鉄鉱石クラスタ
item.primal.ore_cluster_magnetite.name,Magnetite Ore Cluster,磁鉄鉱クラスタ
item.primal.ore_cluster_zinc.name,Zinc Ore Cluster,亜鉛鉱石クラスタ
item.primal.magnetite_dust.name,Magnetite Dust,磁鉄鉱粉
item.primal.paraffin_clump.name,Calcified Paraffin Clump,石灰化パラフィン塊
item.primal.bone_knapp.name,Flaked Bone,叩かれた骨
item.primal.bone_point.name,Flaked Bone Point,叩かれた骨先端
item.primal.flint_knapp.name,Flaked Flint,叩かれた火打石
item.primal.flint_point.name,Flaked Flint Point,叩かれた黒曜石先端
item.primal.obsidian_shard.name,Obsidian Shard,黒曜石の破片
item.primal.obsidian_knapp.name,Flaked Obsidian,叩かれた黒曜石
item.primal.obsidian_point.name,Flaked Obsidian Point,叩かれた黒曜石先端
item.primal.obsidian_lens.name,Obsidian Lens,黒曜石レンズ
item.primal.diamond_knapp.name,Flaked Diamond,叩かれたダイヤモンド
item.primal.diamond_point.name,Flaked Diamond Point,叩かれたダイヤモンド先端
item.primal.diamond_workblade.name,Diamond Work Blade,ダイヤモンド製加工刃
item.primal.emerald_knapp.name,Flaked Emerald,叩かれたエメラルド
item.primal.emerald_point.name,Flaked Emerald Point,叩かれたエメラルド先端
item.primal.emerald_workblade.name,Emerald Work Blade,エメラルド製加工刃
item.primal.opal.name,Blood Opal,ブラッドオパール
item.primal.opal_knapp.name,Flaked Blood Opal,叩かれたブラッドオパール
item.primal.opal_point.name,Flaked Blood Opal Point,叩かれたブラッドオパール先端
item.primal.opal_workblade.name,Blood Opal Work Blade,ブラッドオパール製加工刃
item.primal.stone_basin.name,Stone Basin,石の浴槽
item.primal.wood_pin.name,Wood Pin,木のピン
item.primal.ironwood_stick.name,Ironwood Stick,アイアンウッドの棒
item.primal.iron_strand.name,Iron Strand,鉄の線
item.primal.iron_bar.name,Iron Bar,鉄の棒
item.primal.iron_pin.name,Iron Pin,鉄のピン
item.primal.iron_mesh.name,Iron Mesh,鉄のメッシュ
item.primal.iron_ring.name,Iron Ring,鉄のリング
item.primal.iron_sheet.name,Iron Sheet,鉄の板
item.primal.iron_plate.name,Iron Plate,鉄の板
