key,source_text,target_text
itemGroup.projectred.expansion,Project Red: Expansion,プロジェクトレッド：拡張
itemGroup.projectred.transportation,Project Red: Transportation,プロジェクトレッド：輸送
itemGroup.projectred.exploration,Project Red: Exploration,プロジェクト・レッド：探索
itemGroup.projectred.integration,Project Red: Integration,Project Red: 集積
itemGroup.projectred.compatibility,Project Red: Compatibility,Project Red: 互換性
itemGroup.projectred.relocation,Project Red: Relocation,プロジェクトレッド：移転
item.projectred.core.itemResource.plate.name,Circuit Plate,回路基板
item.projectred.core.itemResource.conductive_plate.name,Conductive Plate,導線基板
item.projectred.core.itemResource.wired_plate.name,Wired Plate,ワイヤー基板
item.projectred.core.itemResource.bundled_plate.name,Bundled Plate,ケーブル束基板
item.projectred.core.itemResource.anode.name,Anode,陽極基板
item.projectred.core.itemResource.cathode.name,Cathode,陰極基板
item.projectred.core.itemResource.pointer.name,Pointer,ポインタ
item.projectred.core.itemResource.silicon_chip.name,Silicon Chip,シリコンチップ基板
item.projectred.core.itemResource.energized_silicon_chip.name,Energized Silicon Chip,エネルギー化シリコンチップ基板
item.projectred.core.itemResource.platformed_plate.name,Platformed Plate,アセンブリ基板
item.projectred.core.itemResource.red_ingot.name,Red Alloy Ingot,赤合金インゴット
item.projectred.core.itemResource.boule.name,Silicon Boule,高純度シリコン
item.projectred.core.itemResource.silicon.name,Silicon,シリコン
item.projectred.core.itemResource.infused_silicon.name,Infused Silicon,レッドウェハー
item.projectred.core.itemResource.energized_silicon.name,Energized Silicon,エネルギー化シリコンウェハー
item.projectred.core.itemResource.motor.name,Motor,モーター
item.projectred.core.itemResource.copper_coil.name,Copper Coil,銅のコイル
item.projectred.core.itemResource.iron_coil.name,Iron Coil,鉄製のコイル
item.projectred.core.itemResource.gold_coil.name,Gold Coil,金製のコイル
item.projectred.core.itemResource.illumar0.name,White Illumar,白いLEDパウダー
item.projectred.core.itemResource.illumar1.name,Orange Illumar,橙色のLEDパウダー
item.projectred.core.itemResource.illumar2.name,Magenta Illumar,赤紫のLEDパウダー
item.projectred.core.itemResource.illumar3.name,Light Blue Illumar,空色のLEDパウダー
item.projectred.core.itemResource.illumar4.name,Yellow Illumar,黄のLEDパウダー
item.projectred.core.itemResource.illumar5.name,Lime Illumar,黄緑のLEDパウダー
item.projectred.core.itemResource.illumar6.name,Pink Illumar,桃色のLEDパウダー
item.projectred.core.itemResource.illumar7.name,Grey Illumar,灰色のLEDパウダー
item.projectred.core.itemResource.illumar8.name,Light Grey Illumar,薄灰色のLEDパウダー
item.projectred.core.itemResource.illumar9.name,Cyan Illumar,水色のLEDパウダー
item.projectred.core.itemResource.illumar10.name,Purple Illumar,紫のLEDパウダー
item.projectred.core.itemResource.illumar11.name,Blue Illumar,青いLEDパウダー
item.projectred.core.itemResource.illumar12.name,Brown Illumar,茶色のLEDパウダー
item.projectred.core.itemResource.illumar13.name,Green Illumar,緑のLEDパウダー
item.projectred.core.itemResource.illumar14.name,Red Illumar,赤いLEDパウダー
item.projectred.core.itemResource.illumar15.name,Black Illumar,黒いLEDパウダー
item.projectred.core.itemResource.cloth.name,Woven Cloth,帆布
item.projectred.core.itemResource.sail.name,Sail,帆
item.projectred.core.itemResource.ruby.name,Ruby,ルビー
item.projectred.core.itemResource.sapphire.name,Sapphire,サファイア
item.projectred.core.itemResource.peridot.name,Peridot,ペリドット
item.projectred.core.itemResource.red_iron_comp.name,Red Iron Compound,赤合金化合物
item.projectred.core.itemResource.sand_coal_comp.name,Sandy Coal Compound,砂石炭化合物
item.projectred.core.itemResource.red_silicon_comp.name,Red Silicon Compound,レッドシリコン化合物
item.projectred.core.itemResource.glow_silicon_comp.name,Glowing Silicon Compound,発光シリコン化合物
item.projectred.core.itemResource.null_chip.name,Null-Logic Routing Chip,ヌルロジック ルーティング チップ
item.projectred.core.itemResource.copper_ingot.name,Copper Ingot,銅インゴット
item.projectred.core.itemResource.tin_ingot.name,Tin Ingot,スズのインゴット
item.projectred.core.itemResource.silver_ingot.name,Silver Ingot,銀インゴット
item.projectred.core.itemResource.electrotine_ingot.name,Electrotine Alloy Ingot,青合金インゴット
item.projectred.core.itemResource.electrotine_dust.name,Electrotine,エレクトロチン
item.projectred.core.itemResource.electrotine_iron_comp.name,Electrotine Iron Compound,青合金化合物
item.projectred.core.itemResource.electrotine_silicon_comp.name,Electrotine Silicon Compound,ブルーシリコン化合物
item.projectred.core.itemResource.electro_silicon.name,Electro Silicon,ブルーウェハー
item.projectred.core.drawplate.name,Draw Plate,絞り板
item.projectred.core.multimeter.name,Multimeter,マルチメーター
item.projectred.core.screwdriver.name,Screwdriver,ドライバー
item.projectred.core.routerUtility.name,Router Utility,ルーター確認機
item.projectred.expansion.batteryEmpty.name,Battery,バッテリー
item.projectred.expansion.battery.name,Battery,バッテリー
item.projectred.expansion.screwdriverElectric.name,Electric Screwdriver,電気ドライバー
item.projectred.expansion.jetpack.name,Jetpack,ジェットパック
item.projectred.expansion.enderPearlInfused.name,Infused Ender Pearl,インフュージョン エンダーペール
item.projectred.expansion.plan.name,Recipe Plan,レシピプラン
item.projectred.expansion.solarPanel.name,Solar Panel,ソーラーパネル
tile.projectred.expansion.machine1|0.name,Inductive Furnace,Diamond 青電力かまど
tile.projectred.expansion.machine1|1.name,Electrotine Generator,青電力発電機
tile.projectred.expansion.machine2|0.name,Block Breaker,ブロック破壊機
tile.projectred.expansion.machine2|1.name,Item Importer,アイテムインポーター
tile.projectred.expansion.machine2|2.name,Block Placer,ブロック配置機
