key,source_text,target_text
_comment,Book stuff,本のアイテム
advancement.psi:ebony_assembly_pickup,Strong and Thick,強大で厚い
advancement.psi:ebony_assembly_pickup.desc,Craft an Ebony CAD Assembly,エボニーCADアセンブリをクラフトする
advancement.psi:ebony_pickup,High Value,高価値
advancement.psi:ebony_pickup.desc,Infuse your first Ebony substance out of Coal,石炭からエボニー物質を初めてインフューズする
advancement.psi:encyclopaedia_psionica,Put It On My Tablet,タブレットに記録する
advancement.psi:encyclopaedia_psionica.desc,"Craft the Encyclopaedia Psionica, your guide for all things Psi",Psiモッド関連のすべてのガイドとなるサイ百科事典をクラフトする
advancement.psi:gold_assembly_pickup,Worth Its Weight In Gold,金の価値を持つ
advancement.psi:gold_assembly_pickup.desc,Craft a Gold CAD Assembly,ゴールドCADアセンブリをクラフトする
advancement.psi:iron_cad_pickup,Sweet Bod,素敵なボディ
advancement.psi:iron_cad_pickup.desc,Craft an Iron CAD Assembly,鉄CADアセンブリをクラフトする
advancement.psi:ivory_assembly_pickup,Sleeker and Sexier,より優雅で魅力的
advancement.psi:ivory_assembly_pickup.desc,Craft an Ivory CAD Assembly,アイボリーCADアセンブリをクラフトする
advancement.psi:ivory_pickup,Differently Valued,異なる価値
advancement.psi:ivory_pickup.desc,Infuse your first Ivory substance out of Quartz,クォーツからアイボリー物質を初めてインフューズする
advancement.psi:psidust,...Uncraftable?,...クラフト不可？
advancement.psi:psidust.desc,Craft your first piece of Psidust,初めてサイ粉をクラフトする
advancement.psi:psigem_pickup,Thought Crystal,思考結晶
advancement.psi:psigem_pickup.desc,Infuse your first Psigem out of diamonds,ダイヤモンドからサイゲムを初めてインフューズする
advancement.psi:psimetal_assembly_pickup,Psightly Better,少し良くなった
advancement.psi:psimetal_assembly_pickup.desc,Craft a Psimetal CAD Assembly,サイメタルCADアセンブリをクラフトする
advancement.psi:psimetal_pickup,The Alloy Of Awe,驚嘆の合金
advancement.psi:psimetal_pickup.desc,Infuse your first piece of Psimetal,初めてサイメタルをインフューズする
block.psi.black_psimetal_plate,Dark Psimetal Plate,暗いサイメタルプレート
block.psi.cad_assembler,CAD Assembler,CADアセンブラー
block.psi.conjured,Conjured Block,魔法ブロック
block.psi.ebony_psimetal_block,Block of Ebony Psimetal,エボニーサイメタルブロック
block.psi.ivory_psimetal_block,Block of Ivory Psimetal,アイボリーサイメタルブロック
block.psi.lit_black_psimetal_plate,Dark Psimetal Flow Plate,暗いサイメタルフロープレート
block.psi.lit_white_psimetal_plate,Bright Psimetal Flow Plate,明るいサイメタルフロープレート
block.psi.programmer,Spell Programmer,スペル プログラマー
block.psi.psidust_block,Block of Psidust,サイ粉 ブロック
block.psi.psigem_block,Block of Psigem,サイジェム ブロック
block.psi.psimetal_block,Block of Psimetal,サイメタルブロック
block.psi.psimetal_plate_white,Bright Psimetal Plate,明るいサイメタルプレート
block.psi.psimetal_plate_white_light,Bright Psimetal Flow Plate,明るいサイメタルフロープレート
block.psi.white_psimetal_plate,Bright Psimetal Plate,明るいサイメタルプレート
command.psi.learn.console,The console can't learn Psi. Try specifying a player! /psi-learn <group> [player],コンソールは Psiを 習得できません。特定の プレイヤーで 試してください。/psi-learn <group> [player]
command.psi.learn.not_a_group,'%s' is not a valid Psi piece group,'%s' は 有効な Psi のピースでは ありません。
command.psi.learn.players,"%s isn't a player, only players can have Psi knowledge",%s はプレイヤーではありません。Psiを学べるのはプレイヤーだけです。
command.psi.learn.should_not,%s already knows %s,%s は すでに %s を知っている。
command.psi.learn.success,Successfully taught %s %s,%s は %s を習得した。
command.psi.learn.success.all,Successfully taught %s all of Psi,%s は Psiを全て習得した。
command.psi.learn.unknown,This player has no Psi data. Report this to the mod author.,このプレイヤーには Psiデータがありません。mod製作者へ報告してください。
command.psi.learn.usage,/psi-learn <group> [player],/Psi-learn <グループ> [プレイヤー]
command.psi.unlearn.console,The console can't learn Psi. Try specifying a player! /psi-unlearn <group> [player],コンソールは Psiを 習得できません。特定の プレイヤーで 試してください。/psi-unlearn <group> [player]
command.psi.unlearn.not_a_group,'%s' is not a valid Psi piece group,'%s' は 有効な Psi のピースでは ありません。
command.psi.unlearn.players,"%s isn't a player, only players can have Psi knowledge",%s はプレイヤーではありません。Psiを学べるのはプレイヤーだけです。
command.psi.unlearn.should_not,%s doesn't know %s,%s は %sについて知らない。
command.psi.unlearn.success,Successfully made %s forget %s,%s は %s を 忘却した。
command.psi.unlearn.success.all,Successfully made %s forget all of Psi,%s はPsiについて 全て忘却した。
command.psi.unlearn.unknown,This player has no Psi data. Report this to the mod author.,このプレイヤーには Psiデータがありません。mod製作者へ報告してください。
command.psi.unlearn.usage,/psi-unlearn <group> [player],/Psi-unlearn <グループ> [プレイヤー]
death.attack.psi-overload,%s overflowed their Psionic Energy,Psiエネルギーを %s 超過した。
item.psi.cad,Casting Assistant Device,CAD-術式補助演算機-
item.psi.cad_assembly_creative,Creative CAD Assembly,クリエイティブCAD組立機
item.psi.cad_assembly_ebony_psimetal,Ebony Psimetal CAD Assembly,エボニーサイメタルの CAD素体
item.psi.cad_assembly_gold,Gold CAD Assembly,金のCAD素体
item.psi.cad_assembly_iron,Iron CAD Assembly,鉄のCAD素体
item.psi.cad_assembly_ivory_psimetal,Ivory Psimetal CAD Assembly,アイボリーサイメタルの CAD素体
item.psi.cad_assembly_psimetal,Psimetal CAD Assembly,サイメタルのCAD素体
item.psi.cad_battery_basic,Basic CAD Battery,基本CADバッテリー
item.psi.cad_battery_extended,Extended CAD Battery,拡張CADバッテリー
item.psi.cad_battery_ultradense,Ultradense CAD Battery,過密CADバッテリー
item.psi.cad_colorizer_black,Black CAD Colorizer,CAD着色器(黒)
item.psi.cad_colorizer_blue,Blue CAD Colorizer,CAD着色器(青)
item.psi.cad_colorizer_brown,Brown CAD Colorizer,CAD着色器(茶)
item.psi.cad_colorizer_cyan,Cyan CAD Colorizer,CAD着色器(水)
item.psi.cad_colorizer_empty,Drained CAD Colorizer,空CADカラライザー
item.psi.cad_colorizer_gray,Gray CAD Colorizer,CAD着色器(灰)
item.psi.cad_colorizer_green,Green CAD Colorizer,CAD着色器(緑)
item.psi.cad_colorizer_light_blue,Light Blue CAD Colorizer,CAD着色器(空)
item.psi.cad_colorizer_light_gray,Light Gray CAD Colorizer,CAD着色器(銀)
item.psi.cad_colorizer_lime,Lime CAD Colorizer,CAD着色器(黄緑)
item.psi.cad_colorizer_magenta,Magenta CAD Colorizer,CAD着色器(赤紫)
item.psi.cad_colorizer_orange,Orange CAD Colorizer,CAD着色器(橙)
item.psi.cad_colorizer_pink,Pink CAD Colorizer,CAD着色器(桃)
item.psi.cad_colorizer_psi,Psi CAD Colorizer,Psi CAD 着色器
item.psi.cad_colorizer_purple,Purple CAD Colorizer,CAD着色器(紫)
item.psi.cad_colorizer_rainbow,Full-Spectrum CAD Colorizer,CAD着色器(虹)
item.psi.cad_colorizer_red,Red CAD Colorizer,CAD着色器(赤)
item.psi.cad_colorizer_white,White CAD Colorizer,CAD着色器(白)
item.psi.cad_colorizer_yellow,Yellow CAD Colorizer,CAD着色器(黄)
item.psi.cad_core_basic,Basic CAD Core,基本CADコア
