key,source_text,target_text
advancements.adv_give_ametrine_recipes.descr,Obtain Ametrine,アメトリンを取得
advancements.adv_give_ametrine_recipes.title,Obtain Ametrine,アメトリンを取得
advancements.adv_give_black_diamond_recipes.descr,Obtain Black Diamond,ブラックダイヤモンドを入手
advancements.adv_give_black_diamond_recipes.title,Obtain Black Diamond,ブラックダイヤモンドを入手
advancements.adv_give_chrysoberyl_recipes.descr,Obtain Chrysoberyl,クロミオベリウム取得
advancements.adv_give_chrysoberyl_recipes.title,Obtain Chrysoberyl,入手 Chrysoberyl
advancements.adv_give_fire_opal_recipes.descr,Obtain Fire Opal,火のオパールを獲得
advancements.adv_give_fire_opal_recipes.title,Obtain Fire Opal,火のオパールを獲得
advancements.adv_give_jadeite_recipes.descr,Obtain Jadeite,青玉を獲得
advancements.adv_give_jadeite_recipes.title,Obtain Jadeite,青玉を獲得
advancements.adv_give_lonsdaleite_recipes.descr,Obtain Lonsdaleite,入手 Lonsdaleite
advancements.adv_give_lonsdaleite_recipes.title,Astral Descent,星の下落
advancements.adv_give_moonstone_recipes.descr,Obtain Moonstone,月石を獲得
advancements.adv_give_moonstone_recipes.title,Obtain Moonstone,月石を獲得
advancements.adv_give_sapphire_recipes.descr,Obtain Sapphire,サファイアを取得
advancements.adv_give_sapphire_recipes.title,Obtain Sapphire,サファイアを取得
advancements.adv_wear_lonsdaleite_armor.descr,Equip a full suit of Lonsdaleite Armor,Lonsdaleiteアーマーのフルスーツを装備する
advancements.adv_wear_lonsdaleite_armor.title,Stellar Threads,星の糸
block.pureores.ametrine_block,Block of Ametrine,アメトリンブロック
block.pureores.black_diamond_block,Block of Black Diamond,黒ダイヤモンドブロック
block.pureores.chrysoberyl_block,Block of Chrysoberyl,クリソベリウムのブロック
block.pureores.chrysoberyl_ore,Chrysoberyl Ore,チロソベリル鉱石
block.pureores.deepslate_black_diamond_ore,Deepslate Black Diamond Ore,深層岩黒ダイヤモンド鉱石
block.pureores.end_ametrine_ore,End Ametrine Ore,エンダーアメトリン鉱石
block.pureores.fire_opal_block,Block of Fire Opal,火炎オパールのブロック
block.pureores.jadeite_block,Block of Jadeite,ジェイデイトブロック
block.pureores.jadeite_ore,Jadeite Ore,翡翠鉱石
block.pureores.lonsdaleite_block,Block of Lonsdaleite,ロンスデライトのブロック
