key,source_text,target_text
block.pylons.expulsion_pylon,Expulsion Pylon,放逐パイロン
block.pylons.harvester_pylon,Harvester Pylon,収穫パイロン
block.pylons.infusion_pylon,Infusion Pylon,注入パイロン
block.pylons.interdiction_pylon,Interdiction Pylon,阻害パイロン
chat.pylons.expelled,You have been expelled from %s's chunk!,あなたは%sのチャンク外に追い出されました！
gui.pylons.blockedMobs,Add mobs to prevent spawns:,スポーン防止用モブを追加：
gui.pylons.effects,Active potion effects:,アクティブなポーション効果：
gui.pylons.insideWorldSpawn,Too close to world spawn.,ワールドスポーンに近すぎます。
gui.pylons.inventoryFull,Inventory is full.,インベントリがいっぱいです。
gui.pylons.inventoryMissing,Place inventory above pylon.,パイロンの上にインベントリを配置してください。
gui.pylons.noOwner,Owner not found. Pylon disabled.,オーナーが見つかりません。パイロン無効。
gui.pylons.owner,Owner: %s,所有者: %s
gui.pylons.toggleWork,Working status,作業ステータス
gui.pylons.toolMissing,Hoe required for operation.,動作にはクワが必要です。
gui.pylons.whitelist,Add players to whitelist:,ホワイトリストにプレイヤーを追加：
gui.pylons.workArea,Work area (in chunks),作業エリア(チャンク単位)
gui.pylons.workAreaBlocks,Work area (in blocks),作業エリア(ブロック単位)
gui.pylons.working,Pylon is working.,パイロンが動作中です。
gui.pylons.wrongDimension,This dimension is disabled.,このディメンションは無効化されています。
item.pylons.mob_filter,Mob Filter,モブフィルター
item.pylons.player_filter,Player Filter,プレイヤー フィルター
item.pylons.potion_filter,Potion Filter,ポーションフィルター
itemGroup.pylons,Pylons,パイロン
tooltip.pylons.activated,Activated,アクティブ
tooltip.pylons.effect_denied,Effect is disabled in the config.,エフェクトが設定で無効化されています。
tooltip.pylons.expulsion1,Expels other players from,他のプレイヤーを以下から追い出します
tooltip.pylons.expulsion2,a configurable chunk range,設定可能なチャンク範囲の
tooltip.pylons.expulsion3,around the pylon.,パイロンの周囲。
tooltip.pylons.harvester1,Harvests crops in a configurable,設定可能な半径で農作物を収穫
tooltip.pylons.harvester2,radius around the pylon. Just place,パイロンの周囲の半径に配置するだけで、
tooltip.pylons.harvester3,inside or above the water block.,水ブロック内または作物の上に配置してください。
tooltip.pylons.increase1,Right-click with the same effect,同じエフェクトを持つもので右クリック
tooltip.pylons.increase2,active to increase progress.,有効にしてプログレスを増やします。
tooltip.pylons.infusion1,Applies potion effects from,ポーション効果を適用します
tooltip.pylons.infusion2,an activated potion filter,有効化されたポーションフィルターから、
tooltip.pylons.infusion3,at any distance.,任意の距離で。
tooltip.pylons.insert1,Insert this filter into,このフィルターを以下に挿入して、
tooltip.pylons.insert2,a pylon to use it!,パイロンで使用してください！
tooltip.pylons.interdiction1,Configurable mob spawn prevention,設定可能なモブスポーン防止
tooltip.pylons.interdiction2,in a radius around the pylon.,パイロンの周囲の半径内。
tooltip.pylons.minimum_duration,Minimum effect duration: %s seconds,最小エフェクト期間：%s秒
tooltip.pylons.no_effect1,Right-click with an active effect,アクティブなエフェクトで右クリック
tooltip.pylons.no_effect2,to apply it to the card.,カードに適用します。
tooltip.pylons.no_mob,Right-click on a mob to select it.,モブで右クリックして選択します。
tooltip.pylons.no_player,Right-click on a player to select them.,プレイヤーで右クリックして選択します。
tooltip.pylons.player,Player: %s,プレイヤー: %s
tooltip.pylons.progress,Progress: %d/%d seconds,プログレス：%d/%d秒
gui.pylons.energyMissing,Not enough power.,エネルギーが不足しています。
gui.pylons.fluxBar,Redstone Flux:,レッドストーン フラックス：
gui.pylons.fluxData,%d/%d RF stored,%d/%d RF 保存
item.pylons.lifeless_filter,Lifeless Filter,無生命フィルター
pylons.configuration.expulsionAllowedDimensions,Allowed Dimensions,許可されたディメンション
pylons.configuration.expulsionPylonCanExplode,Can Explode,爆発可能
pylons.configuration.expulsionPylonMaxRadius,Max Radius,最大半径
pylons.configuration.expulsionWorldSpawnRadius,World Spawn Radius,ワールドスポーン半径
pylons.configuration.expulsion_pylon,Expulsion Pylon,放逐パイロン
pylons.configuration.general,General,一般
pylons.configuration.harvesterCanBeAutomated,Can Be Automated,自動化可能
pylons.configuration.harvesterPowerBuffer,Power Buffer,動力バッファ
pylons.configuration.harvesterPowerCost,Power Cost,動力コスト
pylons.configuration.harvesterRequiresPower,Requires Power,動力が必要
pylons.configuration.harvesterRequiresTool,Requires Tool,ツールが必要
pylons.configuration.harvesterWorkDelay,Work Delay,作業遅延
pylons.configuration.harvester_pylon,Harvester Pylon,収穫パイロン
pylons.configuration.infusionAllowedEffects,Allowed Effects,許可されたエフェクト
pylons.configuration.infusionAppliedDuration,Applied Effect Duration,適用エフェクト期間
pylons.configuration.infusionChunkloads,Acts As Chunkloader,チャンクローダーとして機能
pylons.configuration.infusionDeniedEffects,Denied Effects,禁止されたエフェクト
pylons.configuration.infusionMaximumPotency,Maximum Effect Potency,最大エフェクト効力
pylons.configuration.infusionMinimumDuration,Minimum Effect Duration,最小エフェクト期間
