key,source_text,target_text
biome.quantumquarryplus.quantum_quarry_biome,Quantum Quarry Biome,量子クォーリーのバイオーム
biome.quantumquarryplus.quantum_quarry_end_biome,Quantum Quarry End Biome,クアンタムクォーリー終末バイオーム
biome.quantumquarryplus.quantum_quarry_nether_biome,Quantum Quarry Nether Biome,量子採石場ネザーバイオーム
block.quantumquarryplus.creative_cell,Creative Cell,クリエイティブセル
block.quantumquarryplus.ender_obsidian,Ender Obsidian,エンダーオブシディアン
block.quantumquarryplus.endercell,Endercell,エンダーセル
block.quantumquarryplus.ore_quantum_quarry_plus,Ore Quantum Quarry Plus,鉱石量子掘削機プラス
block.quantumquarryplus.quantum_quarry_plus,Quantum Quarry Plus,量子採掘機プラス
block.quantumquarryplus.quarry_framw,Quarry Frame,採掘フレーム
item.bedrock_pickaxe.name,§eBedrock Pickaxe,§eベッドロックツルハシ
item.bedrockium.name,§eBedrockium,§eベッドロイウム
item.itemfilter.name,Itemfilter,アイテムフィルター
item.quantumquarryplus.earth_orb,Earth Orb,地の玉
item.quantumquarryplus.end_orb,End Orb,エンドオーブ
item.quantumquarryplus.filter_upgrade,Filter Upgrade,フィルターアップグレード
item.quantumquarryplus.nether_orb,Nether Orb,下界の球
item.quantumquarryplus.pump_upgrade,Pump Upgrade,ポンプアップグレード
item.quantumquarryplus.quantum_quarry_dim,Quantum Quarry Dim Portal Igniter,量子採石場ディメンションポータル点火装置
item.quantumquarryplus.quantum_quarry_dim_end,Quantum Quarry Dim Portal Igniter,量子採石場ディメンションポータル点火装置
item.quantumquarryplus.quantum_quarry_dim_nether,Quantum Quarry Dim Portal Igniter,量子採石場ディメンションポータル点火装置
item.quantumquarryplus.rainbow_upgrade,Rainbow Upgrade,虹色アップグレード
item.quantumquarryplus.speed_upgrade,Speed Upgrade,スピードアップグレード
item.quantumquarryplus.upgrade_base,Upgrade Base,ベースアップグレード
item.quantumquarryplus.upgrade_tag_filter,Tag Filter Upgrade,タグフィルタアップグレード
item.smelting_upgrade.name,Smelting Upgrade,かまど機能
item.speed_upgrade.name,Speed Upgrade,スピードアップグレード
item.upgrade_base.name,Upgrade Base,ベースアップグレード
itemGroup.tabquantum_quarry_plus_tab,Quantum Quarry Plus,量子採掘機プラス
tile.ender_obsidian.name,Ender Obsidian,エンダーオブシディアン
tile.energy_cell.name,Energy Cell,エネルギーセル
tile.quantum_quarry_plus_modded.name,§aQuantum Quarry Plus,§aクアンタム採石場プラス
tile.querry_frame.name,§aQuerry Frame,§aクエリフレーム
