key,source_text,target_text
itemGroup.randomlootTab,Random Loot Mod,ランダム Loot Mod
item.basic_case.name,Basic Case,基本ケース
item.golden_case.name,§6Golden Case,§6金色のケース
item.titan_case.name,§dTitan Case,§dTitan ケース
item.sword.name,Random Sword,ランダム剣
item.pickaxe.name,Random Pickaxe,ランダムツルハシ
item.shovel.name,Random Shovel,ランダムシャベル
item.axe.name,Random Axe,ランダム斧
item.paxel.name,Random Paxel,ランダムなパクセル
item.rl_bow.name,Random Bow,ランダム弓
item.heavy_helmet.name,Random Helmet,ランダムヘルメット
item.heavy_chest.name,Random Chestplate,ランダムチェストプレート
item.heavy_legs.name,Random Leggings,ランダムレッグス
item.heavy_boots.name,Random Boots,ランダムなブーツ
item.titanium_helmet.name,Random Helmet,ランダムヘルメット
item.titanium_chest.name,Random Chestplate,ランダムチェストプレート
item.titanium_legs.name,Random Leggings,ランダムレッグス
item.titanium_boots.name,Random Boots,ランダムなブーツ
item.random_shard.name,Random Shard,ランダムなシャード
item.random_chunk.name,Random Chunk,ランダムなチャンク
item.random_cluster.name,Random Cluster,ランダムクラスター
item.throwable.name,Random Throwable,ランダムな投擲物
tile.random_anvil.name,Golden Anvil,ゴールデンアンビル
tile.repair_station.name,Repair Station,修理ステーション
tile.case_opener.name,Case Ripper,ケースリッパー
tile.breaker.name,Tool Masher,ツールマッシャー
container.breaker,Tool Masher,ツールマッシャー
