key,source_text,target_text
rconfig.color.preset.defaults,Defaults,デフォルト
rconfig.color.preset.mc_colors,Text Colors,テキストカラー
rconfig.color.preset.recents,Recents,最近使用したもの
rconfig.server.desc,Properties that can be can update real-time.,リアルタイムで更新できるプロパティ。
rconfig.server.properties.allow-flight,Allow Flight,飛行を許可
rconfig.server.properties.allow-flight.desc,"If this is enabled, players are allowed to fly in the server, usually needed in a modded server.",これを有効にすると、プレイヤーはサーバー上で飛行が許可されます。通常、MODを含むサーバーで必要です。
rconfig.server.properties.enforce-whitelist,Enforce White List,白リストを強制
rconfig.server.properties.enforce-whitelist.desc,"If this is enabled, only the users in the white list can access the server, if users are on the server that are not in the whitelist they will be kicked.",これを有効にすると、白リストのユーザーのみがサーバーにアクセスできます。白リストにないユーザーがサーバーにいる場合、キックされます。
rconfig.server.properties.max-players,Max Players,最大プレイヤー数
rconfig.server.properties.max-players.desc,The maximum number of players that can play on the server at the same time.,同時にサーバーでプレイできるプレイヤーの最大数。
rconfig.server.properties.motd,Message of the Day,本日のメッセージ
rconfig.server.properties.motd.desc,The message that is displayed in the server list.,サーバーリストに表示されるメッセージ。
rconfig.server.properties.pvp,Player vs Player,プレイヤー対プレイヤー
rconfig.server.properties.pvp.desc,"If this is enabled, players can attack each other.",これを有効にすると、プレイヤーは互いに攻撃できます。
rconfig.server.properties.white-list,White List,白リスト
rconfig.server.properties.white-list.desc,"If this is enabled, only the users in the white list can access the server.",これを有効にすると、白リストのユーザーのみがサーバーにアクセスできます。
rconfig.server.title,Dedicated Server,専用サーバー
rconfig.server.wiki,Wiki,ウィキ
rconfig.ui.constant.add_item,Add Item: ,アイテムを追加：
rconfig.ui.constant.choose_item,Choose Item: ,アイテムを選択：
rconfig.ui.constant.close,Close,閉じる
rconfig.ui.constant.edit,Edit,編集
rconfig.ui.constant.edit.list,Edit List,リスト編集
rconfig.ui.constant.edit.object,Edit Object,オブジェクトを編集
rconfig.ui.constant.edit.string,Edit String,文字列を編集
rconfig.ui.constant.mod_configs,Mod Configs,MOD設定
rconfig.ui.constant.mod_configs.description,Select a config to view or edit.,表示または編集する設定を選択します。
rconfig.ui.constant.reset,Reset,リセット
