key,source_text,target_text
gui.okay,Okay,OK
rgp_client.early_access_no_access,FTB Worlds is currently in early access. Please use the following website to sign-up if you wish to partake in early access.,FTB Worldsは現在アーリーアクセス中です。アーリーアクセスに参加を希望される場合は、以下のウェブサイトでサインアップしてください。
rgp_client.gui.button.expired,Expired,有効期限
rgp_client.gui.button.ftb_worlds,FTB Worlds,FTBワールド
rgp_client.gui.button.offline,Offline,オフライン
rgp_client.gui.button.online,Online,オンライン
rgp_client.gui.button.pending,Our services are currently at capacity. We'll try and get your FTB World up and running as soon as possible.,当サービスは現在容量が満杯です。FTB Worldをできるだけ早く稼働させるよう努力します。
rgp_client.gui.button.starting,Starting,開始
rgp_client.gui.button.stopping,Stopping,停止中
rgp_client.gui.button.unhealthy,Unknown Error,不明なエラー
rgp_client.gui.callback.code_attempted_previously,You have already requested to join this game server. The owner may need to accept your request.,すでにこのゲームサーバーへの参加リクエストを送信しています。オーナーはリクエストを承認する必要があります。
rgp_client.gui.callback.invalid_code,The invite code provided was invalid! Ensure you have the correct code.,提供された招待コードは無効です！正しいコードを入力してください。
rgp_client.gui.callback.owner_of_server,You are the owner of this game server.,あなたはこのゲームサーバーの所有者です。
rgp_client.gui.loading_entries,Loading...,読み込み中...
rgp_client.gui.no_worlds,You have no FTB Worlds. Click 'Create FTB World' to create an FTB World!,FTBワールドがありません。『FTB Worldを作成』をクリックしてFTBワールドを作成してください！
rgp_client.gui.promo_header,Want to easily play with friends?,友達と簡単に遊ぶのに興味ありますか？
rgp_client.gui.promo_subheader,Create an FTB World with just a few clicks and invite your friends to join you!,数クリックだけでFTBワールドを作成し、友達を招待して一緒に遊ぼう！
rgp_client.gui.service_unavailable,This service is currently unavailable: %s,このサービスは現在利用できません: %s
rgp_client.gui.worlds_configuration.approve_invite,Approve Join Request,参加リクエストを承認
rgp_client.gui.worlds_configuration.cannot_join_different_modpack,Cannot join different modpack,異なるモッドパックには参加できません
rgp_client.gui.worlds_configuration.cannot_start_different_modpack,Selected world is for a different modpack,選択されたワールドは別のモッドパック用です
rgp_client.gui.worlds_configuration.create_invite,Create Invite,招待リンクを作成
rgp_client.gui.worlds_configuration.decline_invite,Decline Join Request,参加リクエストを拒否
rgp_client.gui.worlds_configuration.decline_invite_confirmation,Are you sure you want to decline %s's request to join your FTB World?,FTBワールドへの参加リクエストを拒否してもよろしいですか？（%s）
rgp_client.gui.worlds_configuration.invited_players,Invited Players,招待されたプレイヤー
rgp_client.gui.worlds_configuration.manage_billing,Billing,請求
rgp_client.gui.worlds_configuration.manage_worlds,Worlds & Backups,世界とバックアップ
rgp_client.gui.worlds_configuration.occupied_slots,%s of %s world slots used,%s の %s ワールドスロット使用済み
rgp_client.gui.worlds_configuration.remove_player,Remove Player,プレイヤーを除外する
rgp_client.gui.worlds_configuration.remove_player_confirmation,Are you sure you want to remove %s from your FTB World?,FTBワールドから%sを削除しますか？
rgp_client.gui.worlds_configuration.rename_server,Rename FTB World,FTB世界を再命名
rgp_client.gui.worlds_configuration.server_management,Management,管理
rgp_client.gui.worlds_configuration.start_world,Start,開始
rgp_client.gui.worlds_configuration.stop_world,Stop,停止
rgp_client.gui.worlds_configuration.storage_used,Storage Used: ,ストレージ使用: 
rgp_client.gui.worlds_configuration.title,Configure FTB World,FTBワールド設定
rgp_client.gui.worlds_configuration.view_codes,View Codes,コード表示
rgp_client.gui.worlds_create_invite.shared_invite,Create Shared Invite Code,共有招待コードを作成
rgp_client.gui.worlds_create_invite.shared_invite_desc,"Shared codes can be used indefinitely, but you must manually approve each user.",共有コードは無期限で使用できるが、各ユーザーを手動で承認する必要があります。
rgp_client.gui.worlds_create_invite.single_use_invite,Create Single-use Invite Code,ワンタイム招待コードを作成
rgp_client.gui.worlds_create_invite.single_use_invite_desc,Single-use codes automatically add a user to the world once accepted and can only be used once.,単一使用コードは受理されるとワールドにユーザーを自動的に追加し、1回しか使用できません。
rgp_client.gui.worlds_create_invite.title,Create Invite Code,招待コードを作成
rgp_client.gui.worlds_creation.checkout,Checkout,チェックアウト
rgp_client.gui.worlds_creation.checkout_info,Checkout Info,チェックアウト情報
rgp_client.gui.worlds_creation.creating_world,Creating world...,世界を作成中...
rgp_client.gui.worlds_creation.loadout,Plan,計画
rgp_client.gui.worlds_creation.loadout_desc,Select the plan to use for your FTB World.,FTBワールドで使用する計画を選択してください。
rgp_client.gui.worlds_creation.loadout_selection,Plan: %s,計画: %s
rgp_client.gui.worlds_creation.loadout_selection_details,Plan Details:,計画詳細:
rgp_client.gui.worlds_creation.plan_options,Plan Options,計画オプション
rgp_client.gui.worlds_creation.region,Region,地域
rgp_client.gui.worlds_creation.region_desc,Select the region that your FTB World will be located in.,FTBワールドが配置されるリージョンを選択してください。
rgp_client.gui.worlds_creation.region_selection,Region: %s,領域: %s
