key,source_text,target_text
rightclickharvest.jamlibconfig.enum.HungerLevel.HIGH,High,高
rightclickharvest.jamlibconfig.enum.HungerLevel.LOW,Low,低
rightclickharvest.jamlibconfig.enum.HungerLevel.NONE,None,なし
rightclickharvest.jamlibconfig.enum.HungerLevel.NORMAL,Normal,通常
rightclickharvest.jamlibconfig.harvestInRadius,Harvest in Radius,収穫範囲
rightclickharvest.jamlibconfig.harvestInRadius.tooltip,Make hoes of different tiers harvest multiple blocks in a radius. Requires `requireHoe` to be set to true.,異なるティアのクワが半径内の複数のブロックを収穫できるようにします。`requireHoe`をtrueに設定する必要があります。
rightclickharvest.jamlibconfig.hungerLevel,Hunger Level,消費する満腹度
rightclickharvest.jamlibconfig.hungerLevel.tooltip,The food usage when harvesting crops.,収穫時に消費する満腹度レベル
rightclickharvest.jamlibconfig.requireHoe,Require Hoe,クワを必須にする
rightclickharvest.jamlibconfig.requireHoe.tooltip,"Only allow harvesting certain crops (e.g. wheat, carrots) if the player is holding a hoe in their hand.",プレイヤーがクワを持っている場合のみ、小麦、ニンジンなど特定の作物の収穫を可能にします。
rightclickharvest.jamlibconfig.title,Right Click Harvest Config,右クリック収穫設定
rightclickharvest.jamlibconfig.useHunger,Use Hunger,餓の使用
rightclickharvest.jamlibconfig.useHunger.tooltip,Use hunger when harvesting crops.,収穫時に餓を消費する。
config.rightclickharvest.discord,Chat on Discord,Discordでチャット
config.rightclickharvest.experienceType,XP Type,経験値タイプ
config.rightclickharvest.experienceType.cost,Cost XP,コスト経験値
config.rightclickharvest.experienceType.none,None,なし
config.rightclickharvest.experienceType.reward,Reward XP,報酬経験値
config.rightclickharvest.experienceType.tooltip,Whether XP should be taken or given for harvesting.,収穫時にXPを取得するか付与するかを決定します。
config.rightclickharvest.github,Report bugs and request new features on GitHub,GitHubでバグ報告と新機能リクエスト
config.rightclickharvest.harvestInRadius,Harvest in Radius,収穫範囲
config.rightclickharvest.harvestInRadius.tooltip,Make hoes of different tiers harvest multiple blocks in a radius.,クワのランクに応じて、収穫範囲を広げます。
config.rightclickharvest.hungerLevel,Hunger Level,消費する満腹度
config.rightclickharvest.hungerLevel.high,High,高
config.rightclickharvest.hungerLevel.low,Low,低
config.rightclickharvest.hungerLevel.none,None,なし
config.rightclickharvest.hungerLevel.normal,Normal,通常
config.rightclickharvest.hungerLevel.tooltip,The food usage when harvesting crops.,収穫時に消費する満腹度レベル
config.rightclickharvest.modrinth,Check for updates on Modrinth,Modrinthでアップデートを確認
config.rightclickharvest.requireHoe,Require Hoe,クワを必須にする
config.rightclickharvest.requireHoe.tooltip,"Only allow harvesting certain crops (e.g. wheat, carrots) if the player is holding a hoe in their hand.",プレイヤーがクワを持っている場合のみ、小麦、ニンジンなど特定の作物の収穫を可能にします。
config.rightclickharvest.showServerWarning,Show Server Warning,サーバー警告を表示
config.rightclickharvest.showServerWarning.tooltip,Whether to show the warning about playing on a server without RightClickHarvest installed.,RightClickHarvest がインストールされていないサーバーでプレイする際の警告を表示するかどうか
config.rightclickharvest.title,Right Click Harvest Config,右クリック収穫設定
tag.block.rightclickharvest.blacklist,Harvest Blacklist,収穫ブラックリスト
tag.block.rightclickharvest.hoe_never_required,Hoe Not Required,クワは不要
tag.block.rightclickharvest.radius_harvest_blacklist,Radius Harvest Blacklist,半径収穫ブラックリスト
tag.item.rightclickharvest.high_tier_hoes,High Tier Hoes,高級クワ
tag.item.rightclickharvest.low_tier_hoes,Low Tier Hoes,低段階クワ
tag.item.rightclickharvest.mid_tier_hoes,Mid Tier Hoes,中段階クワ
text.rightclickharvest.install_on_server_warning,"RightClickHarvest is not installed on the server. To function, the mod needs to be installed on the server, as well as optionally on the client. Set %s to %s in the config to disable this message.",RightClickHarvestがサーバーにインストールされていません。このModが機能するには、サーバーと必要に応じてクライアント側にもインストールする必要があります。設定ファイルで %s を %s に設定するとこのメッセージを無効にできます。
text.rightclickharvest.use_a_hoe_warning,"RightClickHarvest is configured to require holding a hoe for harvesting - do so, or set %s to %s in the config to disable this requirement. This message will only be shown once.",RightClickHarvestは収穫時にクワを持つことが必須として設定されています。そのように行うか、設定ファイルで %s を %s に設定してこの要件を無効にしてください。このメッセージは一度だけ表示されます。
