key,source_text,target_text
death.attack.runiclib.creative_shock,%1$s had their creativity zapped out of them,%1$s の創造性が奪われた
death.attack.runiclib.creative_shock.player,%2$s zapped out the creativity from %2$s,%2$s が %2$s から創造力を消し去った
death.attack.runiclib.retaliation,%1$s couldn't handle the backlash,%1$sは反応を処理できませんでした
death.attack.runiclib.retaliation.player,%1$s couldn't handle the backlash from attacking %2$s,%1$sは%2$sへの攻撃からの反撃に対処できませんでした
death.attack.runiclib.venom,%1$s had their vital organs shut down by venom,%1$s は毒によって重要臓器を停止させられました
death.attack.runiclib.venom.player,%2$s watched %1$s have their body fail due to venom,%2$s は %1$s が毒で体が崩れるのを見た
effect.runiclib.adrenaline,Adrenaline,加速
effect.runiclib.adrenaline.description,Increases the user's movement speed the lower health out of max health they have.,ユーザーの移動速度を、最大体力に対する残り体力が低いほど上げます。
effect.runiclib.berserk,Berserk,バーサーカー
effect.runiclib.berserk.description,Increases the user's attack damage the lower health out of max health they have.,最大体力からの残り体力が低いほど、ユーザーの攻撃ダメージが増加します。
effect.runiclib.bleeding,Bleeding,出血
effect.runiclib.bleeding.description,Prevents the user to heal any health.,ユーザーの体力回復を防ぎます。
effect.runiclib.blood_clot,Blood Clot,血液凝固
effect.runiclib.blood_clot.description,Prevents the user to heal from natural regeneration.,自然再生による回復を防止します
effect.runiclib.brimstone_vision,Brimstone Vision,ブリムストーンビジョン
effect.runiclib.brimstone_vision.description,Allows the user to see clearly under lava.,ユーザーが溶岩下でもはっきり見えるようにします。
effect.runiclib.burning_thorns,Burning Thorns,燃える棘
effect.runiclib.burning_thorns.description,Burns attackers.,攻撃者に炎を付ける。
effect.runiclib.caffeinated,Caffeinated,カフェイン化
effect.runiclib.caffeinated.description,Increases all major stats slightly.,すべての主要統計値を少し上昇させる
effect.runiclib.caffeine_crash,Caffeine Crash,カフェインの衝撃
effect.runiclib.caffeine_crash.description,Decreases all major stats slightly.,すべての主要統計値を少し低下させる
effect.runiclib.chronos,Chronos,クロノス
effect.runiclib.chronos.description,Decreases the tick rate of the user's active effects.,ユーザーのアクティブ効果のティック率を減少させます。
effect.runiclib.confusion,Confusion,混乱
effect.runiclib.confusion.description,Disables advanced F3 and hides the user's health bar.,高度なF3を無効にし、ユーザーのヘルスバーを隠します。
effect.runiclib.creative_shock,Creative Shock,創造性の衝撃
effect.runiclib.creative_shock.description,Damages the user when attempting to build.,建築しようとするとダメージを受けます。
effect.runiclib.heartbreak,Heartbreak,心碎れ
effect.runiclib.heartbreak.description,"Reduces the user's max health, updates the health bar immediately.",ユーザーの最大体力を減少させ、ヘルスバーを即座に更新します。
effect.runiclib.lava_walking,Lava Walking,溶岩歩行
effect.runiclib.lava_walking.description,Allows the user to walk on lava.,ユーザーが溶岩を歩けるようにする。
effect.runiclib.lesser_strength,Lesser Strength,弱い強さ
effect.runiclib.lesser_strength.description,Increases +1.0 attack damage.,攻撃ダメージを+1.0増加させる。
effect.runiclib.lesser_weakness,Lesser Weakness,弱い弱さ
effect.runiclib.lesser_weakness.description,Decreases -1.0 attack damage.,攻撃ダメージを-1.0減少させる。
effect.runiclib.perception,Perception,感覚
effect.runiclib.perception.description,Entities nearby the user will begin to glow.,ユーザー近くのエンティティが光り始める。
effect.runiclib.pyromaniac,Pyromaniac,放火魔
effect.runiclib.pyromaniac.description,Heals the user slowly while standing in fire.,火中に立つと徐々に回復します。
effect.runiclib.retaliation,Retaliation,復讐
effect.runiclib.retaliation.description,Hurts attackers.,攻撃者にダメージを与える。
effect.runiclib.shatterspleen.description,Multiplies the amount of damage taken.,受けるダメージ量を増加させます。
effect.runiclib.tempus,Tempus,テンプス
effect.runiclib.tempus.description,Increases the tick rate of the user's active effects.,ユーザーのアクティブ効果のティック率を増加させます。
effect.runiclib.trail_blazing,Trail Blazing,トレイルブレイジング
effect.runiclib.trail_blazing.description,"When not sneaking, a trail of fire will emit from the user's feet.",しゃがまない状態で、足元から炎のトレイルが放出されます。
effect.runiclib.traversal,Traversal,移動
effect.runiclib.traversal.description,Teleports the user to their spawn location or world spawn if none is found.,ユーザーをスポーン位置またはワールドスポーンへテレポートします（見つからない場合）。
effect.runiclib.venom,Venom,ヴェノム
effect.runiclib.venom.description,Deals lethal damage to the user over time.,時間経過で致命的なダメージを与えます。
effect.runiclib.water_walking,Water Walking,水上歩行
effect.runiclib.water_walking.description,Allows the user to walk on water.,ユーザーが水面を歩けるようにします。
runiclib.generic.burning_retaliation_chance,Burning Retaliation Chance,燃焼による復讐確率
runiclib.generic.burning_retaliation_length,Burning Retaliation Length,燃焼による復讐持続時間
runiclib.generic.critical_strike_chance,Critical Strike Chance,命中確率
runiclib.generic.critical_strike_multiplier,Critical Strike Multiplier,クリティカルストライク倍率
runiclib.generic.dodge_chance,Dodge Chance,回避確率
runiclib.generic.lifesteal_amount,Lifesteal Amount,生命奪取量
runiclib.generic.lifesteal_chance,Lifesteal Chance,生命奪取確率
runiclib.generic.retaliation_amount,Retaliation Amount,反撃量
runiclib.generic.retaliation_chance,Retaliation Chance,反撃確率
runiclib.generic.vulnerability_chance,Vulnerability Chance,脆弱性確率
runiclib.generic.vulnerability_multiplier,Vulnerability Multiplier,脆弱性倍率
effect.runiclib.shatterspleen,Shatterspleen,
