key,source_text,target_text
category.showmeyourskin.showmeyourskin,Show Me Your Skin!,あなたのスキンを示してみよう！
gui.showmeyourskin.armorScreen.combatTooltip,Automatically disable transparency in combat,戦闘時に透明度を自動的に無効化する
gui.showmeyourskin.armorScreen.deleteButtonTooltip,Delete transparency override,透過性上書きの削除
gui.showmeyourskin.armorScreen.glintTooltip,Enable enchantment glint,エンチャントの光沢を有効化
gui.showmeyourskin.armorScreen.global,Global,グローバル
gui.showmeyourskin.armorScreen.globalToggleTooltip,"Global toggle, press %1$s to toggle ingame.",グローバルトグル、%1$s を押してゲーム内で切り替えます。
gui.showmeyourskin.armorScreen.nameTagTooltip,Show player name tag,プレイヤー名タグを表示
gui.showmeyourskin.armorScreen.openButtonTooltip,Open armor transparency override,防具の透明度上書きを表示
gui.showmeyourskin.armorScreen.overridden,Overridden,オーバーライド
gui.showmeyourskin.armorScreen.overridesConfigure,"Configure local overrides.
(not visible to other players)",ローカルオーバーライドを設定します。
gui.showmeyourskin.armorScreen.overridesEnabled,"Enable local overrides.
(not visible to other players)",ローカル上書きを有効にします
gui.showmeyourskin.armorScreen.piece.chest,Chestplate: %d%%,胸甲: %d%%
gui.showmeyourskin.armorScreen.piece.elytra,Elytra: %d%%,エリトラ: %d%%
gui.showmeyourskin.armorScreen.piece.feet,Boots: %d%%,ブーツ: %d%%
gui.showmeyourskin.armorScreen.piece.hat,Hat: %d%%,帽子: %d%%
gui.showmeyourskin.armorScreen.piece.head,Helmet: %d%%,ヘルメット: %d%%
gui.showmeyourskin.armorScreen.piece.legs,Leggings: %d%%,レッグガード: %d%%
gui.showmeyourskin.armorScreen.piece.shield,Shield: %d%%,シールド: %d%%
gui.showmeyourskin.armorScreen.playerName,%s,%s
gui.showmeyourskin.armorScreen.playerSelector,Armor Config,防具設定
gui.showmeyourskin.armorScreen.shieldGlintTooltip,Show enchantment glint on shield,盾にエンチャントの光を表示
gui.showmeyourskin.armorScreen.showElytraTooltip,Show Elytra,エリトラを表示
gui.showmeyourskin.armorScreen.synced,Synced,同期
gui.showmeyourskin.armorScreen.title,Armor Config,防具設定
gui.showmeyourskin.armorScreen.title.serverIntegrated,Armor Config (Server),防具設定（サーバー）
gui.showmeyourskin.armorScreen.title.serverOverrides,Armor Config (Local Overrides),防具設定（ローカル上書き）
key.showmeyourskin.global_toggle,Toggle Mod,モジュールを切り替える
key.showmeyourskin.global_toggle.disable,§cDisabled §rarmor rendering customisation.,§cDisabled §r装甲描画カスタマイズ.
key.showmeyourskin.global_toggle.enable,§aEnabled §rarmor rendering customisation.,§a有効化 §r防具レンダリングカスタマイズ。
key.showmeyourskin.open_settings,Open Armor Config,防具設定を開く
