key,source_text,target_text
itemGroup.simplegenerators.creative_tab,Simple Generators,シンプルな発電機
itemgroup.simplegenerators.creative_tab,Simple Generators,シンプルな発電機
gui.simplegenerators.energy,Energy,エネルギー
gui.simplegenerators.stored,Stored,保存済み
gui.simplegenerators.capacity,Capacity,容量
gui.simplegenerators.fuelbuffer,Fuel Buffer,燃料バッファ
gui.simplegenerators.fuelbufferlevel,Total,合計
gui.simplegenerators.fuelbufferconsumed,Consumed,消費
gui.simplegenerators.fepermb,FE Per mb,FE Per mb
gui.simplegenerators.feperitem,Total FE,総FE
gui.simplegenerators.fluidtank,Fluid Tank,液体タンク
gui.simplegenerators.fluid,Fluid,流体
tile.simplegenerators.combustion_simple.name,Simple Combustion Generator,シンプルな燃焼発電機
tile.simplegenerators.culinary_simple.name,Simple Culinary Generator,シンプルな調理発電機
tile.simplegenerators.ender_simple.name,Simple Ender Generator,シンプルエンダージェネレーター
tile.simplegenerators.nether_simple.name,Simple Nether Generator,シンプルネザー発電機
tile.simplegenerators.geothermal_simple.name,Simple Geothermal Generator,シンプルな地熱発電機
tile.simplegenerators.fluid_combustion_simple.name,Simple Fluid Combustion Generator,シンプルな液体燃焼発電機。
tile.simplegenerators.turbine_simple.name,Simple Turbine Generator,シンプルタービン発電機
tile.simplegenerators.soul_simple.name,Simple Soul Generator,シンプルソウルジェネレーター
tile.simplegenerators.combustion_upgradable.name,Upgradable Combustion Gen,アップグレード可能な燃焼発電機
tile.simplegenerators.culinary_upgradable.name,Upgradable Culinary Gen,アップグレード可能な料理生成器
tile.simplegenerators.ender_upgradable.name,Upgradable Ender Gen,アップグレード可能なエンダー発電機
tile.simplegenerators.nether_upgradable.name,Upgradable Nether Gen,アップグレード可能なネザー生成
tile.simplegenerators.geothermal_upgradable.name,Upgradable Geothermal Gen,アップグレード可能な地熱発電機
tile.simplegenerators.fluid_combustion_upgradable.name,Upgradable Fluid Combustion Gen,アップグレード可能な液体燃焼発電機
tile.simplegenerators.turbine_upgradable.name,Upgradable Turbine Generator,アップグレーダブルタービンジェネレーター
tile.simplegenerators.soul_upgradable.name,Upgradable Soul Generator,アップグレード可能な魂発電機
guide.simplegenerators.buttontitle,Simple Generators,シンプルな発電機
guide.simplegenerators.buttontooltip,Simple Generators Guide,シンプルジェネレーターズガイド
guide.simplegenerators.upgradable,Upgradable,アップグレード可能
guide.simplegenerators.modifierslots,Modifier Slot Count,修飾子スロット数
guide.simplegenerators.modifiers,Modifiers,修飾子
guide.simplegenerators.energybuffer,Energy Buffer,エネルギー緩衝器
guide.simplegenerators.energy_tick,Energy Rate,エネルギー率
guide.simplegenerators.tank,Tank Capacity,タンク容量
guide.simplegenerators.modifiers.page.title,Modifiers,修飾子
guide.simplegenerators.modifiers.button.title,Modifiers,修飾子
guide.simplegenerators.combustion.page.title,Combustion Generators,コンバスションジェネレーター
guide.simplegenerators.combustion.button.title,Combustion Generators,燃焼発生器
guide.simplegenerators.combustion.description,Combustion generators burn combustible solid fuels to generate energy. These fuels can include furnace fuels and others.,燃焼ジェネレーターは、可燃性の固体燃料を燃焼させてエネルギーを生成します。これらの燃料には、かまどの燃料やその他のアイテムが含まれます。
guide.simplegenerators.culinary.page.title,Culinary Generators,料理ジェネレーター
guide.simplegenerators.culinary.button.title,Culinary Generators,料理ジェネレーター
guide.simplegenerators.culinary.description,Culinary Generators burn foods to generate energy. These fuels can include pretty much any food.,料理発電機は食べ物を燃料としてエネルギーを生成します。この燃料にはほぼすべての食べ物が含まれます。
guide.simplegenerators.ender.page.title,Ender Generators,エンダーガジェネレーター
guide.simplegenerators.ender.button.title,Ender Generators,エンダーガジェネレーター
guide.simplegenerators.ender.description,The Ender Generators use ender based items to generate energy. These usually are items such as ender pearls or ender eyes.,エンダーゼネレーターはエンダーベースのアイテムを使用してエネルギーを生成します。通常、これらはエンダーパール、またはエンダーアイなどのアイテムです。
guide.simplegenerators.nether.page.title,Nether Generators,ネザー発電機
guide.simplegenerators.nether.button.title,Nether Generators,ネザー発電機
guide.simplegenerators.nether.description,The Nether Generators use nether based items to generate energy. These usually are items such as nether stars ore blocks of nether stars.,ネザーゼネレーターはネザーベースのアイテムを使用してエネルギーを生成します。通常、これらはネザースター、またはネザースターの鉱石ブロックなどのアイテムです。
guide.simplegenerators.geothermal.page.title,Geothermal Generators,地熱発生器
guide.simplegenerators.geothermal.button.title,Geothermal Generators,地熱発生器
guide.simplegenerators.geothermal.description,Geothermal Generators generate energy from hot fluids such as Lava.,地熱発電機は溶岩などの高温液体からエネルギーを生成します
guide.simplegenerators.fluid_combustion.page.title,Fluid Combustion Generators,液体燃焼発電機
guide.simplegenerators.fluid_combustion.button.title,Fluid Combustion Generators,液体燃焼発電機
guide.simplegenerators.fluid_combustion.description,Fluid Combustion Generators generate energy from combustable fluids such as fuel or ethenol.,流体燃焼発電機は、燃料やエチノールなど可燃性液体からエネルギーを生成する。
guide.simplegenerators.turbine.page.title,Turbine Generators,タービン発電機
guide.simplegenerators.turbine.button.title,Turbine Generators,タービン発電機
guide.simplegenerators.turbine.description,Turbine Generators require hot gasseous substances such as Steam to generate energy.,タービングレーナーは蒸気などの熱ガス状物質が必要で、エネルギーを生成します。
guide.simplegenerators.soul.page.title,Soul Generators,魂生成器
guide.simplegenerators.soul.button.title,Soul Generators,魂生成器
guide.simplegenerators.soul.description,Soul Generaters require items that have remnents of a mobs souls left behind. Usually these items are mob heads or other rare drops from mobs.,ソウルゼネレーターは、モブの魂の残骸が残されたアイテムが必要です。通常、これらのアイテムはモブヘッド、またはモブからの他のレアドロップです。
guide.simplegenerators.modifier_speed.desc,The speed modifier will increase the speed at which the generator runs. Use with caution as speed and consumption rates are increased equally.,スピード修飾子は、ジェネレーターが動作するスピードを増加させます。スピードと消費率は同等に増加するため、注意して使用してください。
guide.simplegenerators.modifier_efficiency,The Generator doesnt run any faster but it will use less fuel.,発電機は速く動作しませんが、燃料消費量は減ります
