key,source_text,target_text
modmenu.descriptionTranslation.skinlayers3d,Renders the player skin layer in 3d,プレイヤースキンレイヤーを3Dで描画する
text.skinlayers.basevoxelsize,Voxel Size,ボクセルのサイズ
text.skinlayers.basevoxelsize.tooltip,The size of the voxels used for players,プレイヤーに適用するボクセルのサイズ
text.skinlayers.bodyvoxelheightsize,Body Voxel Height,体ボクセルの高さ
text.skinlayers.bodyvoxelheightsize.tooltip,The height of the voxels used for the player's body(used to prevent clipping into the head/sticking out of the arms),プレイヤーの体に適用するボクセルの高さ（頭部へのクリッピング/腕からのはみ出し防止等に使用）
text.skinlayers.bodyvoxelwidthsize,Torso Voxel Width,胴体ボクセルの幅
text.skinlayers.bodyvoxelwidthsize.tooltip,The width of the voxels used for the player's torso(used to prevent clipping into the arms),プレイヤーの胴体に適用するボクセルの幅（腕にクリッピングするのを防止するのに使用）
text.skinlayers.compatibilityMode.enable,Compatibility Mode,互換モード
text.skinlayers.compatibilityMode.enable.tooltip,"Alternative way to render the layers, might fix some compatibility issues with other mods",レイヤーをレンダリングする代替方法。その他のモッドとの互換性問題を修正できる可能性があります
text.skinlayers.enable.hat,3D Hat,3D帽子
text.skinlayers.enable.hat.tooltip,Render the player's hat layer as a 3D model,プレイヤーの帽子レイヤーを3Dモデルにレンダリングする
text.skinlayers.enable.jacket,3D Jacket,3D上着
text.skinlayers.enable.jacket.tooltip,Render the player's jacket layer as a 3D model,プレイヤーの上着レイヤーを3Dモデルにレンダリングする
text.skinlayers.enable.leftpants,3D Left Pants,3D左股下
text.skinlayers.enable.leftpants.tooltip,Render the player's left pants layer as a 3D model,プレイヤーの左股下レイヤーを3Dモデルにレンダリングする
text.skinlayers.enable.leftsleeve,3D Left Sleeve,3D左袖
text.skinlayers.enable.leftsleeve.tooltip,Render the player's left sleeve layer as a 3D model,プレイヤーの左袖レイヤーを3Dモデルにレンダリングする
text.skinlayers.enable.rightpants,3D Right Pants,3D右股下
text.skinlayers.enable.rightpants.tooltip,Render the player's right pants layer as a 3D model,プレイヤーの右股下レイヤーを3Dモデルにレンダリングする
text.skinlayers.enable.rightsleeve,3D Right Sleeve,3D右袖
text.skinlayers.enable.rightsleeve.tooltip,Render the player's right sleeve layer as a 3D model,プレイヤーの右袖レイヤーを3Dモデルにレンダリングする
text.skinlayers.fastrender.enable,Fast Render,高速レンダリング
text.skinlayers.fastrender.enable.tooltip,"Render the 3D models as fast as possible, this may cause some graphical glitches with transparency",3Dモデルを可能な限り速くレンダリングする
text.skinlayers.firstperson.voxelsize,First Person Voxel Size,一人称のボクセルサイズ
text.skinlayers.firstperson.voxelsize.tooltip,The size of the voxels used for the player's hand in first person,一人称視点の腕に適用するボクセルのサイズ
text.skinlayers.headvoxelsize,Head Voxel Size,頭ボクセルのサイズ
text.skinlayers.headvoxelsize.tooltip,The size of the voxels used for the player's head,プレイヤーの頭部に適用するボクセルのサイズ
text.skinlayers.irisCompatibilityMode.enable,Iris Compatibility Mode,アイリス互換モード
text.skinlayers.irisCompatibilityMode.enable.tooltip,"Alternative way to render the layers, fixes weird shadows/colors when using Iris shaders. Only turn this setting on when needed. Will break the corner connections.",レイヤーをレンダリングする別の方法で、Irisシェーダー使用時の奇妙な影や色を修正します。必要な場合のみこの設定をオンにしてください。コーナーの接続が壊れます。
text.skinlayers.renderdistancelod,Level Of Detail Distance,詳細度の距離
text.skinlayers.renderdistancelod.tooltip,The distance at which the model will switch to a lower level of detail(vanilla 2d),モデルを低詳細（バニラのモデル）に切り替える距離
text.skinlayers.reset,Default,デフォルトにリセット
text.skinlayers.skulls.enable,3D Skulls,3D頭ブロック
text.skinlayers.skulls.enable.tooltip,Render players heads(the block) as a 3D model,プレイヤーの頭（ブロック）を3Dモデルにレンダリングする
text.skinlayers.skulls.voxelsize,Skull Voxel Size,頭ブロックボクセルのサイズ
text.skinlayers.skulls.voxelsize.tooltip,The size of the voxels used for players heads(the block/item),プレイヤーの頭（ブロック/アイテム）に適用するボクセルのサイズ
text.skinlayers.skullsitems.enable,3D Skull Items,3D頭ブロック（アイテム）
text.skinlayers.skullsitems.enable.tooltip,Render players heads(the item) as a 3D model,プレイヤーの頭（アイテム）を3Dモデルにレンダリングする
text.skinlayers.tab.heads,Player Heads,プレイヤーヘッド
text.skinlayers.tab.other,Other Settings,その他の設定
text.skinlayers.tab.player,Players,プレイヤー
text.skinlayers.title,3D Skin Layer Settings,3D Skin Layer
