key,source_text,target_text
sodium.extras.options.clouds.height.desc,"Raises cloud height.
Configure the height of the clouds","クラウドの高さを上げます。
クラウドの高さを設定します"
sodium.extras.options.clouds.height.title,Cloud Height,雲の高さ
sodium.extras.options.common.advanced,Advanced,高度
sodium.extras.options.common.attach,Attach,接続
sodium.extras.options.common.experimental,[EXPERIMENTAL],[実験的]
sodium.extras.options.common.fast,Fast,速い
sodium.extras.options.common.fastest,Fastest,最速
sodium.extras.options.common.millis,ms,
sodium.extras.options.common.normal,Normal,通常
sodium.extras.options.common.off,Off,オフ
sodium.extras.options.common.on,On,オン
sodium.extras.options.common.realtime,Real Time,リアルタイム
sodium.extras.options.common.replace,Replace,置換
sodium.extras.options.common.simple,Simple,シンプル
sodium.extras.options.common.slow,Slow,遅い
sodium.extras.options.common.superfast,Super Fast,超高速
sodium.extras.options.culling.entity.desc,"If enabled, Entities will be hidden based on configured distance limit",有効にすると、エンティティは設定された距離制限に基づいて隠されます
sodium.extras.options.culling.entity.distance.horizontal.title,Entities Max Distance (Horizontal),エンティティの最大距離（水平）
sodium.extras.options.culling.entity.distance.vertical.desc,"Hides and does not tick entities underneath this many blocks, improving performance above caves. This should ideally be set lower than the horizontal distance.",この距離より下のエンティティは非表示になり、洞窟上部のパフォーマンスが向上します。これは水平距離より低い値に設定するのが理想的です。
sodium.extras.options.culling.entity.distance.vertical.title,Entities Max Distance (Vertical),エンティティ最大距離（垂直）
sodium.extras.options.culling.entity.title,Use Max Entity Distance,エンティティ最大距離を使用
sodium.extras.options.culling.page,Entity Culling,エンティティの削除
sodium.extras.options.culling.tile.distance.horizontal.title,Block Entities Max Distance (Horizontal),ブロックエンティティ最大距離（水平）
sodium.extras.options.culling.tile.distance.vertical.desc,"Hides block entities underneath this many blocks, improving performance above caves (if you have your machines in caves, for some reason). This should ideally be set lower than the horizontal distance.",この距離より下のブロックエンティティは非表示になり、洞窟上部のパフォーマンスが向上します（何らかの理由で洞窟にマシンがある場合）。これは水平距離より低い値に設定するのが理想的です。
sodium.extras.options.culling.tile.distance.vertical.title,Block Entities Max Distance (Vertical),ブロックエンティティ最大距離(垂直)
sodium.extras.options.culling.tiles.desc,"If enabled, Block Entities will be hidden based on configured distance limit",有効にした場合、ブロックエンティティは設定された距離制限に基づいて非表示になります
sodium.extras.options.culling.tiles.title,Use max Block Entity Distance,最大ブロックエンティティ距離を使用する
