key,source_text,target_text
statuseffectbars.configuration.backgroundColor,Background Color,背景色
statuseffectbars.configuration.backgroundColor.tooltip,Background color of the bars (ARGB format),バーの背景色（ARGB形式）
statuseffectbars.configuration.behavior,Behavior,挙動
statuseffectbars.configuration.beneficialForegroundColor,Beneficial Foreground Color,有益な前景色
statuseffectbars.configuration.beneficialForegroundColor.tooltip,Foreground color for beneficial effects (ARGB format),有効効果の前景色（ARGB形式）
statuseffectbars.configuration.color,Color,色
statuseffectbars.configuration.colorMode,Color Mode,色モード
statuseffectbars.configuration.colorMode.tooltip,"Color mode for status effect bars
EFFECT_COLOR: Use the color of the status effect
CUSTOM: Use custom colors defined below
CATEGORY: Use colors based on effect category (beneficial/harmful/neutral)","ステータス効果バーの色モード
EFFECT_COLOR: ステータス効果の色を使用
CUSTOM: 下記で定義したカスタム色を使用
CATEGORY: 効果カテゴリ（有益/有害/中立）に基づいた色を使用"
statuseffectbars.configuration.fineTuning,Fine Tuning,詳細調整
statuseffectbars.configuration.harmfulForegroundColor,Harmful Foreground Color,有害な前景色
statuseffectbars.configuration.harmfulForegroundColor.tooltip,Foreground color for harmful effects (ARGB format),有害効果の前景色（ARGB形式）
statuseffectbars.configuration.hud,HUD,
statuseffectbars.configuration.hud.collinearOffset,HUD Collinear Offset,HUDの共線オフセット
statuseffectbars.configuration.hud.collinearOffset.tooltip,Offset along the bar's main axis,バーの主軸に沿ったオフセット
statuseffectbars.configuration.hud.collinearPadding,HUD Collinear Padding,HUD コリニアルパディング
statuseffectbars.configuration.hud.collinearPadding.tooltip,Padding along the bar's main axis,バーの主軸方向のパディング
statuseffectbars.configuration.hud.direction,HUD Direction,HUD方向
statuseffectbars.configuration.hud.direction.tooltip,Direction of the bar,バーの方向
statuseffectbars.configuration.hud.enabled,HUD Enabled,HUD有効
statuseffectbars.configuration.hud.enabled.tooltip,Enable status effect bars in hud,HUDでステータス効果バーを有効化
statuseffectbars.configuration.hud.orthogonalOffset,HUD Orthogonal Offset,HUD オーソゴナルオフセット
statuseffectbars.configuration.hud.orthogonalOffset.tooltip,Offset perpendicular to the bar,バーに垂直なオフセット
statuseffectbars.configuration.hud.relativeToEnd,HUD Relative to End,HUD: エンドに依存
statuseffectbars.configuration.hud.relativeToEnd.tooltip,"Whether the bar is placed relative to the end (bottom/right),
or the start (top/left) of the effect rectangle","バーがインベントリ内の効果矩形の終端（下/右）に相対的に配置されるか、
または開始位置（上/左）に配置されるかを指定します"
statuseffectbars.configuration.hud.thickness,HUD Thickness,HUD厚さ
statuseffectbars.configuration.hud.thickness.tooltip,Thickness of the bar in pixels,バーのピクセル幅
statuseffectbars.configuration.inventory,Inventory,インベントリ
