key,source_text,target_text
structure.structory_towers.ancient_temple,Ancient Temple,古代寺院
structure.structory_towers.end/end_tower,End Tower,エンドタワー
structure.structory_towers.engineer_tower,Engineer Tower,技術者の塔
structure.structory_towers.farmer_outpost,Farmer Outpost,農民前哨基地
structure.structory_towers.foraging_outpost,Foraging Outpost,採集前哨基地
structure.structory_towers.great_toadstool,Great Toadstool,大きなトードストール
structure.structory_towers.mirage_outpost,Mirage Outpost,蜃気楼前哨基地
structure.structory_towers.nether/fortress_tower,Fortress Tower,要塞の塔
structure.structory_towers.nether/strange_outpost,Strange Outpost,奇妙な前哨基地
structure.structory_towers.nether/warped_outpost,Warped Outpost,変異した前哨基地
structure.structory_towers.nomad_outpost,Nomad Outpost,放浪者前哨基地
structure.structory_towers.overgrown_mangrove,Overgrown Mangrove Tower,過成長マングローブ塔
structure.structory_towers.pillager_lookout,Pillager Lookout,略奪者の見張り台
structure.structory_towers.quarter_outpost,Quarter Outpost,クォーター前哨基地
structure.structory_towers.sacred_relic_temple,Sacred Relic Temple,神聖な遺物の寺院
structure.structory_towers.small_firetower,Small Firetower,小型火塔
structure.structory_towers.taiga_outpost,Taiga Outpost,タイガ前哨基地
structure.structory_towers.warped_greatsword,Warped Greatsword,ワーピッド・グレートソード
structure.structory_towers.wizard_tower,Wizard Tower,魔法使いの塔
structure.structory_towers.lighthouse,Lighthouse,
structure.structory_towers.ocean_pillar,Ocean Pillar,
