key,source_text,target_text
advancements.takesapillage.bastille.title,"Eh-eh-oh, eh-oh",えーえお、えーお
advancements.takesapillage.pillager_camp.description,Locate a Pillager Camp,ピラーガーキャンプを探す
advancements.takesapillage.pillager_camp.title,Campfire Song Song,キャンプファイヤーの歌
advancements.takesapillage.root.description,Explore the Overworld for New Structures!,オーバーワールドで新しい構造物を探検しよう！
advancements.takesapillage.root.title,It Takes A Pillage,略奪が必要です
death.attack.archer,%1$s was sniped by %2$s,%1$s は %2$s にスナイプされた
death.attack.archer.item,%1$s was sniped %2$s using %3$s,%1$s が %2$s を %3$s で狙撃しました
death.attack.clay_golem,%1$s was pummeled by %2$s,%1$sは%2$sに泥弾で打ちのめされた
death.attack.clay_golem.item,%1$s was pummeled %2$s using %3$s,%1$s が %2$s を %3$s で叩きつけた
death.attack.legioner,%1$s was struck down by %2$s,%1$s は %2$s によって撃墜されました
death.attack.legioner.item,%1$s was struck down by %2$s while wielding %3$s,%1$s は %2$s によって %3$s を持っている間に倒されました
death.attack.skirmisher,%1$s was chopped to bits by %2$s,%1$s は %2$s によって破壊されました。
death.attack.skirmisher.item,%1$s was chopped to bits by %2$s while wielding %3$s,%1$s は %2$s によって %3$s を持ちながら砕かれました
entity.takesapillage.archer,Archer,射手
entity.takesapillage.clay_golem,Clay Golem,粘土ゴーレム
entity.takesapillage.legioner,Legioner,レジオンナー
entity.takesapillage.skirmisher,Skirmisher,スクリミシャー
instrument.takesapillage.raid_horn,Raid Horn,襲撃の鈴
item.takesapillage.archer_spawn_egg,Archer Spawn Egg,弓手の産卵卵
item.takesapillage.bastille_blues_music_disc,Music Disc,レコード
item.takesapillage.bastille_blues_music_disc.desc,izofar - Bastille Blues,izofar - バスティルブルーズ
item.takesapillage.legioner_spawn_egg,Legioner Spawn Egg,レギオナー スポーンエッグ
item.takesapillage.skirmisher_spawn_egg,Skirmisher Spawn Egg,スキーマイザー生成卵
subtitle.takesapillage.entity.clay_golem.attack,Clay Golem attacks,粘土ゴーレムの攻撃
subtitle.takesapillage.entity.clay_golem.damage,Clay Golem breaks,粘土ゴーレムが壊れた
subtitle.takesapillage.entity.clay_golem.death,Clay Golem dies,粘土ゴーレムが死亡
subtitle.takesapillage.entity.clay_golem.hurt,Clay Golem hurts,粘土ゴーレムがダメージを受ける
subtitle.takesapillage.entity.clay_golem.repair,Clay Golem repairred,粘土ゴーレム修復済み
subtitle.takesapillage.entity.clay_golem.step,Clay Golem steps,粘土ゴーレムが歩く
subtitle.takesapillage.entity.legioner.ambient,Legioner murmurs,レジオンナーが低語する
subtitle.takesapillage.entity.legioner.celebrate,Legioner celebrates,レジオン兵の祝賀
subtitle.takesapillage.entity.legioner.death,Legioner dies,レジオンナーの死
subtitle.takesapillage.entity.legioner.hurt,Legioner hurts,パイル・シージ
takesapillage.configGui.easyGolemRate.title,Easy Difficulty Clay Golem Replacement,簡易難度の粘土ゴーレム置換
takesapillage.configGui.hardGolemRate.title,Hard Difficulty Clay Golem Replacement,高度難度の粘土ゴーレム置換
takesapillage.configGui.normalGolemRate.title,Normal Difficulty Clay Golem Replacement,通常難易度の粘土ゴーレム置換
takesapillage.configGui.peacefulGolemRate.title,Peaceful Difficulty Clay Golem Replacement,平和難易度の粘土ゴーレム置き換え
takesapillage.configGui.pillageSiegesOccur.title,Pillage Sieges,チームが見つかりません
takesapillage.configGui.removeBadOmen.title,Milk Removes Bad Omen,ミルクで悪い印を除去
takesapillage.configGui.replaceIronGolems.title,Clay Golem Spawns,粘土ゴーレムが出現した
takesapillage.configGui.title,It Takes a Pillage - Config,It Takes a Pillage - 配置
advancements.takesapillage.bastille.description,Locate a Bastille,
item.takesapillage.ravager_horn,Ravager Horn,
