key,source_text,target_text
itemGroup.tesla_core_lib,Tesla Core Lib,テスラコアライブラリ
item.teslacorelib.gear_wood.name,Wood Gear,木製ギア
item.teslacorelib.gear_stone.name,Stone Gear,石のギア
item.teslacorelib.gear_iron.name,Iron Gear,鉄のギア
item.teslacorelib.gear_gold.name,Gold Gear,金のギア
item.teslacorelib.gear_diamond.name,Diamond Gear,ダイヤモンドのギア
item.teslacorelib.gear_emerald.name,Emerald Gear,エメラルドのギア
item.teslacorelib.gear_redstone.name,Redstone Gear,レッドストーンギア
item.teslacorelib.gear_lapis.name,Lapis Gear,ラピス製ギア
item.teslacorelib.powder_coal.name,Coal Powder,石炭粉
item.teslacorelib.powder_iron.name,Iron Powder,鉄粉
item.teslacorelib.powder_gold.name,Gold Powder,金粉
item.teslacorelib.powder_diamond.name,Diamond Powder,ダイヤモンド粉
item.teslacorelib.powder_emerald.name,Emerald Powder,エメラルド粉
item.teslacorelib.powder_adamantine.name,Adamantine Powder,アダマントンの粉
item.teslacorelib.powder_antimony.name,Antimony Powder,アンチモン粉末
item.teslacorelib.powder_aquarium.name,Aquarium Powder,水槽粉末
item.teslacorelib.powder_bismuth.name,Bismuth Powder,ビスマスpowder
item.teslacorelib.powder_brass.name,Brass Powder,ブラス粉
item.teslacorelib.powder_bronze.name,Bronze Powder,青銅粉
item.teslacorelib.powder_coldiron.name,Coldiron Powder,コールドアイロン粉末
item.teslacorelib.powder_copper.name,Copper Powder,銅粉
item.teslacorelib.powder_cupronickel.name,Cupronickel Powder,カプリニッケル粉末
item.teslacorelib.powder_electrum.name,Electrum Powder,エレクトラム粉末
item.teslacorelib.powder_invar.name,Invar Powder,インバール粉
item.teslacorelib.powder_lead.name,Lead Powder,鉛粉
item.teslacorelib.powder_mercury.name,Mercury Powder,水銀粉
item.teslacorelib.powder_mithril.name,Mithril Powder,ミスリル粉
item.teslacorelib.powder_nickel.name,Nickel Powder,ニッケル粉
item.teslacorelib.powder_pewter.name,Pewter Powder,白鉛粉
item.teslacorelib.powder_platinum.name,Platinum Powder,プラチナ粉末
item.teslacorelib.powder_silver.name,Silver Powder,銀粉
item.teslacorelib.powder_starsteel.name,Starsteel Powder,スタースチールパウダー
item.teslacorelib.powder_steel.name,Steel Powder,鋼鉄粉
item.teslacorelib.powder_tin.name,Tin Powder,スズ粉
item.teslacorelib.powder_zinc.name,Zinc Powder,亜鉛粉
item.teslacorelib.powder_aluminum.name,Aluminium Powder,アルミニウム粉
item.teslacorelib.powder_aluminum_brass.name,Aluminium Brass Powder,アルミニウム・ブラス粉末
item.teslacorelib.powder_cadmium.name,Cadmium Powder,カドミウム粉
item.teslacorelib.powder_chromium.name,Chromium Powder,クロム粉末
item.teslacorelib.powder_galvanized_steel.name,Galvanized Steel Powder,鍛鉄粉末
item.teslacorelib.powder_iridium.name,Iridium Powder,イリジウム粉
item.teslacorelib.powder_magnesium.name,Magnesium Powder,マグネシウムパウダー
item.teslacorelib.powder_manganese.name,Manganese Powder,マンガンパウダー
item.teslacorelib.powder_nichrome.name,Nichrome Powder,ニッケルクロム粉末
item.teslacorelib.powder_osmium.name,Osmium Powder,オスミウム粉
item.teslacorelib.powder_plutonium.name,Plutonium Powder,プラトニウムパウダー
item.teslacorelib.powder_rutile.name,Rutile Powder,ルチル粉
item.teslacorelib.powder_stainless_steel.name,Stainless Steel Powder,ステンレス鋼粉末
item.teslacorelib.powder_tantalum.name,Tantalum Powder,タンタル粉末
item.teslacorelib.powder_titanium.name,Titanium Powder,チタン粉
item.teslacorelib.powder_tungsten.name,Tungsten Powder,ウランの粉
item.teslacorelib.powder_uranium.name,Uranium Powder,ウランパウダー
item.teslacorelib.powder_zirconium.name,Zirconium Powder,ジルコニウムパウダー
item.teslacorelib.sheet_iron.name,Iron Sheet,鉄の板
item.teslacorelib.sheet_gold.name,Gold Sheet,金シート
item.teslacorelib.sheet_diamond.name,Diamond Sheet,ダイヤモンドシート
item.teslacorelib.sheet_emerald.name,Emerald Sheet,エメラルドシート
item.teslacorelib.sheet_redstone.name,Redstone Sheet,レッドストーンシート
item.teslacorelib.sheet_lapis.name,Lapis Sheet,ラピスシート
item.teslacorelib.energy_tier1.name,Energy Upgrade I,エネルギーアップグレードI
item.teslacorelib.energy_tier2.name,Energy Upgrade II,エネルギーアップグレードII
item.teslacorelib.speed_tier1.name,Speed Upgrade I,スピードアップグレードI
item.teslacorelib.speed_tier2.name,Speed Upgrade II,スピードアップグレードII
item.teslacorelib.wrench.name,Tesla Wrench,テスラレンチ
item.teslacorelib.battery.name,Tesla Battery,テスラバッテリー
item.teslacorelib.base_addon.name,Base Addon,ベースアドオン
item.teslacorelib.machine_case.name,Machine Case,マシンケース
tile.teslacorelib.test_machine.name,Test All-in-One Machine,テスト全合一マシン
tile.teslacorelib.test_machine2.name,Test Fluids Machine,液体テストマシン
tile.teslacorelib.creative_generator.name,Creative Generator,クリエイティブ発電機
gui.teslacorelib.energy.stored_energy,Stored Energy,蓄えられたエネルギー
gui.teslacorelib.energy.stored_line_1,%s of,%s の
gui.teslacorelib.energy.stored_line_2,%s,%s
gui.teslacorelib.energy.statistic,%s (%s),%s (%s)
gui.teslacorelib.energy.tesla,T,T
gui.teslacorelib.energy.redstone_flux,RF,RF
gui.teslacorelib.energy.buildcraft_mj,MJ,MJ
gui.teslacorelib.energy.tesla_format,%s T,%s T
gui.teslacorelib.energy.redstone_flux_format,%s RF,%s RF
gui.teslacorelib.energy.buildcraft_mj_format,%s MJ,%s MJ
gui.teslacorelib.work_energy.work_energy_buffer,Work Energy Buffer,作業用エネルギーバッファ
gui.teslacorelib.work_energy.work_energy_line_1,%s of %s,%s の %s
gui.teslacorelib.work_energy.work_energy_line_2,max: %s / tick,最大: %s / タック
gui.teslacorelib.work_energy.work_energy_line_3,~ every %s ticks,~ 毎 %s タイク
gui.teslacorelib.work_energy.waiting_for_work,Waiting For Work,作業を待っています
gui.teslacorelib.side_config.energy,Energy,エネルギー
gui.teslacorelib.side_config.energy_items,Energy Items,エネルギーアイテム
gui.teslacorelib.side_config.charge_pad,Charge Pad,充電パッド
gui.teslacorelib.side_config.fluid_containers,Fluid Containers,液体容器
gui.teslacorelib.side_config.back,Back,戻る
gui.teslacorelib.side_config.front,Front,前
gui.teslacorelib.side_config.right,Right,右
gui.teslacorelib.side_config.left,Left,左
gui.teslacorelib.side_config.up,Up,Up
gui.teslacorelib.side_config.down,Down,下
gui.teslacorelib.redstone.always_active,Always Active,常に有効
gui.teslacorelib.redstone.active_on_redstone_signal,Active on Redstone Signal,レッドストーン信号でアクティブ
gui.teslacorelib.redstone.active_without_redstone_signal,Active without Redstone Signal,レッドストーン信号なしでも動作
gui.teslacorelib.fluid_tank.fluid,Fluid: %s,液体: %s
gui.teslacorelib.fluid_tank.fluid_empty,Empty,空
gui.teslacorelib.fluid_tank.fluid_amount_format,%s mb,%s mb
gui.teslacorelib.fluid_tank.fluid_amount,%s of %s,%s の %s
gui.teslacorelib.fluid_tank.hovering_with,Hovering with: %s,飛行中: %s
gui.teslacorelib.fluid_tank.accepting_fluid,Accepting fluid,液体を受け入れる
gui.teslacorelib.fluid_tank.not_accepting_fluid,Not accepting fluid,液体を受け付けていません
gui.teslacorelib.fluid_tank.can_fill_from_container,Can fill from container,コンテナから充填できます
gui.teslacorelib.lockable_inventory.unlock_inventory,Unlock Inventory,インベントリを解錠
gui.teslacorelib.lockable_inventory.lock_inventory,Lock Inventory,インベントリをロック
