key,source_text,target_text
_comment,========================================================================================================,========================================================================================================
attachment.thermal.energy_limiter,Redstone Flux Limiter,レッドストーンフラックスリミッター
attachment.thermal.filter,Fluiduct Filter,流体ダクトフィルター
attachment.thermal.servo,Fluiduct Servo,流体ダクトサーボ
attachment.thermal.turbo_servo,Fluiduct Turbo-Servo,流体ダクトターボサーボ
block.thermal.ender_tunnel.keyword,entangloporter quantum tesseract,エンタングロポーター クォンタム テッセラクト
block.thermal.energy_distributor,RF Distribution Interface,RF配給インターフェイス
block.thermal.energy_distributor.keyword,energy rf transfer,エネルギー RF 転送
block.thermal.energy_duct,Fluxduct,フラックスダクト
block.thermal.energy_duct.keyword,energy rf transfer,エネルギー RF 転送
block.thermal.fluid_distributor,Fluid Distribution Interface,流体配給インターフェイス
block.thermal.fluid_distributor.keyword,fluid transfer,fluid 転送
block.thermal.fluid_duct,Fluiduct,流体ダクト
block.thermal.fluid_duct.keyword,energy rf transfer,エネルギー RF 転送
block.thermal.fluid_duct_windowed,Fluiduct (Windowed),流体ダクト(窓付き)
block.thermal.item_buffer,Logistical Item Buffer,物流アイテムバッファ
info.thermal.energy_limiter_attachment.0,Limits the amount of energy flowing through it.,これを通して流れるエネルギー量を制限します。
info.thermal.energy_limiter_attachment.1,Can be configured to allow different amounts in each direction.,それぞれの方向へ向かう量をそれぞれ変更できます。
info.thermal.energy_limiter_attachment.2,Hold §e§oShift§r and/or §e§oCtrl§r to fine tune amounts.,シフトキーやCtrlキーで入出力量を細かく設定できます。§r§r§r
info.thermal.filter_attachment.mode.0,Bidirectional Filtering,双方向フィルタリング
info.thermal.filter_attachment.mode.1,Outbound (From Duct) Filtering,アウトバウンド(ダクトから)フィルタリング
info.thermal.filter_attachment.mode.2,Inbound (To Duct) Filtering,インバウンド(ダクトへ)フィルタリング
info.thermal.fluid_filter_attachment.0,Place items containing fluid in slots to add the fluid to the filter list.,液体を含むアイテムをスロットに置くと、フィルターリストに液体が登録されます。
info.thermal.fluid_filter_attachment.1,Additional options can be used to fine-tune filtering.,追加オプションからより細かいフィルター設定や流出量の微調整を行えます。
info.thermal.fluid_filter_attachment.2,Redstone Control can be used to temporarily disable filtering.,レッドストーン制御でフィルター設定を一時的に無効にできます。
info.thermal.fluid_servo_attachment.0,Place items containing fluid in slots to add the fluid to the filter list.,液体を含むアイテムをスロットに置くと、フィルターリストに液体が登録されます。
info.thermal.fluid_servo_attachment.1,Additional options can be used to fine-tune filtering.,追加オプションからより細かいフィルター設定や流出量の微調整を行えます。
info.thermal.fluid_servo_attachment.2,Redstone Control is used to enable extraction.,レッドストーン制御で流体の流出を有効にできます。
info.thermal.fluid_turbo_servo_attachment.0,"A much faster Servo, with limited filtering.",フィルター項目が少ないがとても早いサーボです。
info.thermal.fluid_turbo_servo_attachment.1,Place items containing fluid in the filter slot.,液体の入ったアイテムをスロットに置いてフィルタリング設定できます。
info.thermal.fluid_turbo_servo_attachment.2,Additional options can be used to fine-tune filtering and extraction amount.,追加オプションからより細かいフィルター設定や流出量の微調整を行えます。
info.thermal.fluid_turbo_servo_attachment.3,Redstone Control is used to enable extraction.,レッドストーン制御で流体の流出を有効にできます。
info.thermal.item_buffer.0,Restricts quantity and flow of items.,アイテムの数と流量を制限します。
info.thermal.item_buffer.1,Set desired items and quantities using the left grid.,左のグリッドで、希望するアイテムとその個数を設定します。
info.thermal.item_buffer.2,Mouse wheel can be used to fine-tune item quantity.,ラッチI/Oは、搬出にはすべてのアイテムが存在する必要があります。
info.thermal.item_buffer.3,Latch I/O requires all items to be present before extraction is allowed.,特定のアイテムの比率を維持するのに役立ちます。
info.thermal.item_buffer.4,Very useful for maintaining specific item ratios.,アイテム比率を維持するのに非常に便利です。
info.thermal.item_buffer.mode.0,I/O: Normal,I/O: 通常
info.thermal.item_buffer.mode.1,I/O: Latch,I/O: ラッチ
item.thermal.energy_limiter_attachment,Attachment: Redstone Flux Limiter,アタッチメント: レッドストーンフラックスリミッター
item.thermal.filter_attachment,Attachment: Filter,アタッチメント: フィルター
item.thermal.servo_attachment,Attachment: Servo,アタッチメント: サーボ
item.thermal.turbo_servo_attachment,Attachment: Turbo-Servo,アタッチメント: ターボサーボ
