key,source_text,target_text
block.thermalendergy.melodium_block,Melodium Block,メロディウムブロック
block.thermalendergy.prismalium_block,Prismalium Block,プリズマリウムブロック
block.thermalendergy.stellarium_block,Stellarium Block,ステラリウムブロック
item.thermalendergy.dynamo_consumption_nullifier_augment,Consumption Nullifier Augment,消費無効化オーグメント
item.thermalendergy.dynamo_fuel_nullifier_augment,Fuel Nullifier Augment,燃料無効化オーグメント
item.thermalendergy.efficiency_nullifier_augment,Efficiency Nullifier Augment,効率無効化オーグメント
item.thermalendergy.endergy_upgrade_1,Pristine Integral Components,初等統合コンポーネント
item.thermalendergy.endergy_upgrade_2,Melodic Integral Components,メロディック統合コンポーネント
item.thermalendergy.endergy_upgrade_3,Stellar Integral Components,星界統合コンポーネント
item.thermalendergy.energy_nullifier_augment,Energy Nullifier Augment,エネルギー無効化オーグメント
item.thermalendergy.melodic_range_augment,Extended Range Augment,拡張レンジオーグメント
item.thermalendergy.melodium_coin,Melodium Coin,メロディウムコイン
item.thermalendergy.melodium_dust,Melodium Dust,メロディウムダスト
item.thermalendergy.melodium_gear,Melodium Gear,メロディウムギア
item.thermalendergy.melodium_ingot,Melodium Ingot,メロディウムインゴット
item.thermalendergy.melodium_nugget,Melodium Nugget,メロディウムナゲット
item.thermalendergy.melodium_plate,Melodium Plate,メロディウムプレート
item.thermalendergy.prismalium_coin,Prismalium Coin,プリズマリウムコイン
item.thermalendergy.prismalium_dust,Prismalium Dust,プリズマリウムダスト
item.thermalendergy.prismalium_gear,Prismalium Gear,プリズマリウムギア
item.thermalendergy.prismalium_ingot,Prismalium Ingot,プリズマリウムインゴット
item.thermalendergy.prismalium_nugget,Prismalium Nugget,プリズマリウムナゲット
item.thermalendergy.prismalium_plate,Prismalium Plate,プリズマリウムプレート
item.thermalendergy.resonant_catalyst_augment,Catalyst Resonation Chamber Augment,触媒共鳴チェンバーオーグメント
item.thermalendergy.stellarium_coin,Stellarium Coin,ステラリウムコイン
item.thermalendergy.stellarium_dust,Stellarium Dust,ステラリウムダスト
item.thermalendergy.stellarium_gear,Stellarium Gear,ステラリウムギア
item.thermalendergy.stellarium_ingot,Stellarium Ingot,ステラリウムインゴット
item.thermalendergy.stellarium_nugget,Stellarium Nugget,ステラリウムナゲット
item.thermalendergy.stellarium_plate,Stellarium Plate,ステラリウムプレート
item.thermalendergy.vibrating_core,Vibrating Core,振動コア
itemGroup.thermalendergy,Thermal Endergy,サーマルエネルギー
