key,source_text,target_text
block.tinyredstone.block_chopper,Block Chopper,ブロックチョッパー
block.tinyredstone.redstone_panel,Redstone Panel,レッドストーンパネル
block.tinyredstone.tiny_container,Tiny Component Container,小さなコンポーネント容器
item.tinyredstone.blueprint,Tiny Redstone Blueprint,小さなレッドストーン設計図
item.tinyredstone.dark_panel_cover,Dark Panel Cover,ダークパネルカバー
item.tinyredstone.light_panel_cover,Light Panel Cover,ライトパネルカバー
item.tinyredstone.redstone_wrench,Tiny Component Wrench,ミニコンポーネント用レンチ
item.tinyredstone.silicon,Silicon,シリコン
item.tinyredstone.silicon_compound,Silicon Compound,シリコン化合物
item.tinyredstone.tiny_button,Tiny Wooden Button,小型木製ボタン
item.tinyredstone.tiny_color_selector,Color Selector,色選択器
item.tinyredstone.tiny_comparator,Tiny Comparator,小さな比較器
item.tinyredstone.tiny_lever,Tiny Lever,ミニレバー
item.tinyredstone.tiny_note_block,Tiny Note Block,小さなメモブロック
item.tinyredstone.tiny_observer,Tiny Observer,小さな観測器
item.tinyredstone.tiny_piston,Tiny Piston,小さなピストン
item.tinyredstone.tiny_redstone,Tiny Redstone Dust,微小なレッドストーン粉
item.tinyredstone.tiny_redstone_block,Tiny Redstone Block,小さなレッドストーンブロック
item.tinyredstone.tiny_redstone_bridge,Tiny Redstone Bridge,小さなレッドストーンブリッジ
item.tinyredstone.tiny_redstone_lamp,Tiny Redstone Lamp,小型レッドストーンランプ
item.tinyredstone.tiny_redstone_torch,Tiny Redstone Torch,小さなレッドストーンランプ
item.tinyredstone.tiny_repeater,Tiny Repeater,ミニリピーター
item.tinyredstone.tiny_solid_block,Tiny Solid Block,小さな固体ブロック
item.tinyredstone.tiny_sticky_piston,Tiny Sticky Piston,小さな粘着ピストン
item.tinyredstone.tiny_stone_button,Tiny Stone Button,小さな石のボタン
item.tinyredstone.tiny_super_repeater,Tiny Super Repeater,小型超復写器
item.tinyredstone.tiny_transparent_block,Tiny Transparent Block,小さな透明ブロック
item.tinyredstone.trim_panel_cover,Trimming Panel Cover,トリミングパネルカバー
itemGroup.tinyredstone,Tiny Redstone,ミニレッドストーン
key.tinyredstone.rotation_lock,Lock rotation (use scroll),回転をロック（スクロール使用）
message.block.tinyredstone.block_chopper,Crafts tiny blocks and camouflage circuit covers from most full-sized blocks. No silicon required!,ほぼすべてのフルサイズブロックから小さなブロックとカモフラージュ回路被覆を作成します。シリコンは不要です！
message.item.blueprint.empty,"§7Right click a circuit to save to this blueprint.
Right Click in air to import a circuit from a JSON file.§r","§7回路をセーブするにはサーキットを右クリックしてこのブループリントに保存します。
空中で右クリックするとJSONファイルから回路をインポートできます。§r"
message.item.blueprint.full,"§7Right click to place this circuit on a panel or in world.
Right click the air to export to a JSON file.

§dRequires the following:§r","§7右クリックしてこの回路をパネルまたはワールドに配置します。
空中で右クリックするとJSONファイルにエクスポートできます。

§d以下が必要です:§r"
message.item.redstone_panel,"§7Panel to hold tiny components.
Right click with dye to change color.§r",§7小さな部品を保持するパネルです。
message.item.redstone_panel_cell,Can be placed on a Redstone Panel or in-world to form a redstone circuit.,レッドストーンパネルまたはワールド内に配置してレッドストーン回路を形成できます。
message.item.redstone_wrench,"§7Right-click a Redstone Panel to rotate.
Left click to remove tiny components.
Shift-left click to remove all of them.§r","§7レッドストーンパネルを右クリックして回転させます。
左クリックして小さなコンポーネントを削除します。
シフト+左クリックしてすべてを削除します。§r"
message.item.tiny_color_selector,"§7Right click on a tiny block to select its color.
Works with most cube shaped components.§r",§7 小さなブロックを右クリックして色を選択してください。
message.item.tinyredstone.dark_panel_cover,"Hides circuitry and prevents rendering and client syncing.
Does not allow light to penetrate.
Use the Block Chopper to create a camouflage cover with nearly any texture.","回路を隠し、レンダリングとクライアント同期を防ぎます。
光を透過させません。
ブロックチョッパーを使用してほぼすべてのテクスチャでカモフラージュカバーを作成できます。"
message.item.tinyredstone.light_panel_cover,"Hides circuitry and prevents rendering.
Allows light to penetrate.
Use the Block Chopper to create a camouflage cover with nearly any texture.","回路を隠し、レンダリングを防ぎます。
光を透過させます。
ブロックチョッパーを使用してほぼすべてのテクスチャでカモフラージュカバーを作成できます。"
message.item.tinyredstone.tiny_button,Output redstone on all 4 sides and bottom for 15 ticks when activated.,アクティブ時に15タックで全4面と下側からレッドストーン出力します
message.item.tinyredstone.tiny_comparator,"Will pick up weak signals from adjacent blocks and inventory comparator outputs when placed on the edge of a panel.Right click to toggle subtract mode.",パネルの端に配置した場合、隣接するブロックとインベントリコンパレータの出力から弱信号を受け取ります。右クリックして減算モードを切り替えます。
message.item.tinyredstone.tiny_lever,"Outputs redstone on all 4 sides and bottom when on.
Right click to toggle on/off.",全4面と底にレッドストーンを出力します。
message.item.tinyredstone.tiny_observer,"Outputs a pulse to the back whenever a change is detected in the cell or block in front of it.
When facing blocks out in the world, it behaves exactly like a vanilla observer.
When facing cells on the tile, it will detect movement, placement, removal and redstone changes.
Can be pushed by Tiny Pistons.","セル内の変化またはその前のブロックが検出されたときに、背面にパルスを出力します。
ワールドのブロックを向いている場合、バニラオブザーバーとまったく同じように動作します。
タイル上のセルを向いている場合、移動、配置、削除、レッドストーン変化を検出します。
小型ピストンによって押し出すことができます。"
