key,source_text,target_text
gui.tips.list.config,Config,設定
gui.tips.list.entry.added_by,Added by: %s,追加者: %s
gui.tips.list.entry.click_to_copy,Click to copy ID,クリックしてIDをコピー
gui.tips.list.entry.copied,Copied!,コピーしました！
gui.tips.list.entry.cycle_time,Cycle Time: %s,サイクル タイム: %s
gui.tips.list.entry.disabled,Disabled by config!,構成によって無効にされました!
gui.tips.list.entry.tip_id,Tip ID: %s,ヒント ID: %s
gui.tips.list.search,Search,検索
gui.tips.list.show_disabled,Show Disabled,無効を表示
gui.tips.list.title,Tips List,ヒント リスト
tips.tip.animal_growing,You can boost the growth of baby animals by feeding them.,赤ちゃん動物に餌を与えると成長を促進できます。
tips.tip.arthropods,"Spiders, Silverfish, Bees, and Endermites all take damage from Bane of Arthropods.",クモ、シルバーフィッシュ、ミツバチ、エンダーマイトはすべて節足動物の破滅からダメージを受けます。
tips.tip.baby_panda_slimeball,Baby Pandas have a 0.1% chance to drop a slimeball after they sneeze.,赤ちゃんパンダがくしゃみをした後、0.1% の確率でスライムボールをドロップします。
tips.tip.barrel,Barrels are more efficient than chests; they don't require a block overhead and can be put together infinitely.,樽は箱より効率的です。ブロックの上部スペースを必要とせず、無限に繋げることができます。
tips.tip.bed_explode,Trying to sleep in other dimensions will end poorly.,他の次元で眠ろうとすると死に至ります。
tips.tip.bed_respawn,Sleeping in a bed will set your spawn point.,ベッドで寝るとスポーンポイントが設定されます。
tips.tip.biome_bonemeal,"Using bone meal on grass blocks, gives you different flowers depending on the biome you're in.",骨粉を草ブロックに使用すると、生息地に応じて異なる花が出現します。
tips.tip.biome_fishing,Fishing in a Jungle can give you different items compared to fishing in other biomes.,ジャングルでの釣りでは、他のバイオームでの釣りとは異なるアイテムが得られます。
tips.tip.blaze_fuel,Blaze rods are good fuel for furnaces.,ブレイズ ロッドはかまどの燃料として最適です。
tips.tip.blaze_snowball,Blazes are the only hostile mobs that take damage from snowballs.,ブレイズは雪玉からダメージを受ける唯一の敵対的モブです。
tips.tip.boat_jump,By placing a boat in lava you can make a temporary platform.,ボートを溶岩に置くことで、一時的なプラットフォームを作ることができます。
tips.tip.boat_passenger,Boats can carry two passengers.,ボートは 2 人を運ぶことができます
tips.tip.coarse_to_dirt,Coarse Dirt can be converted into normal dirt using a hoe.,粗い土は、鍬を使用して通常の土に変換できます。
tips.tip.cooked_drops,Animals killed by fire damage will sometimes drop cooked food.,火傷で死亡した動物は時々調理済み食べ物をドロップします。
tips.tip.creeper_cat,Creepers are afraid of cats and will run away from them.,クリーパーは猫を恐れて逃げます。
tips.tip.creeper_drops_disc,"If a Skeleton's or Stray's arrow kills a Creeper, the Creeper drops a random music disc (excluding the nether music disc).",スケルトンまたはストレイの矢がクリーパーを倒すと、クリーパーはランダムなレコード（ネザーレコードを除く）を落とします。
tips.tip.crouch_blocks,Sneaking/Crouching will prevent you from falling off the side of blocks.,スニークまたはしゃがむと、ブロックの側面から落ちるのを防ぐことができます。
tips.tip.deflect_ghast_fireballs,You can deflect Ghast Fireballs by attacking them.,攻撃することで、ガスト ファイアボールをそらすことができます。
tips.tip.dog_health,"The lower a dog's tail, the less health they have left.",犬のしっぽが低いほど、残っている健康状態が少なくなります。
tips.tip.dog_rotten_flesh,You can heal your dogs by feeding them Rotten Flesh.,腐った肉を与えることで犬を癒すことができます。
