key,source_text,target_text
subtitles.tklib.wrench,Wrenching Noises,レンチの音
tooltip.tklib.color.black,Black,黒
tooltip.tklib.color.blue,Blue,青
tooltip.tklib.color.brown,Brown,茶
tooltip.tklib.color.cyan,Cyan,青緑
tooltip.tklib.color.gray,Gray,灰色
tooltip.tklib.color.green,Green,緑
tooltip.tklib.color.light_blue,Light Blue,空色
tooltip.tklib.color.light_gray,Light Gray,薄灰色
tooltip.tklib.color.lime,Lime,黄緑
tooltip.tklib.color.magenta,Magenta,赤紫
tooltip.tklib.color.orange,Orange,橙
tooltip.tklib.color.pink,Pink,桃色
tooltip.tklib.color.purple,Purple,紫
tooltip.tklib.color.red,Red,赤
tooltip.tklib.color.white,White,白
tooltip.tklib.color.yellow,Yellow,黄
