key,source_text,target_text
item.toolbelt.belt,Tool Belt,ツールベルト
item.toolbelt.pouch,Belt Pouch,ベルトポーチ
key.toolbelt.category,Tool Belt,ツールベルト
key.toolbelt.cycle.left,Cycle Tool Left,左に回す
key.toolbelt.cycle.right,Cycle Tool Right,右に回す
key.toolbelt.open,Swap Tool,道具の入れ替え
key.toolbelt.slot,Open Belt Slot Inventory,ベルト用のインベントリスロットを開く
text.toolbelt,Tool Belt,ツールベルト
text.toolbelt.empty,EMPTY,空の
text.toolbelt.extract,EXTRACT,取り出す
text.toolbelt.insert,INSERT,しまう
text.toolbelt.swap,SWAP,入れ替え
text.toolbelt.tooltip,Upgrades: %s (%s slots),強化回数：%s（%sスロット）
