key,source_text,target_text
commands.dragonslayer.name,Slayer,スレイヤー
commands.toolkit.clipboard.copied,§e--Copied to Clipboard--,§e--クリップボードにコピーしました--
commands.toolkit.enchant.failed.missing_enchant,%s does not have the enchantment %s,%s には %s のエンチャントがありません
commands.toolkit.enchant.success,%s has been enchanted with %s,%s は %s でエンチャントされました
commands.toolkit.failed.missing_player,This command can only be run from in-game as a player,このコマンドはゲーム内でプレイヤーとして実行できるのみ
commands.toolkit.hand.handempty,--HAND IS EMPTY--,--手が空です--
commands.toolkit.kill.done,Removed %s entities.,%s エンティティを削除しました。
commands.toolkit.kill.no,No %s found!,%sが見つかりません!
commands.toolkit.kill.start,Killing %s entities.,%s エンティティを殺害しました。
commands.toolkit.kill.type.all,All,すべて
commands.toolkit.kill.type.animals,Animals,動物
commands.toolkit.kill.type.items,Items,アイテム
commands.toolkit.kill.type.me,Current player,現在のプレイヤー
commands.toolkit.kill.type.monsters,Monsters,モンスター
commands.toolkit.kill.type.players,Players,プレイヤー
commands.toolkit.kill.type.xp,XP Orbs,経験値玉
commands.toolkit.la.missing,Missing argument 0=block/1=fluid,引数0=ブロック/1=液体が欠落しています
commands.toolkit.oredist.missing,Missing arguments §r[AreaSize],引数が不足しています §r[AreaSize]
commands.toolkit.remove.done,--Block removal done--,--ブロック除去完了--
commands.toolkit.remove.lagwarring,§c--WARNING-- Lag incoming.. removing a lot of blocks,§c--警告-- ラグが発生しています.. 多くのブロックを削除中
commands.toolkit.remove_enchant.failed,%s could not be removed from %s,%s を %s から削除できませんでした
commands.toolkit.remove_enchant.success,%s has been removed from %s,%s が %s から削除されました
commands.toolkit.repair.success,%s has been repaired,%s が修復されました
commands.toolkit.wip,--This command doesn't function yet--,--このコマンドはまだ機能していません--
commands.unknown.argument,--Unknown argument--,--不明な引数--
enchantment.level.100,C,C
enchantment.level.101,CI,CI
enchantment.level.102,CII,CII
enchantment.level.103,CIII,CIII
enchantment.level.104,CIV,CIV
enchantment.level.105,CV,CV
enchantment.level.106,CVI,CVI
enchantment.level.107,CVII,CVII
enchantment.level.108,CVIII,CVIII
enchantment.level.109,CIX,CIX
enchantment.level.11,XI,XI
enchantment.level.110,CX,CX
enchantment.level.111,CXI,CXI
enchantment.level.112,CXII,CXII
enchantment.level.113,CXIII,CXIII
enchantment.level.114,CXIV,CXIV
enchantment.level.115,CXV,CXV
enchantment.level.116,CXVI,CXVI
enchantment.level.117,CXVII,CXVII
