key,source_text,target_text
trashcans.advancement.trash_can.description,Craft a trash can,ゴミ箱をクラフトする
trashcans.advancement.trash_can.title,Don't forget to recycle,リサイクルを忘れずに
trashcans.advancement.ultimate_trash_can.description,Craft an ultimate trash can,究極のゴミ箱をクラフトする
trashcans.advancement.ultimate_trash_can.title,The Ultimate Trash Can,究極のゴミ箱
trashcans.block.energy_trash_can,Energy Trash Can,エネルギーゴミ箱
trashcans.block.item_trash_can,Item Trash Can,アイテムゴミ箱
trashcans.block.liquid_trash_can,Fluid Trash Can,液体ゴミ箱
trashcans.block.ultimate_trash_can,Ultimate Trash Can,究極のゴミ箱
trashcans.energy_trash_can.info,"Can void energy, can also limit the energy transfer rate",エネルギーを消去できます。エネルギー転送レートを制限することもできます。
trashcans.gui.arrow.left,Decrease energy limit,エネルギー限界を低下させる
trashcans.gui.arrow.right,Increase energy limit,エネルギー限界を増加させる
trashcans.gui.energy_trash_can.check.off,Unlimited,無制限
trashcans.gui.energy_trash_can.check.on,Limited,制限
trashcans.gui.energy_trash_can.limit,Transfer Limit,転送限界
trashcans.gui.energy_trash_can.limit.change1,SHIFT %s,シフト %s
trashcans.gui.energy_trash_can.limit.change2,CTRL %s,コントロール %s
trashcans.gui.energy_trash_can.limit.change3,CTRL & SHIFT %s,コントロール & シフト %s
trashcans.gui.energy_trash_can.title,Energy Trash Can,エネルギーゴミ箱
trashcans.gui.energy_trash_can.value,Max $number$ FE/t,最大 $number$ FE/t
trashcans.gui.item_trash_can.filter,Filter,フィルター
trashcans.gui.item_trash_can.title,Item Trash Can,アイテムゴミ箱
trashcans.gui.liquid_trash_can.filter,Liquid Trash Can,液体ゴミ箱
trashcans.gui.liquid_trash_can.title,Liquid Trash Can,液体ゴミ箱
trashcans.gui.ultimate_trash_can.energy_limit,Energy Transfer Limit,エネルギー転送限界
trashcans.gui.ultimate_trash_can.item_filter,Item Filter,アイテムフィルター
trashcans.gui.ultimate_trash_can.liquid_filter,Liquid Filter,液体フィルター
trashcans.gui.ultimate_trash_can.title,Ultimate Trash Can,究極のゴミ箱
trashcans.gui.whitelist.off,Blacklist,黒リスト
trashcans.gui.whitelist.on,Whitelist,白リスト
trashcans.item_trash_can.info,"Can void items, also contains a filter for up to 9 items",アイテムを消去できます。最大9個のアイテムに対応したフィルターも含まれています。
trashcans.liquid_trash_can.info,"Can void liquids and gasses, also contains a filter for up to 9 fluids",液体とガスを消去できます。最大9個の流体に対応したフィルターも含まれています。
trashcans.ultimate_trash_can.info,"Can void items, fluids, and energy",アイテム、流体、エネルギーを消去できます。
block.trashcans.energy_trash_can,Energy Trash Can,エネルギーゴミ箱
block.trashcans.item_trash_can,Item Trash Can,アイテムゴミ箱
block.trashcans.liquid_trash_can,Liquid Trash Can,液体ゴミ箱
block.trashcans.ultimate_trash_can,Ultimate Trash Can,究極のゴミ箱
tile.trashcans.item_trash_can.name,Item Trash Can,アイテムゴミ箱
tile.trashcans.liquid_trash_can.name,Liquid Trash Can,液体ゴミ箱
tile.trashcans.energy_trash_can.name,Energy Trash Can,エネルギーゴミ箱
tile.trashcans.ultimate_trash_can.name,Ultimate Trash Can,究極のゴミ箱
