key,source_text,target_text
item.universalSingularities.vanilla.coal.name,Coal Singularity,石炭の単一体
item.universalSingularities.vanilla.diamond.name,Diamond Singularity,ダイヤモンドの奇点
item.universalSingularities.vanilla.emerald.name,Emerald Singularity,エメラルドの奇点
item.universalSingularities.general.aluminum.name,Aluminum Singularity,アルミニウム奇点
item.universalSingularities.general.brass.name,Brass Singularity,真鍮シンギュラリティ
item.universalSingularities.general.bronze.name,Bronze Singularity,青銅シンギュラリティ
item.universalSingularities.general.charcoal.name,Charcoal Singularity,炭素奇点
item.universalSingularities.general.electrum.name,Electrum Singularity,エレクトラムシンギュラリティ
item.universalSingularities.general.invar.name,Invar Singularity,インバルシンギュラリティ
item.universalSingularities.general.magnesium.name,Magnesium Singularity,マグネシウムシングルナリティ
item.universalSingularities.general.osmium.name,Osmium Singularity,オズミウムシンギュラリティ
item.universalSingularities.general.peridot.name,Peridot Singularity,パピロイドシングュラリティ
item.universalSingularities.general.ruby.name,Ruby Singularity,ルビーの単一体
item.universalSingularities.general.sapphire.name,Sapphire Singularity,サファイアシンギュラリティ
item.universalSingularities.general.steel.name,Steel Singularity,鋼鉄シンギュラリティ
item.universalSingularities.general.titanium.name,Titanium Singularity,チタンシンギュラリティ
item.universalSingularities.general.tungsten.name,Tungsten Singularity,タングステンシンギュラリティ
item.universalSingularities.general.uranium.name,Uranium Singularity,ウランシングュラリティ
item.universalSingularities.general.zinc.name,Zinc Singularity,亜鉛の単一体
item.universalSingularities.bigReactors.blutonium.name,Blutonium Singularity,ブルトニウム シンギュラリティ
item.universalSingularities.bigReactors.cyanite.name,Cyanite Singularity,青緑イトシングュラリティ
item.universalSingularities.bigReactors.graphite.name,Graphite Singularity,グラファイトシンギュラリティ
item.universalSingularities.bigReactors.ludicrite.name,Ludicrite Singularity,ルディクリット シンギュラリティ
item.universalSingularities.bigReactors.yellorium.name,Yellorium Singularity,イエロリアム シンギュラリティ
item.universalSingularities.draconicEvolution.draconium.name,Draconium Singularity,ドラコニウム シンギュラリティ
item.universalSingularities.draconicEvolution.draconiumAwakened.name,Awakened Draconium Singularity,覚醒ドラコニウムシンギュラリティ
item.universalSingularities.enderIO.conductiveIron.name,Conductive Iron Singularity,伝導性鉄シンギュラリティ
item.universalSingularities.enderIO.electricalSteel.name,Electrical Steel Singularity,電気鋼鉄奇点
item.universalSingularities.enderIO.energeticAlloy.name,Energetic Alloy Singularity,エネルギー合金シンギュラリティ
item.universalSingularities.enderIO.darkSteel.name,Dark Steel Singularity,ダークスチールシンギュラリティ
item.universalSingularities.enderIO.pulsatingIron.name,Pulsating Iron Singularity,脈動する鉄のシンギュラリティ
item.universalSingularities.enderIO.redstoneAlloy.name,Redstone Alloy Singularity,レッドストーン合金シンギュラリティ
item.universalSingularities.enderIO.soularium.name,Soularium Singularity,ソウラーリウム シンギュラリティ
item.universalSingularities.enderIO.vibrantAlloy.name,Vibrant Alloy Singularity,鮮やかな合金シングルネス
item.universalSingularities.extraPlanets.blueGem.name,Blue Gem Singularity,青い宝石の奇点
item.universalSingularities.extraPlanets.carbon.name,Carbon Singularity,カーボンシンギュラリティ
item.universalSingularities.extraPlanets.crystal.name,Crystal Singularity,クリスタルシングュラリティ
