key,source_text,target_text
item.upgradednetherite_ultimate.ultimate_upgraded_netherite_axe,Ultimerite Axe,アルティメットライト斧
item.upgradednetherite_ultimate.ultimate_upgraded_netherite_boots,Ultimerite Boots,アルティメットライトブーツ
item.upgradednetherite_ultimate.ultimate_upgraded_netherite_bow,Ultimerite Bow,アルティメットライト弓
item.upgradednetherite_ultimate.ultimate_upgraded_netherite_chestplate,Ultimerite Chestplate,アルティメットライトチェストプレート
item.upgradednetherite_ultimate.ultimate_upgraded_netherite_crossbow,Ultimerite Crossbow,アルティメットライトクロスボウ
item.upgradednetherite_ultimate.ultimate_upgraded_netherite_helmet,Ultimerite Helmet,アルティメットライトヘルメット
item.upgradednetherite_ultimate.ultimate_upgraded_netherite_horse_armor,Ultimerite Horse Armor,アルティメットライト馬鎧
item.upgradednetherite_ultimate.ultimate_upgraded_netherite_ingot,Ultimerite Ingot,アルティメットライトインゴット
item.upgradednetherite_ultimate.ultimate_upgraded_netherite_leggings,Ultimerite Leggings,アルティメットライトレギンス
item.upgradednetherite_ultimate.ultimate_upgraded_netherite_pickaxe,Ultimerite Pickaxe,アルティメットライトツルハシ
item.upgradednetherite_ultimate.ultimate_upgraded_netherite_shield,Ultimerite Shield,アルティメットライト盾
item.upgradednetherite_ultimate.ultimate_upgraded_netherite_shield.black,Black Ultimerite Shield,黒いアルティメットライト盾
item.upgradednetherite_ultimate.ultimate_upgraded_netherite_shield.blue,Blue Ultimerite Shield,青いアルティメットライト盾
item.upgradednetherite_ultimate.ultimate_upgraded_netherite_shield.brown,Brown Ultimerite Shield,茶色のアルティメットライト盾
item.upgradednetherite_ultimate.ultimate_upgraded_netherite_shield.cyan,Cyan Ultimerite Shield,水色のアルティメットライト盾
item.upgradednetherite_ultimate.ultimate_upgraded_netherite_shield.gray,Gray Ultimerite Shield,灰色のアルティメットライト盾
item.upgradednetherite_ultimate.ultimate_upgraded_netherite_shield.green,Green Ultimerite Shield,緑のアルティメットライト盾
item.upgradednetherite_ultimate.ultimate_upgraded_netherite_shield.light_blue,Light Blue Ultimerite Shield,空色のアルティメットライト盾
item.upgradednetherite_ultimate.ultimate_upgraded_netherite_shield.light_gray,Light Gray Ultimerite Shield,薄灰色のアルティメットライト盾
item.upgradednetherite_ultimate.ultimate_upgraded_netherite_shield.lime,Lime Ultimerite Shield,黄緑のアルティメットライト盾
item.upgradednetherite_ultimate.ultimate_upgraded_netherite_shield.magenta,Magenta Ultimerite Shield,赤紫のアルティメットライト盾
item.upgradednetherite_ultimate.ultimate_upgraded_netherite_shield.orange,Orange Ultimerite Shield,橙のアルティメットライト盾
item.upgradednetherite_ultimate.ultimate_upgraded_netherite_shield.pink,Pink Ultimerite Shield,桃色のアルティメットライト盾
item.upgradednetherite_ultimate.ultimate_upgraded_netherite_shield.purple,Purple Ultimerite Shield,紫のアルティメットライト盾
item.upgradednetherite_ultimate.ultimate_upgraded_netherite_shield.red,Red Ultimerite Shield,赤いアルティメットライト盾
item.upgradednetherite_ultimate.ultimate_upgraded_netherite_shield.white,White Ultimerite Shield,白いアルティメットライト盾
item.upgradednetherite_ultimate.ultimate_upgraded_netherite_shield.yellow,Yellow Ultimerite Shield,黄のアルティメットライト盾
item.upgradednetherite_ultimate.ultimate_upgraded_netherite_shovel,Ultimerite Shovel,アルティメットライトシャベル
item.upgradednetherite_ultimate.ultimate_upgraded_netherite_sword,Ultimerite Sword,アルティメットライト剣
upgradednetherite_ultimate.Blazerite.TT,§7• §cBlazerite,§7• §cブレイズライト
upgradednetherite_ultimate.BonusFrom.TT,§a§lBonus From,ボーナス元
upgradednetherite_ultimate.Enderite.TT,§7• §3Enderite,§7• エンダライト
upgradednetherite_ultimate.Featherite.TT,§7• §fFeatherite,§7• §fフェザーライト
upgradednetherite_ultimate.Golderite.TT,§7• §6Golderite,§7• §6ゴールドライト
upgradednetherite_ultimate.Phanterite.TT,§7• §7Phanterite,§7• §7ファントムライト
upgradednetherite_ultimate.Prismarite.TT,§7• §bPrismarite,§7• §bプリズマライト
upgradednetherite_ultimate.SetBonusFrom.TT,§a§lSet Bonus From,セットボーナス元
upgradednetherite_ultimate.Spiderite.TT,§7• §2Spiderite,§7• §2スパイダーライト
upgradednetherite_ultimate.Witherite.TT,§7• §8Witherite,§7• §8ウィザーライト
