key,source_text,target_text
_comment,Tooltip,ツールチップ
entity.waddles.adelie_penguin,Adélie Penguin,アデリーペンギン
item.waddles.adelie_penguin_spawn_egg,Adélie Penguin Spawn Egg,アデリーペンギンのスポーンエッグ
waddles:config.category.general.tooltip,General config options for Waddles,Waddlesの全体的な環境設定
waddles:config.category.spawnchances.tooltip,Configurable spawn chances for penguins,ペンギンの設定可能なスポーン率
waddles:subtitles.adelie.ambient,Adélie Penguin squawks,アデリーペンギンが鳴く
waddles:subtitles.adelie.baby.ambient,Adélie Penguin Baby squeaks,アデリーペンギンの雛が鳴く
waddles:subtitles.adelie.death,Adélie Penguin dies,アデリーペンギンが死ぬ
waddles:subtitles.adelie.hurt,Adélie Penguin hurts,アデリーペンギンがダメージを受ける
entity.waddles:adelie_penguin.name,Adélie Penguin,アデリーペンギン
