key,source_text,target_text
screen.button.waila,Waila,ワイラ
screen.button.modules,Modules,モジュール
screen.label.scale,Scale,スケール
screen.label.dragtuto,Drag the HUD to setup its position.,HUDをドラッグして位置を設定してください。
screen.button.default,Default,デフォルト
screen.button.cancel,Cancel,キャンセル
screen.button.ok,Ok,OK
screen.button.yes,Yes,はい
screen.button.no,No,いいえ
screen.button.back,Back,戻る
screen.button.hidden,Hidden,隠し
screen.button.visible,Visible,表示
screen.button.maintained,Maintained,保守性
screen.button.toggled,Toggled,切り替え
screen.hwyla.warning,§cWarning:§r You are using a fork of Waila called Hwyla. You can view the (mostly complete) list of changes by clicking the button at the top left of this screen.,§c警告:§r Wailaのフォーク版である Hwyla を使用しています。このスクリーン左上のボタンをクリックすることで、(ほぼ完全な) 変更内容の一覧を確認できます。
choice.showhidewaila,Show/Hide Waila,Wailaの表示/非表示
choice.showhideidmeta,Show ID:Metadata,ID:メタデータを表示
choice.toggledmaintained,Toggled/Maintained,切替/維持
choice.showliquids,Liquids,液体
choice.shifttoggledblock,Sneak toggle blocks,スニークでトグルブロック
choice.shifttoggledents,Sneak toggle entities,エンティティのスニークトグル
choice.hidefromlist,Hide from player list,プレイヤーリストから非表示
choice.hidefromdebug,Hide from debug menu,デバッグメニューから非表示にする
choice.showitem,Display Item,アイテムを表示
choice.tts,Narrate Blocks,ブロックを説明
choice.format.modname,Mod Name,Mod 名
choice.format.blockname,Block Name,ブロック名
choice.format.fluidname,Fluid Name,液体名
choice.format.entityname,Entity Name,エンティティ名
choice.format.metadata,Metadata,メタデータ
choice.format.background,Background Color,背景色
choice.format.gradienttop,Gradient Color (Top),グラデーションカラー（上）
choice.format.gradientbottom,Gradient Color (Bottom),グラデーションカラー（下）
choice.format.font,Text Color,テキスト色
screen.button.configureaspect,Configure aspect...,アスペクトを設定…
screen.button.configureformat,Format content...,コンテンツのフォーマット...
screen.button.exporttheme,Export theme,テーマをエクスポート
client.msg.norecipe,No recipe found.,レシピが見つかりませんでした。
client.msg.nousage,No usage found.,使用方法が見つかりません。
hud.msg.empty,<Empty>,<空>
hud.msg.health,Health,体力
hud.msg.growth,Growth,成長
hud.msg.growth.value,%.0f %%,%.0f %%
hud.msg.mature,Mature,成熟
hud.msg.off,Off,オフ
hud.msg.on,On,オン
hud.msg.state,State,状態
hud.msg.delay,Delay,遅延
hud.msg.comparator,Comparator,比較器
hud.msg.substractor,Substractor,減算器
hud.msg.record,Record,記録
hud.msg.toomuch,Too many...,多いです...
hud.msg.power,Power,力
hud.msg.offers,Offers,オファー
hud.msg.demands,Demands,要件
hud.msg.career,Career: %s,キャリア: %s
hud.item.melonstem,Melon Stem,メロンの茎
hud.item.pumpkinstem,Pumpkin Stem,かぼちゃの茎
cfg.theme.vanilla,Vanilla,バニラ
cfg.theme.dark,Dark,暗い
option.vanilla.spawntype,Spawner type,スパワーバイタイプ
option.vanilla.growthvalue,Growth value,成長値
option.vanilla.leverstate,Lever state,レバーの状態
option.vanilla.repeater,Repeater delay,リピーターの遅延
option.vanilla.comparator,Comparator mode,コンパレータモード
option.vanilla.redstone,Redstone power,レッドストーンの電力
option.vanilla.jukebox,Jukebox disk,ジュケボックスディスク
option.vanilla.silverfish,Hide silverfish,シルバーフィッシュの非表示
option.vanilla.furnacedisplay,Show furnace progress,炉の進捗を表示
option.general.showents,Show entities,エンティティを表示
option.general.showhp,Show entities health,エンティティの体力を表示
option.general.showcrop,Show crop growth,作物成長を表示
option.general.registry,Show registry data,レジストリデータを表示
option.capability.tankinfo,Show tank data,タンクのデータを表示
option.capability.energyinfo,Show energy data,エネルギーデータを表示
nei.options.keys.showenchant,Show enchanting values,エンチャント値を表示
enchant.title.name,Name,名前
enchant.title.minlvl,Min lvl,最小レベル
enchant.title.maxlvl,Max lvl,最大レベル
enchant.title.weight,Weight,重量
enchant.label.enchantability,Enchantability,エンチャント可能度
waila.keybind.wailaconfig,[Waila] Config screen,[Waila]設定画面
waila.keybind.wailadisplay,[Waila] Show/Hide,[WAILA] 表示/非表示
waila.keybind.liquid,[Waila] Show liquids,[Waila] 液体を表示
waila.keybind.recipe,[Waila] Show recipe,[Waila] レシピを表示
waila.keybind.usage,[Waila] Show usage,[Waila] 使用方法を表示
waila.keybind.testing,[Waila] Testing,[Waila] テスト中
hud.msg.none,<None>,<無し>
hud.msg.output,Output,出力
hud.msg.input,Input,入力
hud.msg.out,Out,搬出
hud.msg.in,In,搬入
hud.msg.storage,Storage,ストレージ
hud.msg.stored,Stored,保存済み
hud.msg.any,Any,任意
hud.msg.mode,Mode,モード
hud.msg.maxpower,Max Power,最大電力
hud.msg.trigger,Trigger,トリガー
hud.msg.maxio,Max IO,最大入出力
hud.msg.send,Send,送信
hud.msg.recv,Recv,受信
hud.msg.item,Item,アイテム
hud.msg.fluid,Fluid,流体
hud.msg.energ,Energy,エネルギー
hud.msg.frequency,Frequency,周波数
hud.msg.owner,Owner,所有者
hud.msg.public,Public,公開
hud.msg.restricted,Restricted,制限あり
hud.msg.private,Private,プライベート
hud.msg.white,White,白
hud.msg.orange,Orange,オレンジ
hud.msg.magenta,Magenta,マゼンタ
hud.msg.lblue,LBlue,青
hud.msg.yellow,Yellow,黄色
hud.msg.lime,Lime,ライム
hud.msg.pink,Pink,ピンク
hud.msg.gray,Gray,グレー
hud.msg.lgray,LGray,グレー
hud.msg.cyan,Cyan,シアン
hud.msg.purple,Purple,紫
hud.msg.blue,Blue,青
hud.msg.brown,Brown,茶色
hud.msg.green,Green,緑
hud.msg.red,Red,赤
hud.msg.black,Black,黒
option.appeng.monitorcontent,Monitor's content,モニターの内容
option.bb.content,Barrel's content,バレルの内容
option.bc.tankamount,Liquid amount,液体量
option.bc.tanktype,Liquid type,液体タイプ
option.enderstorage.colors,Colors,色
option.ic2.inputeumach,Max EU input [Machines],最大EU入力 [機械]
option.ic2.inputeuother,Max EU input [Other],最大EU入力 [その他]
option.ic2.inputeu,Max EU input,最大 EU 入力
option.ic2.outputeu,Max EU output,最大EU出力
option.ic2.storage,Energy stored,蓄えられたエネルギー
option.ic2.consump,Show consumption,消費量を表示
option.ic2.tradeomat,Show Trade-O-Mat request,Trade-O-Matリクエストを表示
option.thaumcraft.storedvis,Capacitor storage,コンデンサーストレージ
option.thermalexpansion.energyhandler,Show RF storage,RFストレージ表示
option.thermalexpansion.energycell,Show ECell IN/OUT,ECell IN/OUT を表示
option.thermalexpansion.fluidtype,Show fluid type,液体タイプ表示
option.thermalexpansion.fluidamount,Show fluid amount,液体の量を表示
option.thermalexpansion.tankmode,Show tank mode,タンクモード表示
option.thermalexpansion.tesssendrecv,Tesseract mode,テセラクトモード
option.thermalexpansion.tessfreq,Tesseract frequency,テッセラクト頻度
option.thermalexpansion.owner,Show owner,所有者を表示
option.thermalexpansion.conditemmode,Show Itemduct mode,アイテムドクターモードを表示
option.etb.displaydata,Show socket data,ソケットデータを表示
option.enderio.inout,Show input/output,入力/出力を表示
option.enderio.storage,Show stored MJ,保存されたMJを表示
option.enderio.owner,Show block owner,ブロック所有者を表示
option.enderio.channel,Show hypercube channel,ハイパーチューブチャンネルを表示
option.bcapi.storage,Show stored MJ,保存されたMJを表示
option.bcapi.consump,Show maximum power,最大電力値を表示
option.bcapi.trigger,Show triggering energy,トリガーするエネルギーを表示
option.pr.showio,Show gates IO,ゲートの入出力表示
option.pr.showdata,Show gates data,ゲートデータ表示
option.extrautilities.fluidamount,Show fluid amount,液体の量を表示
option.openblocks.fluidamount,Show fluid amount,液体の量を表示
