key,source_text,target_text
itemGroup.weather2,Weather2 Items,天気2アイテム
block.weather2.anemometer,Anemometer,風速計
block.weather2.sand_layer,Placeable Sand Layer,配置可能な砂層
block.weather2.tornado_sensor,Tornado Sensor,トルネードセンサー
block.weather2.tornado_siren,Weather Siren,天気シーネル
block.weather2.tornado_siren_manual,Manual Redstone Siren,手動レッドストーンのサイレン
block.weather2.weather_deflector,Weather Deflector,天気遮蔽器
block.weather2.weather_forecast,Weather Forecast,天気予報
block.weather2.weather_machine,Weather Machine (right click to cycle),天気機械（右クリックで切り替え）
block.weather2.wind_turbine,Wind Turbine,風力タービン
block.weather2.wind_vane,Wind Vane,風向計
item.weather2.pocket_sand,Pocket Sand!,ポケットサンド！
item.weather2.sand_layer_placeable,Placeable Sand Layer,配置可能な砂層
item.weather2.weather_item,Weather Item,天気アイテム
