key,source_text,target_text
advancements.liquid_sugar.descr,Drink Syrup,シロップを飲む
advancements.liquid_sugar.title,Liquid Sugar,液体砂糖
item.wfc.banana_waffle,Banana Waffle,バナナワッフル
item.wfc.chocolate_chip_waffle,Chocolate Chip Waffle,チョコレートチップワッフル
item.wfc.chocolate_waffle,Chocolate Waffle,チョコレートワッフル
item.wfc.dutch_waffles,Dutch Waffles,オランダ風ワッフル
item.wfc.jam_waffle,Jam Waffle,ジャムワッフル
item.wfc.salmon_waffle,Salmon Waffle,サーモンワッフル
item.wfc.sweet_waffle,Golden Waffle,ゴールデンワッフル
item.wfc.sweet_waffle_with_chocolate,Golden Waffle With Chocolate,チョコレートのゴールデン・ワッフル
item.wfc.sweet_waffle_with_jam,Golden Waffle With jam,ジャム付きの黄金ワッフル
item.wfc.syrup,Syrup,シロップ
item.wfc.the_ultimate_sweet_waffle,The Ultimate Golden Waffle,最高級の黄金ワッフル
item.wfc.waffle,Waffle,ワッフル
item.wfc.waffle_iron,Waffle Iron,ワッフルメーカー
item.wfc.waffle_with_ice_cream,Waffle With A Ice Cream,アイスクリーム付きワッフル
item.wfc.waffle_with_ice_cream_and_syrup,Waffle With A Ice Cream,アイスクリーム付きワッフル
