key,source_text,target_text
item.woodenshears.wooden_shears,Wooden Shears,木製の剪定器
text.autoconfig.woodenshears.option.DURABILITY,Wooden Shears Durability,木製の剪定器の耐久値
text.autoconfig.woodenshears.option.DURABILITY.@Tooltip[0],§6§lWooden Shears Durability,§6§l木製シャベル耐久値
text.autoconfig.woodenshears.option.DURABILITY.@Tooltip[1],Defines the maximum durability of Wooden Shears.,木製のはさみの最大耐久値を定義します。
text.autoconfig.woodenshears.option.DURABILITY.@Tooltip[2],§7§o0: deactivates the durability,§7§o0: 耐久値を無効化
text.autoconfig.woodenshears.option.DURABILITY.@Tooltip[3],§7§oMin: 0; Max: 10000,§7§o最小: 0; 最大: 10000
text.autoconfig.woodenshears.option.DURABILITY.@Tooltip[4],§7§oDefault: 50,§7§oデフォルト: 50
item.woodenshears.wshears_acacia,Acacia Shears,アカシアの剪定機
item.woodenshears.wshears_bamboo,Bamboo Shears,竹の剪定機
item.woodenshears.wshears_big_oak,Dark Oak Shears,ダークオークの剪定用ハサミ
item.woodenshears.wshears_birch,Birch Shears,シラカバの剪定器
item.woodenshears.wshears_charred,Charred Shears,焼けた剪定器
item.woodenshears.wshears_cherry,Cherry Shears,サクラの剪定機
item.woodenshears.wshears_crimson,Crimson Shears,クリムソン剪定器
item.woodenshears.wshears_jungle,Jungle Shears,ジャングルの剪定機
item.woodenshears.wshears_mangrove,Mangrove Shears,マングローブのシャベル
item.woodenshears.wshears_oak,Oak Shears,オークの剪定器
item.woodenshears.wshears_spruce,Spruce Shears,トウヒの剪定機
item.woodenshears.wshears_warped,Warped Shears,変形された剪定機
