key,source_text,target_text
gui.xaero_air_low,Low Oxygen Value,低酸素
gui.xaero_air_setting,Oxygen Notifications,低酸素の通知
gui.xaero_archery_status,Display Left Arrows,残りの矢の数
gui.xaero_armour_main_hand,Main Hand Item,メインハンドアイテム
gui.xaero_armour_off_hand,Off-Hand Item,オフハンドアイテム
gui.xaero_armour_status,Armor Status,防具の表示
gui.xaero_armour_status_settings,Armor Status Settings,防具表示の設定
gui.xaero_being_shot_setting,"""Being Shot"" Notifications",矢の通知
gui.xaero_better_pvp_settings,Better PvP Settings,Better PvPの設定
gui.xaero_both,Both,両方
gui.xaero_box_armour_status,An interface displaying info about your currently worn armor and item held at the time.,防具と手に持っているアイテムの表示
gui.xaero_box_entity_info,"An interface displaying information about the living entity that you are pointing at, including players.",カーソルを合わせたエンティティやプレイヤーの情報を表示
gui.xaero_box_minimap,A minimap displaying your nearest surroundings and entities.,周囲の地図とエンティティ表示(プレイヤー、Mob、アイテムなど)
gui.xaero_box_notifications,"On-screen notifications for various things, such as low health value, low hunger value, low oxygen value, danger of explosion, and being shot by (an) arrow(s).",空腹、低HP、爆発、矢などの通知
gui.xaero_box_potion_effects,An interface displaying currently active potion effects.,ポーション効果の表示と残り時間の表示
gui.xaero_box_quick_use,"Action-bar-like system of key bindings that lets you automatically use a specified item from your hotbar without having to switch away from your currently held item. Holding the key binding lets you keep using the item like if you were holding the right mouse button. For example: placing torches, TNT, throwing potions, eating food, drinking.",キー(キー設定から変更可能)を押すと ホットバー(インベントリの1番下)にある アイテムを右クリックすることができる。 押し続けると右クリックし続けている状態になる。
gui.xaero_box_sneak,Allows you to toggle your sneak ON/OFF and stay sneaking without having to hold anything.,スニーク状態の切り替え
gui.xaero_box_sprint,Sprint by holding one single (configurable) key binding.,ダッシュキー(キー設定から変更可能)のみでダッシュができるようにする
gui.xaero_box_xp,Gained or lost experience indicator flying across your screen.,経験値を取得したり失ったりしたときに画面上に通知
gui.xaero_custom_settings,Custom Settings,詳細設定
gui.xaero_durability,Durability In,耐久度
gui.xaero_enchants_color,Enchant Color,エンチャントの色
gui.xaero_entity_info,Entity Info,エンティティ情報
gui.xaero_entity_info_armour,Display Armor Info,防御力の表示
gui.xaero_entity_info_armour_numbers,Armor in Numbers,防御力を数字で表示
gui.xaero_entity_info_distance,Reach Distance,リーチ距離
gui.xaero_entity_info_max_hearts,Max Heart Number,最大HP
gui.xaero_entity_info_numbers,Health in Numbers,体力を数字で表示
gui.xaero_entity_info_potion_effects,Potion Effects (SP Only),ポーション効果（シングル限定）
gui.xaero_entity_info_potion_effects_scale,Potion Effect Scale,ポーション効果の大きさ
gui.xaero_entity_info_settings,Entity Info Settings,エンティティ情報の設定
gui.xaero_entity_info_stay,Continue Displaying For,表示させる時間
gui.xaero_entity_tooltip_settings,Item Tooltip Settings,アイテムツールチップ設定
gui.xaero_explosion_setting,Explosion Notifications,爆発の通知
gui.xaero_held_centered_position,Held Items When Centered,中央時の保持アイテム位置
gui.xaero_held_centered_position_hotbar,Hotbar,ホットバー
gui.xaero_held_centered_position_screen_edges,Edges,画面端
gui.xaero_hp_low,Low Health Value,低HP
gui.xaero_hp_setting,Health Notifications,低HPの通知
gui.xaero_hunger_low,Low Hunger Value,空腹
gui.xaero_hunger_setting,Hunger Notifications,空腹の通知
gui.xaero_item_tooltip,Item Tooltip,アイテムのツールチップ
gui.xaero_item_tooltip_min_lines,Minimum Lines,最小行数
gui.xaero_item_tooltip_time,Display For,表示秒数
gui.xaero_miscellaneous,Miscellaneous,その他
gui.xaero_miscellaneous_settings,Miscellaneous Settings,その他の設定
gui.xaero_no_durability,None,なし
