key,source_text,target_text,status
allthemodium.description,AllTheModium Nugget! The first step!(of many!),Allthemodium塊！最初の一歩だ！（そしてもっと！）,verified
allthemodium.loc,Found in Deep Dark biomes in cave walls and ceilings(uniformly),ディープダークバイオームの洞窟の壁や天井で見つかります,verified
allthemodium.mine,PLAYER MINEABLE ONLY. NOT QUARRYABLE,プレイヤーのみ採掘可能。機械による採掘は不可能,verified
aqua.lungs,Water Breathing,水中呼吸,verified
biome.allthemodium.badlands,The Other: Badlands,アザー：荒野,verified
biome.allthemodium.badlands_plateau,The Other: Badlands Plateau,アザー：荒野の高原,verified
biome.allthemodium.basalt_deltas,Ancient Basalt Deltas,古代の玄武岩の三角州,verified
biome.allthemodium.crimson_forest,Ancient Crimson Forest,古代の真紅の森,verified
biome.allthemodium.desert,The Other Desert,アザー：砂漠,verified
biome.allthemodium.desert_hills,The Other Desert Hills,アザー：砂漠の丘,verified
biome.allthemodium.eroded_badlands,The Other: Eroded Badlands,アザー：侵食された荒野,verified
biome.allthemodium.gravelly_mountains,The Other: Gravelly Mountains,アザー：砂利の山,verified
biome.allthemodium.mining,ATM Mining Dim,ATM採掘ディメンション,verified
biome.allthemodium.modified_badlands_plateau,The Other: Modified Badlands Plateau,アザー：改造された侵食された荒野,verified
biome.allthemodium.modified_gravelly_mountains,The Other: Modified Gravelly Mountains,アザー：改造された砂利の山,verified
biome.allthemodium.mountain_edge,The Other: Mountains Edge,アザー：山の端,verified
biome.allthemodium.mountains,The Other: Mountains,アザー：山,verified
biome.allthemodium.nether_wastes,The Other: Wastelands,アザー：荒地,verified
biome.allthemodium.soul_sand_valley,The Other Soul Sand Valley,アザー：ソウルサンドの谷,verified
biome.allthemodium.the_beyond,The Beyond,ザ・ビヨンド,verified
biome.allthemodium.the_other,The Other,アザー,verified
biome.allthemodium.warped_forest,Ancient Warped Forest,古代の歪んだ森,verified
block.allthemodium.allthemodium_block,Allthemodium Block,Allthemodiumブロック,verified
block.allthemodium.allthemodium_ore,Allthemodium Ore,Allthemodium鉱石,verified
block.allthemodium.allthemodium_slate_ore,Allthemodium Slate Ore,深層Allthemodium鉱石,verified
block.allthemodium.allthemodium_source_jar,Unobtainium Source Jar,アンオブタニウムのソース瓶,verified
block.allthemodium.ancient_bookshelf,Ancient Bookshelf,古代の本棚,verified
block.allthemodium.ancient_cavevines,Ancient Vines,古代のツタ,verified
block.allthemodium.ancient_cavevines_plant,Ancient Vines,古代のツタ,verified
block.allthemodium.ancient_chiseled_stone_brick_slabs,Ancient Chiseled Stone Brick Slab,模様入りの古代の石レンガのハーフブロック,verified
block.allthemodium.ancient_chiseled_stone_brick_stairs,Ancient Chiseled Stone Brick Stairs,模様入りの古代の石レンガの階段,verified
block.allthemodium.ancient_chiseled_stone_brick_wall,Ancient Chiseled Stone Brick Wall,模様入りの古代の石レンガの塀,verified
block.allthemodium.ancient_chiseled_stone_bricks,Ancient Chiseled Stone Bricks,模様入りの古代の石レンガ,verified
block.allthemodium.ancient_cracked_stone_brick_slabs,Ancient Cracked Stone Brick Slab,ひび割れた古代の石レンガのハーフブロック,verified
