key,source_text,target_text
advancements.apotheosis.100ench,Draconic Enchanting,竜の魔術
advancements.apotheosis.100ench.desc,Enchant an item at level 100.,アイテムをレベル100エンチャントする。
advancements.apotheosis.30ench,The Basics,基礎知識
advancements.apotheosis.30ench.desc,Enchant an item at level 30.,アイテムをレベル30エンチャントする。
advancements.apotheosis.60ench,Mastering Hell and Sea,地獄と海を制する
advancements.apotheosis.60ench.desc,Enchant an item at level 60.,アイテムをレベル60エンチャントする。
advancements.apotheosis.80ench,Enchantments from the Depths,深淵の魔術
advancements.apotheosis.80ench.desc,Enchant an item at level 80.,アイテムをレベル80エンチャントする。
advancements.apotheosis.affix,Apothic Affixes,Apothic称号
advancements.apotheosis.affix.desc,Find an item with an Apothic Affix.,Apothic称号を持つアイテムを見つけよう
advancements.apotheosis.altar,Oceanic Transformation,海洋の変貌
advancements.apotheosis.altar.desc,"Create an Altar of the Seas, which can turn unwanted enchanted items into a new book.",不要なエンチャントアイテムを新しい本に変えることができる、海洋の祭壇を作る。
advancements.apotheosis.ancient,Lost Treasures of the Gods,失われた神々の秘宝
advancements.apotheosis.ancient.desc,Find an Ancient item.,エンシェントアイテムを探す
advancements.apotheosis.ancient_gem,Infinity Stones,無限の原石
advancements.apotheosis.ancient_gem.desc,"Using the Gem Cutting Table, create a Perfect Gemstone.",ジェム加工台を使って、完全なジェムをつくる
advancements.apotheosis.anvilench,Anvil Enchanter,金床のエンチャンター
advancements.apotheosis.anvilench.desc,Enchant an anvil,金床にエンチャントをする
advancements.apotheosis.arcana100,Arcane Power,秘術の力
advancements.apotheosis.arcana100.desc,Enchant an item at 100% Arcana.,アルカナが100%の状態でアイテムをエンチャントする。
advancements.apotheosis.arcana50,Magical Energy,魔法のエネルギー
advancements.apotheosis.arcana50.desc,Enchant an item at 50% Arcana.,アルカナが50%の状態でアイテムをエンチャントする。
advancements.apotheosis.bookshelf,Local Librarian,地方司書
advancements.apotheosis.bookshelf.desc,Create a bookshelf.,本棚を作る。
advancements.apotheosis.boss,He Wasn't So Strong,あいつはそれ程強くない
advancements.apotheosis.boss.desc,"Slay an Apothic Boss, and retrieve their affix item.",Apothicボスを倒し、称号付きアイテムを手に入れる
advancements.apotheosis.capturing,Captured!,捕獲！
advancements.apotheosis.capturing.desc,Get a spawn egg from a mob using the Capturing enchantment,捕獲エンチャントを使ってMobからスポーンエッグを手に入れる。
advancements.apotheosis.chests,I Found It Underground,地下で発見したもの
advancements.apotheosis.chests.desc,Find an affix item in a chest.,チェストから称号付きアイテムを見つける
advancements.apotheosis.conditions,Unchecked Spawning,スポーンが確認できません
advancements.apotheosis.conditions.desc,Disable spawn conditions for a spawner,スポナーのスポーン条件を無効化する
advancements.apotheosis.deepshelf,Delving Into Darkness,暗闇の中へ
