key,source_text,target_text,status
ars_nouveau.augment_desc.glyph_apply_glyph_aoe,Increases the amount of items that can be applied to and the area of blocks affected,適用できるアイテム数と影響を受けるブロック領域を増加させます,translated
ars_nouveau.augment_desc.glyph_apply_glyph_pierce,Increases the depth of blocks affected when targeting blocks,ブロックをターゲットにする場合に影響を受けるブロックの深さを増加させます,translated
ars_nouveau.augment_desc.glyph_carve_glyph_amplify,Changes recipe to walls,レシピを壁に変更します,translated
ars_nouveau.augment_desc.glyph_carve_glyph_aoe,Increases the area in which item entities get collected for processing,処理用にアイテムエンティティが収集される領域を増加させます,translated
ars_nouveau.augment_desc.glyph_carve_glyph_dampen,Changes recipe to slabs,レシピをスラブに変更します,translated
ars_nouveau.augment_desc.glyph_fuse_glyph_aoe,Increases the amount of items processed,処理されるアイテムの量を増加させます,translated
ars_nouveau.augment_desc.glyph_fuse_glyph_superheat,Switches to super-heated mixing,超加熱混合に切り替えます,translated
ars_nouveau.augment_desc.glyph_insert_glyph_aoe,Expands the range,範囲を拡張します,translated
ars_nouveau.augment_desc.glyph_insert_glyph_split,Evenly distributes items across all valid containers for balanced deposit,すべての有効なコンテナにアイテムを均等に分散して均衡を取ります,translated
ars_nouveau.augment_desc.glyph_obliterate_glyph_amplify,Increases the size and damage of the hammer,ハンマーのサイズとダメージを増加させます,translated
ars_nouveau.augment_desc.glyph_obliterate_glyph_fortune,Increases the chance of getting additional items from crushing recipes with diminishing returns,粉砕レシピから追加アイテムを獲得する確率を増加させます（効果は減少）,translated
ars_nouveau.augment_desc.glyph_obliterate_glyph_sensitive,Processes item entities instead of destroying them,アイテムエンティティを破壊する代わりに処理します,translated
ars_nouveau.augment_desc.glyph_pack_glyph_amplify,Changes recipe grid size to 3x3,レシピグリッドサイズを3x3に変更します,translated
ars_nouveau.augment_desc.glyph_pack_glyph_aoe,Increases the area in which item entities get collected for processing,処理用にアイテムエンティティが収集される領域を増加させます,translated
ars_nouveau.augment_desc.glyph_pack_glyph_dampen,Changes recipe grid size to 1x1,レシピグリッドサイズを1x1に変更します,translated
ars_nouveau.augment_desc.glyph_polish_glyph_aoe,Increases the amount of item entities processed,処理されるアイテムエンティティの量を増加させます,translated
ars_nouveau.augment_desc.glyph_press_glyph_aoe,Increases the amount of item entities processed,処理されるアイテムエンティティの量を増加させます,translated
ars_nouveau.augment_desc.glyph_telefeast_glyph_pierce,Forwards the consumable in a magic bubble,魔法のバブルで消耗品を転送します,translated
ars_nouveau.augment_desc.glyph_telefeast_glyph_sensitive,Will try to 'use' an item even if it's not a drink/food (e.g. experience gems),ドリンク/フード以外のアイテムも「使用」しようとします（例：経験値宝石）,translated
ars_nouveau.augment_desc.glyph_whirl_glyph_aoe,Increases the size and the range of item entities being processed,処理されるアイテムエンティティのサイズと範囲を増加させます,translated
ars_nouveau.augment_desc.glyph_whirl_glyph_extend_time,Increases the duration of processing,処理の継続時間を増加させます,translated
ars_nouveau.relay.average_transfer_rate,%d source per second,%dソース/秒,translated
ars_nouveau.relay.transfer_rate,~%d source / %d,約%dソース / %d,translated
ars_technica.adv.desc.calibrated_precision_mechanism,Acquire a Calibrated Precision Mechanism,キャリブレーション精密メカニズムを取得,translated
ars_technica.adv.desc.hammered_witch,Kill a Witch with Obliterate,消滅呪文で魔女を倒す,translated
ars_technica.adv.desc.runic_spanner,Acquire a Runic Spanner,ルーン扳手を取得,translated
ars_technica.adv.desc.source_motor,Acquire a Source Motor,ソースモーターを取得,translated
ars_technica.adv.desc.spy_monocle,Acquire a Spy Monocle,スパイ単眼鏡を取得,translated
