key,source_text,target_text,status
betterstats,Better Statistics Screen,統計画面改善,translated
betterstats.gui.ctx_menu.close,Close,閉じる,translated
betterstats.gui.ctx_menu.pin_to_hud,Pin to hud (Beta),HUDに固定（ベータ版）,translated
betterstats.gui.filters,Filters,フィルター,translated
betterstats.gui.menu_bar.about,About,について,translated
betterstats.gui.menu_bar.about.source,Source Code,ソースコード,translated
betterstats.gui.menu_bar.mods_other,Other (mods),その他（Mod）,translated
betterstats.gui.menu_bar.view,View,表示,translated
betterstats.gui.menu_bar.view.vanilla_stats,Show vanilla stats,バニラ統計を表示,translated
betterstats.gui.no_stats_yet,There are no stats to show yet...,表示する統計がまだありません...,translated
betterstats.gui.show_empty_stats,Show empty stats,空の統計を表示,translated
betterstats.hud,Statistics hud (Beta),統計HUD（ベータ版）,translated
betterstats.hud.entity.deaths,Deaths,死亡数,translated
betterstats.hud.entity.kills,Kills,キル数,translated
betterstats.hud.hint.add_widget,Right click a statistic ([Shift]+RMB) to add it here.,統計を右クリック（[Shift]+右クリック）してここに追加します。,translated
betterstats.hud.hint.del_widget,Press Backspace (<-) to remove a hovered entry.,バックスペース（<-）を押してホバーしたエントリを削除します。,translated
betterstats.hud.hint.esc_close,Press Escape (ESC) to close this screen.,Escape（ESC）キーを押してこの画面を閉じます。,translated
