key,source_text,target_text
block.biggerreactors.blutonium_block,Blutonium Block,ブルトニウムブロック
block.biggerreactors.cyanite_block,Cyanite Block,シアナイトブロック
block.biggerreactors.cyanite_reprocessor,Cyanite Reprocessor,シアナイトリプロセッサー
block.biggerreactors.graphite_block,Graphite Block,黒鉛ブロック
block.biggerreactors.heat_exchanger_casing,Heat Exchanger Casing,熱交換機ケーシング
block.biggerreactors.heat_exchanger_computer_port,Heat Exchanger Computer Port,熱交換機コンピューターポート
block.biggerreactors.heat_exchanger_condenser_channel,Heat Exchanger Condenser Channel,熱交換機コンデンサーチャネル
block.biggerreactors.heat_exchanger_evaporator_channel,Heat Exchanger Evaporator Channel,熱交換機エバポレーターチャネル
block.biggerreactors.heat_exchanger_fluid_port,Heat Exchanger Fluid Port,熱交換機流体ポート
block.biggerreactors.heat_exchanger_glass,Heat Exchanger Glass,熱交換機ガラス
block.biggerreactors.heat_exchanger_terminal,Heat Exchanger Terminal,熱交換機ターミナル
block.biggerreactors.ludicrite_block,Ludicrite Block,ルディクライトブロック
block.biggerreactors.reactor_access_port,Reactor Access Port,反応炉アクセスポート
block.biggerreactors.reactor_casing,Reactor Casing,反応炉ケーシング
block.biggerreactors.reactor_computer_port,Reactor Computer Port,反応炉コンピューターポート
block.biggerreactors.reactor_control_rod,Reactor Control Rod,反応炉制御棒
block.biggerreactors.reactor_coolant_port,Reactor Coolant Port,反応炉冷却液ポート
block.biggerreactors.reactor_fuel_rod,Reactor Fuel Rod,反応炉燃料棒
block.biggerreactors.reactor_glass,Reactor Glass,反応炉ガラス
block.biggerreactors.reactor_manifold,Reactor Coolant Manifold,反応炉冷却液マニホールド
block.biggerreactors.reactor_power_tap,Reactor Power Tap,反応炉電力タップ
block.biggerreactors.reactor_redstone_port,Reactor Redstone Port,反応炉レッドストーンポート
block.biggerreactors.reactor_terminal,Reactor Terminal,反応炉ターミナル
block.biggerreactors.turbine_casing,Turbine Casing,タービンケーシング
block.biggerreactors.turbine_computer_port,Turbine Computer Port,タービンコンピューターポート
block.biggerreactors.turbine_fluid_port,Turbine Fluid Port,タービン流体ポート
block.biggerreactors.turbine_glass,Turbine Glass,タービンガラス
block.biggerreactors.turbine_power_tap,Turbine Power Tap,タービン電力タップ
block.biggerreactors.turbine_rotor_bearing,Turbine Rotor Bearing,タービンローターベアリング
block.biggerreactors.turbine_rotor_blade,Turbine Rotor Blade,タービンローターブレード
block.biggerreactors.turbine_rotor_shaft,Turbine Rotor Shaft,タービンローターシャフト
block.biggerreactors.turbine_terminal,Turbine Terminal,タービンターミナル
block.biggerreactors.uranium_block,Uranium Block,ウランブロック
block.biggerreactors.uranium_ore,Uranium Ore,ウラン鉱石
fluid.biggerreactors.liquid_obsidian,Liquid Obsidian,液体黒曜石
fluid.biggerreactors.liquid_uranium,Liquid Uranium,液体ウラン
fluid.biggerreactors.steam,Steam,蒸気
fluid.biggerreactors.superheated_sodium,Liquid Superheated Sodium,液体過熱ナトリウム
item.biggerreactors.blutonium_dust,Blutonium Dust,ブルトニウム粉
item.biggerreactors.blutonium_ingot,Blutonium Ingot,ブルトニウムインゴット
item.biggerreactors.cyanite_dust,Cyanite Dust,シアナイト粉
item.biggerreactors.cyanite_ingot,Cyanite Ingot,シアナイトインゴット
item.biggerreactors.graphite_dust,Graphite Dust,黒鉛粉
item.biggerreactors.graphite_ingot,Graphite Ingot,黒鉛インゴット
item.biggerreactors.liquid_obsidian_bucket,Liquid Obsidian Bucket,液体黒曜石バケツ
item.biggerreactors.liquid_uranium_bucket,Liquid Uranium Bucket,液体ウランバケツ
item.biggerreactors.ludicrite_dust,Ludicrite Dust,ルディクライト粉
item.biggerreactors.ludicrite_ingot,Ludicrite Ingot,ルディクライトインゴット
item.biggerreactors.steam_bucket,Steam Bucket,蒸気バケツ
item.biggerreactors.superheated_sodium_bucket,Liquid Superheated Sodium Bucket,液体過熱ナトリウムバケツ
item.biggerreactors.uranium_dust,Uranium Dust,ウラン粉
item.biggerreactors.uranium_ingot,Uranium Ingot,ウランインゴット
item.biggerreactors.wrench,Reactor Wrench,反応炉レンチ
itemGroup.biggerreactors,Bigger Reactors,ビッガーリアクターズ
jei.biggerreactors.classic.reactor_moderator_absorption,Absorption: %s,吸収: %s
jei.biggerreactors.classic.reactor_moderator_block,Reactor Moderator Blocks,反応炉減速材ブロック
jei.biggerreactors.classic.reactor_moderator_conductivity,Heat Conductivity: %s,熱伝導性: %s
jei.biggerreactors.classic.reactor_moderator_efficiency,Heat Efficiency: %s,熱効率: %s
jei.biggerreactors.classic.reactor_moderator_fluid,Reactor Moderator Fluids,反応炉減速材流体
jei.biggerreactors.classic.reactor_moderator_moderation,Moderation: %s,減速: %s
jei.biggerreactors.classic.turbine_coil_block,Turbine Coil Blocks,タービンコイルブロック
jei.biggerreactors.classic.turbine_coil_bonus,Bonus: %s,ボーナス: %s
jei.biggerreactors.classic.turbine_coil_efficiency,Efficiency: %s,効率: %s
jei.biggerreactors.classic.turbine_coil_extraction,Extraction Rate: %s,抽出速度: %s
multiblock.error.biggerreactors.control_rod_not_on_top,"Control rods can only be placed on the top of the reactor (%d, %d, %d).","制御棒は反応炉の上部にのみ配置できます (%d, %d, %d)。"
