key,source_text,target_text
button.corpse.additional_items,Additional Items,追加アイテム
button.corpse.next,Next,次へ
button.corpse.previous,Back,戻る
button.corpse.show_items,Items,アイテム
button.corpse.transfer_items,Transfer Items,アイテム転送
chat.corpse.teleport_death_location,Teleport to death location %s,死亡地点にテレポート %s
entity.corpse.corpse,Corpse,死体
entity.corpse.corpse_of,Corpse of %s,%sの死体
gui.corpse.death_history.date_format,yyyy/MM/dd HH:mm:ss,yyyy年MM月dd日 HH:mm:ss
gui.corpse.death_history.dimension,Dimension,ディメンション
gui.corpse.death_history.location,Location,位置
gui.corpse.death_history.name,Name,名前
gui.corpse.death_history.title,Player Death History,プレイヤー死亡履歴
gui.corpse.page,%s of %s,%s/%s
key.corpse.death_history,Open Player Death History,プレイヤー死亡履歴を開く
message.corpse.no_death_history,No player death history,プレイヤー死亡履歴がありません
tooltip.corpse.death_date,Died on %s,%sに死亡しました
tooltip.corpse.item_count,Contains %s stack(s),%sスタック含む
tooltip.corpse.teleport,Teleport,テレポート
