key,source_text,target_text
comment_absolem,Paintings by Absolem Jackdaw,Absolem Jackdawの絵画
comment_axeonlotl,Paintings by Axeonlotl,Axeonlotlの絵画
comment_darkhax,Paintings by Darkhax,Darkhaxの絵画
comment_furydev,Paintings by FuryDev,FuryDevの絵画
comment_localization,Please do not localize painting titles or artist names. These can be omitted from the non-us files.,絵画のタイトルとアーティスト名はローカライズしないでください。これらは非US言語ファイルから除外できます。
comment_mmg28rtt,Paintings by mmg28rtt,mmg28rttの絵画
comment_punpudle,Paintings by Punpudle,Punpudleの絵画
comment_vanilla,Vanilla Paintings by Kristoffer Zetterstrand,Kristoffer Zetterstrandのバニラ絵画
comment_vanilla_wither,The wither painting is by an unknown artist.,Witherの絵画は不明なアーティストによるものです。
comment_vydax,Paintings by VydaX,VydaXの絵画
comment_wouter,Paintings by Wouter,Wouterの絵画
painting.darkpaintings.a_distant_light.title,A Distant Light,遠い光
painting.darkpaintings.afternoon_volcano.title,Afternoon Volcano,午後の火山
painting.darkpaintings.antler_maze.title,Antler Maze,角迷宮
painting.darkpaintings.bubbles.title,Bubbles,泡
painting.darkpaintings.cottage_by_the_river.title,Cottage By The River,川沿いの家
painting.darkpaintings.crimson_taiga.title,Crimson Taiga,深紅のタイガ
painting.darkpaintings.daybreak.title,Daybreak,夜明け
painting.darkpaintings.enderman.title,EnderMan,エンダーマン
painting.darkpaintings.in_the_air.title,In The Air,空の中へ
painting.darkpaintings.kerstball.title,Kerstball,クリスマスボール
painting.darkpaintings.last_dreams_at_candyland.title,Last Dreams at Candyland,キャンディーランドの最後の夢
painting.darkpaintings.lumberjack.title,Lumberjack,木こり
painting.darkpaintings.mr_moon.title,Mr. Moon,月の紳士
painting.darkpaintings.oceanic_view.title,Oceanic View,大洋の景色
painting.darkpaintings.planets.title,Planets,惑星
painting.darkpaintings.santa_moon.title,Santa Moon,サンタムーン
painting.darkpaintings.seavibe.title,Seavibe,海の雰囲気
painting.darkpaintings.sir_ramfrez_yarn_paradise.title,Sir Ramirez's Yarn Paradise,サー・ラミレスの毛糸の楽園
painting.darkpaintings.skyblock.title,Skyblock,スカイブロック
painting.darkpaintings.snowman_scenery.title,Snowman Scenery,雪だるまの景色
painting.darkpaintings.summer_heat.title,Summer Heat,夏の暑さ
painting.darkpaintings.tetromino.title,Tetromino,テトロミノ
painting.darkpaintings.the_most_sweet_candy.title,The Most Sweet Candy,最も甘いお菓子
painting.darkpaintings.the_secret_neighborhood.title,The Secret Neighborhood,秘密の近所
painting.darkpaintings.the_tower.title,The Tower,塔
painting.darkpaintings.the_wheel.title,The Wheel,輪
painting.darkpaintings.turkey.title,Turkey,七面鳥
painting.darkpaintings.village.title,Village,村
painting.darkpaintings.watching_the_sunset.title,Watching The Sunset,夕焼けを見つめる
painting.darkpaintings.whale_dream.title,Whale Dream,クジラの夢
tooltip.darkpaintings.artist,by %s,作者: %s
tooltip.darkpaintings.id,Id: %s,ID: %s
