key,source_text,target_text
advancements.deeperdarker.enter_otherside.description,"Deep below the bedrock, the darkness awaits",岩盤の奥底で、闇が待っている。
advancements.deeperdarker.enter_otherside.title,Below the Bedrock,岩盤の下
advancements.deeperdarker.explore_otherside.description,Explore all Otherside biomes,すべての種類の「向こう側」のバイオームを発見する
advancements.deeperdarker.explore_otherside.title,Echolocation,エコーロケーション
advancements.deeperdarker.find_ancient_city.description,Find an Ancient City,古代都市を見つける
advancements.deeperdarker.find_ancient_city.title,A Metropolis of Restless Souls,落ち着きのない魂の大都市
advancements.deeperdarker.find_ancient_temple.description,Explore the depths for a temple,深淵にある寺院を探索する
advancements.deeperdarker.find_ancient_temple.title,Abyssal Descent,さらなる深淵へ
advancements.deeperdarker.kill_all_sculk_mobs.description,Kill one of every Sculk monster,すべてのスカルク系モンスターを一度は仕留める
advancements.deeperdarker.kill_all_sculk_mobs.title,Sculk Slayer,スカルクを狩る者
advancements.deeperdarker.kill_warden.description,Slay the Warden and take its heart,ウォーデンを倒し、心臓を捧げさせる
advancements.deeperdarker.kill_warden.title,Phantom Thief,怪盗
advancements.deeperdarker.obtain_reinforced_echo_shard.description,Reinforce an Echo Shard,エコーシャードを強化する
advancements.deeperdarker.obtain_reinforced_echo_shard.title,Sculk Engineer,スカルク技術者
advancements.deeperdarker.obtain_sculk_transmitter.description,Acquire a Sculk Transmitter,スカルクトランスミッターを入手する
advancements.deeperdarker.obtain_sculk_transmitter.title,Remote Storage,リモート倉庫
advancements.deeperdarker.obtain_sonorous_staff.description,Acquire a Sonorous Staff,ソノーラススタッフを入手する
advancements.deeperdarker.obtain_sonorous_staff.title,Noise Complaint,騒音苦情
advancements.deeperdarker.root.description,You feel something pulling you towards the source...,その源へ向かうように、あなたは何かに引っ張られるように感じた…
advancements.deeperdarker.root.title,Sculk Story,スカルク物語
advancements.deeperdarker.warden_armor.description,Protect yourself with a full set of Warden Armor,頭からつま先までをウォーデンの防具で守る
advancements.deeperdarker.warden_armor.title,Cover Me with Sculk,スカルクで私を覆って
biome.deeperdarker.blooming_caverns,Blooming Caverns,咲く洞窟
biome.deeperdarker.deeplands,Deeplands,深い大地
biome.deeperdarker.echoing_forest,Echoing Forest,響く森
biome.deeperdarker.overcast_columns,Overcast Columns,曇り柱
block.deeperdarker.ancient_vase,Ancient Vase,古代の花瓶
block.deeperdarker.bloom_button,Bloom Button,ブルームボタン
block.deeperdarker.bloom_door,Bloom Door,ブルームドア
block.deeperdarker.bloom_fence,Bloom Fence,ブルームフェンス
block.deeperdarker.bloom_fence_gate,Bloom Fence Gate,ブルームフェンスゲート
block.deeperdarker.bloom_hanging_sign,Bloom Hanging Sign,ブルーム吊り看板
block.deeperdarker.bloom_planks,Bloom Planks,ブルーム板材
block.deeperdarker.bloom_pressure_plate,Bloom Pressure Plate,ブルーム感圧板
block.deeperdarker.bloom_sign,Bloom Sign,ブルーム看板
block.deeperdarker.bloom_slab,Bloom Slab,ブルームスラブ
block.deeperdarker.bloom_stairs,Bloom Stairs,ブルーム階段
block.deeperdarker.bloom_trapdoor,Bloom Trapdoor,ブルーム隠し扉
block.deeperdarker.blooming_moss_block,Blooming Moss Block,咲き誇るコケブロック
block.deeperdarker.blooming_sculk_stone,Blooming Sculk Stone,咲くスカルク石
block.deeperdarker.blooming_stem,Blooming Stem,咲く茎
block.deeperdarker.chiseled_gloomslate,Chiseled Gloomslate,模様入りの暗影岩
block.deeperdarker.chiseled_sculk_stone,Chiseled Sculk Stone,模様入りのスカルクストーン
block.deeperdarker.cobbled_gloomslate,Cobbled Gloomslate,暗影岩の丸石
block.deeperdarker.cobbled_gloomslate_slab,Cobbled Gloomslate Slab,暗影岩の丸石のハーフブロック
block.deeperdarker.cobbled_gloomslate_stairs,Cobbled Gloomslate Stairs,暗影岩の丸石の階段
block.deeperdarker.cobbled_gloomslate_wall,Cobbled Gloomslate Wall,暗影岩の丸石の塀
block.deeperdarker.cobbled_sculk_stone,Cobbled Sculk Stone,スカルク丸石
block.deeperdarker.cobbled_sculk_stone_slab,Cobbled Sculk Stone Slab,スカルク丸石のハーフブロック
block.deeperdarker.cobbled_sculk_stone_stairs,Cobbled Sculk Stone Stairs,スカルク丸石の階段
block.deeperdarker.cobbled_sculk_stone_wall,Cobbled Sculk Stone Wall,スカルク丸石の塀
block.deeperdarker.crystallized_amber,Crystallized Amber,結晶化した琥珀
block.deeperdarker.cut_gloomslate,Cut Gloomslate,切り込み入りの暗影岩
block.deeperdarker.cut_gloomslate_slab,Cut Gloomslate Slab,切り込み入りの暗影岩のハーフブロック
block.deeperdarker.cut_gloomslate_stairs,Cut Gloomslate Stairs,切り込み入りの暗影岩の階段
block.deeperdarker.cut_gloomslate_wall,Cut Gloomslate Wall,切り込み入りの暗影岩の塀
block.deeperdarker.cut_sculk_stone,Cut Sculk Stone,切り込み入りのスカルクストーン
block.deeperdarker.cut_sculk_stone_slab,Cut Sculk Stone Slab,切り込み入りのスカルクストーンのハーフブロック
block.deeperdarker.cut_sculk_stone_stairs,Cut Sculk Stone Stairs,切り込み入りのスカルクストーンの階段
block.deeperdarker.cut_sculk_stone_wall,Cut Sculk Stone Wall,切り込み入りのスカルクストーンの塀
block.deeperdarker.echo_button,Echo Button,残響のボタン
block.deeperdarker.echo_door,Echo Door,残響のドア
block.deeperdarker.echo_fence,Echo Fence,残響のフェンス
block.deeperdarker.echo_fence_gate,Echo Fence Gate,残響のフェンスゲート
block.deeperdarker.echo_hanging_sign,Echo Hanging Sign,残響の吊り看板
block.deeperdarker.echo_leaves,Echo Leaves,残響の葉
block.deeperdarker.echo_log,Echo Log,残響の原木
block.deeperdarker.echo_planks,Echo Planks,残響の板材
block.deeperdarker.echo_pressure_plate,Echo Pressure Plate,残響の感圧板
