key,source_text,target_text
block.domum_ornamentum.architectscutter,Architect's Cutter,建築家のカッター
block.domum_ornamentum.architectscutter,Architect's Cutter,建築家のカッター
block.domum_ornamentum.beige_bricks,Beige Bricks,ベージュのレンガ
block.domum_ornamentum.beige_bricks,Beige Bricks,ベージュのレンガ
block.domum_ornamentum.beige_stone_bricks,Beige Stone Bricks,ベージュの石レンガ
block.domum_ornamentum.beige_stone_bricks,Beige Stone Bricks,ベージュの石レンガ
block.domum_ornamentum.black_floating_carpet,Black Floating Carpet,黒の浮遊カーペット
block.domum_ornamentum.black_floating_carpet,Black Floating Carpet,黒の浮遊カーペット
block.domum_ornamentum.blockbarreldeco_onside,Laying Barrel,横たわる樽
block.domum_ornamentum.blockbarreldeco_onside,Laying Barrel,横たわる樽
block.domum_ornamentum.blockbarreldeco_standing,Standing Barrel,立っている樽
block.domum_ornamentum.blockbarreldeco_standing,Standing Barrel,立っている樽
block.domum_ornamentum.blue_floating_carpet,Blue Floating Carpet,青の浮遊カーペット
block.domum_ornamentum.blue_floating_carpet,Blue Floating Carpet,青の浮遊カーペット
block.domum_ornamentum.brown_bricks,Brown Bricks,茶色のレンガ
block.domum_ornamentum.brown_bricks,Brown Bricks,茶色のレンガ
block.domum_ornamentum.brown_floating_carpet,Brown Floating Carpet,茶色の浮遊カーペット
block.domum_ornamentum.brown_floating_carpet,Brown Floating Carpet,茶色の浮遊カーペット
block.domum_ornamentum.brown_stone_bricks,Brown Stone Bricks,茶色の石レンガ
block.domum_ornamentum.brown_stone_bricks,Brown Stone Bricks,茶色の石レンガ
block.domum_ornamentum.cream_bricks,Cream Bricks,クリームのレンガ
block.domum_ornamentum.cream_bricks,Cream Bricks,クリームのレンガ
block.domum_ornamentum.cream_stone_bricks,Cream Stone Bricks,クリームの石レンガ
block.domum_ornamentum.cream_stone_bricks,Cream Stone Bricks,クリームの石レンガ
block.domum_ornamentum.cyan_floating_carpet,Cyan Floating Carpet,シアンの浮遊カーペット
block.domum_ornamentum.cyan_floating_carpet,Cyan Floating Carpet,シアンの浮遊カーペット
block.domum_ornamentum.gray_floating_carpet,Gray Floating Carpet,グレーの浮遊カーペット
block.domum_ornamentum.gray_floating_carpet,Gray Floating Carpet,グレーの浮遊カーペット
block.domum_ornamentum.green_floating_carpet,Green Floating Carpet,緑の浮遊カーペット
block.domum_ornamentum.green_floating_carpet,Green Floating Carpet,緑の浮遊カーペット
block.domum_ornamentum.light_blue_floating_carpet,Light Blue Floating Carpet,ライトブルーの浮遊カーペット
block.domum_ornamentum.light_blue_floating_carpet,Light Blue Floating Carpet,ライトブルーの浮遊カーペット
block.domum_ornamentum.light_gray_floating_carpet,Light Gray Floating Carpet,ライトグレーの浮遊カーペット
block.domum_ornamentum.light_gray_floating_carpet,Light Gray Floating Carpet,ライトグレーの浮遊カーペット
block.domum_ornamentum.lime_floating_carpet,Lime Floating Carpet,ライムの浮遊カーペット
block.domum_ornamentum.lime_floating_carpet,Lime Floating Carpet,ライムの浮遊カーペット
block.domum_ornamentum.magenta_floating_carpet,Magenta Floating Carpet,マゼンタの浮遊カーペット
block.domum_ornamentum.magenta_floating_carpet,Magenta Floating Carpet,マゼンタの浮遊カーペット
block.domum_ornamentum.orange_floating_carpet,Orange Floating Carpet,オレンジの浮遊カーペット
block.domum_ornamentum.orange_floating_carpet,Orange Floating Carpet,オレンジの浮遊カーペット
block.domum_ornamentum.pink_floating_carpet,Pink Floating Carpet,ピンクの浮遊カーペット
