key,source_text,target_text
block.elevatorid.elevator_black,Black Elevator,ブラック エレベーター
block.elevatorid.elevator_black,Black Elevator,ブラック エレベーター
block.elevatorid.elevator_blue,Blue Elevator,ブルー エレベーター
block.elevatorid.elevator_blue,Blue Elevator,ブルー エレベーター
block.elevatorid.elevator_brown,Brown Elevator,ブラウン エレベーター
block.elevatorid.elevator_brown,Brown Elevator,ブラウン エレベーター
block.elevatorid.elevator_cyan,Cyan Elevator,シアン エレベーター
block.elevatorid.elevator_cyan,Cyan Elevator,シアン エレベーター
block.elevatorid.elevator_gray,Gray Elevator,グレー エレベーター
block.elevatorid.elevator_gray,Gray Elevator,グレー エレベーター
block.elevatorid.elevator_green,Green Elevator,グリーン エレベーター
block.elevatorid.elevator_green,Green Elevator,グリーン エレベーター
block.elevatorid.elevator_light_blue,Light Blue Elevator,ライト ブルー エレベーター
block.elevatorid.elevator_light_blue,Light Blue Elevator,ライト ブルー エレベーター
block.elevatorid.elevator_light_gray,Light Gray Elevator,ライト グレー エレベーター
block.elevatorid.elevator_light_gray,Light Gray Elevator,ライト グレー エレベーター
block.elevatorid.elevator_lime,Lime Elevator,ライム エレベーター
block.elevatorid.elevator_lime,Lime Elevator,ライム エレベーター
block.elevatorid.elevator_magenta,Magenta Elevator,マゼンタ エレベーター
block.elevatorid.elevator_magenta,Magenta Elevator,マゼンタ エレベーター
block.elevatorid.elevator_orange,Orange Elevator,オレンジ エレベーター
block.elevatorid.elevator_orange,Orange Elevator,オレンジ エレベーター
block.elevatorid.elevator_pink,Pink Elevator,ピンク エレベーター
block.elevatorid.elevator_pink,Pink Elevator,ピンク エレベーター
block.elevatorid.elevator_purple,Purple Elevator,パープル エレベーター
block.elevatorid.elevator_purple,Purple Elevator,パープル エレベーター
block.elevatorid.elevator_red,Red Elevator,レッド エレベーター
block.elevatorid.elevator_red,Red Elevator,レッド エレベーター
block.elevatorid.elevator_white,White Elevator,ホワイト エレベーター
block.elevatorid.elevator_white,White Elevator,ホワイト エレベーター
block.elevatorid.elevator_yellow,Yellow Elevator,イエロー エレベーター
block.elevatorid.elevator_yellow,Yellow Elevator,イエロー エレベーター
elevatorid.message.missing_xp,You do not have enough XP to use elevators,エレベーターを使用するのに十分なXPがありません
elevatorid.message.missing_xp,You do not have enough XP to use elevators,エレベーターを使用するのに十分なXPがありません
elevatorid.subtitle.camouflage,Elevator camouflaged,エレベーターが偽装されました
elevatorid.subtitle.camouflage,Elevator camouflaged,エレベーターが偽装されました
elevatorid.subtitle.teleport,Elevator used,エレベーターが使用されました
elevatorid.subtitle.teleport,Elevator used,エレベーターが使用されました
itemGroup.elevators_tab,Elevators,エレベーター
itemGroup.elevators_tab,Elevators,エレベーター
screen.elevatorid.elevator,Elevator Options,エレベーター オプション
screen.elevatorid.elevator,Elevator Options,エレベーター オプション
screen.elevatorid.elevator.directional,Directional,方向指定
screen.elevatorid.elevator.directional,Directional,方向指定
screen.elevatorid.elevator.directional_east,E,東
screen.elevatorid.elevator.directional_east,E,東
screen.elevatorid.elevator.directional_north,N,北
screen.elevatorid.elevator.directional_north,N,北
screen.elevatorid.elevator.directional_south,S,南
screen.elevatorid.elevator.directional_south,S,南
screen.elevatorid.elevator.directional_west,W,西
screen.elevatorid.elevator.directional_west,W,西
screen.elevatorid.elevator.hide_arrow,Hide arrow,矢印を非表示
screen.elevatorid.elevator.hide_arrow,Hide arrow,矢印を非表示
screen.elevatorid.elevator.reset_camo,Remove camouflage,偽装を削除
screen.elevatorid.elevator.reset_camo,Remove camouflage,偽装を削除
tag.item.elevatorid.elevators,Elevators,エレベーター
tag.item.elevatorid.elevators,Elevators,エレベーター
