key,source_text,target_text
_comment,------------------------------------------------ MOD INTEGRATION -------------------------------------------------!,
block.enderchests.chest.private,Ender Chest,エンダーチェスト
block.enderchests.chest.public,Ender Chest,エンダーチェスト
block.enderchests.chest.team,Ender Chest,エンダーチェスト
config.jade.plugin_enderchests.hud,Enable Plugin,プラグインを有効化
error.enderchests.bag.corrupted,Can not open bag; Stack NBT data missing,バッグを開けません: スタックNBTデータが見つかりません
error.enderchests.bag.nolink1,"Can not link bag, you do not own this chest",バッグをリンクできません: このチェストを所有していません
error.enderchests.bag.nolink2,"Can not link bag, Chest owner is unknown",バッグをリンクできません: チェストの所有者が不明です
error.enderchests.bag.nolink3,"Can not link bag, you're not on the same team",バッグをリンクできません: 同じチームではありません
error.enderchests.bag.private.disabled,Creation of private bags is disabled,プライベートバッグの作成は無効化されています
error.enderchests.bag.public.disabled,Public bags are disabled,公開バッグは無効化されています
error.enderchests.bag.team.disabled,Creation of team bags is disabled,チームバッグの作成は無効化されています
error.enderchests.chest.private.denied,Only the owner can preform that action,所有者のみがこの操作を実行できます
error.enderchests.chest.private.disabled,Creation of private chests is disabled,プライベートチェストの作成は無効化されています
error.enderchests.chest.public.disabled,"Public chests are disabled, chests must be upgraded to use",公開チェストは無効化されています。使用するにはアップグレードが必要です
error.enderchests.chest.team.denied,Only team members can preform that action,チームメンバーのみがこの操作を実行できます
error.enderchests.chest.team.disabled,Creation of team chests is disabled,チームチェストの作成は無効化されています
error.enderchests.chest.upgrade_used,That upgrade item can only be applied once per chest,このアップグレードアイテムはチェストごとに1回のみ適用できます
hud.enderchests.server_data_missing," §6⚠ §4No HUD Data Received from Server §6⚠"," §6⚠ §4サーバーからHUDデータを受信できません §6⚠"
info.enderchests.chest.capacity,Chest capacity increased to,チェストの容量が増加しました:
info.enderchests.chest.code,Code:,コード:
info.enderchests.chest.public,Public Use,公開使用
info.enderchests.craftingmaterial,Crafting Material,クラフト素材
item.enderchests.bag.private,Ender Bag,エンダーバッグ
item.enderchests.bag.public,Ender Bag,エンダーバッグ
item.enderchests.bag.team,Ender Bag,エンダーバッグ
item.enderchests.ender_pouch,Ender Pouch,エンダーポーチ
itemGroup.enderchests,EnderChests,
