key,source_text,target_text
block.endermanoverhaul.tiny_skull,Tiny Skull,小さいドクロ
block.endermanoverhaul.tiny_skull,Tiny Skull,小さいドクロ
config.endermanoverhaul.allowPickingUpBlocks,Allow Picking Up Blocks,ブロック拾い上げを許可
config.endermanoverhaul.allowPickingUpBlocks,Allow Picking Up Blocks,ブロック拾い上げを許可
config.endermanoverhaul.allowSpawning,Allow Spawning,スポーンを許可
config.endermanoverhaul.allowSpawning,Allow Spawning,スポーンを許可
config.endermanoverhaul.client.title,Enderman Overhaul Client,エンダーマン改良 クライアント
config.endermanoverhaul.client.title,Enderman Overhaul Client,エンダーマン改良 クライアント
config.endermanoverhaul.clientConfig,Client Config,クライアント設定
config.endermanoverhaul.clientConfig,Client Config,クライアント設定
config.endermanoverhaul.description,Enderman overhaul adds biome-specific Enderman!,エンダーマン改良はバイオーム固有のエンダーマンを追加します！
config.endermanoverhaul.description,Enderman overhaul adds biome-specific Enderman!,エンダーマン改良はバイオーム固有のエンダーマンを追加します！
config.endermanoverhaul.endEndermanTeleportChance,End Enderman Teleport Chance,エンド エンダーマン テレポート確率
config.endermanoverhaul.endEndermanTeleportChance,End Enderman Teleport Chance,エンド エンダーマン テレポート確率
config.endermanoverhaul.flashScreen,Flash Screen,画面フラッシュ
config.endermanoverhaul.flashScreen,Flash Screen,画面フラッシュ
config.endermanoverhaul.friendlyEndermanDespawn,Friendly Enderman Despawn,友好的エンダーマン デスポーン
config.endermanoverhaul.friendlyEndermanDespawn,Friendly Enderman Despawn,友好的エンダーマン デスポーン
config.endermanoverhaul.friendlyEndermanTeleport,Friendly Enderman Teleport,友好的エンダーマン テレポート
config.endermanoverhaul.friendlyEndermanTeleport,Friendly Enderman Teleport,友好的エンダーマン テレポート
config.endermanoverhaul.replaceDefaultEnderman,Replace Default Enderman,デフォルト エンダーマンを置き換え
config.endermanoverhaul.replaceDefaultEnderman,Replace Default Enderman,デフォルト エンダーマンを置き換え
config.endermanoverhaul.replaceMekanismBabyEnderman,Replace Mekanism Baby Enderman,Mekanism ベビーエンダーマンを置き換え
config.endermanoverhaul.replaceMekanismBabyEnderman,Replace Mekanism Baby Enderman,Mekanism ベビーエンダーマンを置き換え
config.endermanoverhaul.spawnBadlandsEnderman,Spawn Badlands Enderman,バッドランド エンダーマンをスポーン
config.endermanoverhaul.spawnBadlandsEnderman,Spawn Badlands Enderman,バッドランド エンダーマンをスポーン
config.endermanoverhaul.spawnCaveEnderman,Spawn Cave Enderman,洞窟 エンダーマンをスポーン
config.endermanoverhaul.spawnCaveEnderman,Spawn Cave Enderman,洞窟 エンダーマンをスポーン
config.endermanoverhaul.spawnCoralEnderman,Spawn Coral Enderman,サンゴ エンダーマンをスポーン
config.endermanoverhaul.spawnCoralEnderman,Spawn Coral Enderman,サンゴ エンダーマンをスポーン
config.endermanoverhaul.spawnCrimsonForestEnderman,Spawn Crimson Forest Enderman,深紅の森 エンダーマンをスポーン
config.endermanoverhaul.spawnCrimsonForestEnderman,Spawn Crimson Forest Enderman,深紅の森 エンダーマンをスポーン
config.endermanoverhaul.spawnDarkOakEnderman,Spawn Dark Oak Enderman,ダークオーク エンダーマンをスポーン
config.endermanoverhaul.spawnDarkOakEnderman,Spawn Dark Oak Enderman,ダークオーク エンダーマンをスポーン
config.endermanoverhaul.spawnDesertEnderman,Spawn Desert Enderman,砂漠 エンダーマンをスポーン
config.endermanoverhaul.spawnDesertEnderman,Spawn Desert Enderman,砂漠 エンダーマンをスポーン
