key,source_text,target_text
block.engineersdecor.clinker_brick_block,Clinker Brick Block,クリンカーレンガブロック
block.engineersdecor.clinker_brick_block.help,"A brick block with position
 dependent texture variations.
 Looks slightly darker and more
 color intensive than the
 vanilla brick block.",位置に依存したテクスチャバリエーションを持つレンガブロック。バニラのレンガブロックよりも暗く、より色鮮やかに見えます。
block.engineersdecor.clinker_brick_recessed,Recessed Clinker Brick,くぼみクリンカーレンガ
block.engineersdecor.clinker_brick_sastor_corner_block,Sandstone Ornated Clinker Brick,砂岩装飾クリンカーレンガ
block.engineersdecor.clinker_brick_sastor_corner_block.help,"Quoin decoration for clinker
 wall accentuation. Place looking
 horizontally to generate a
 building corner ornamentation.
 Place while looking almost
 straight up/down for window
 ornamentation. The style of
 adjacent Sandstone Ornated
 Blocks are copied (preferred) to
 facilitate placements for
 higher buildings.",クリンカー壁の装飾用の石造彫刻。水平方向に配置すると建物のコーナー装飾が生成されます。ほぼ真上または真下を見ながら配置するとウィンドウ装飾になります。隣接する砂岩装飾ブロックのスタイルがコピー（優先的に）され、高い建物の配置を容易にします。
block.engineersdecor.clinker_brick_slab,Clinker Brick Slab,クリンカーレンガスラブ
block.engineersdecor.clinker_brick_slab.help,"Slab made from a Clinker Block.
 Looks slightly darker and more
 color intensive than the
 vanilla brick.",クリンカーブロックから作られたスラブ。バニラのレンガよりも暗く、より色鮮やかに見えます。
block.engineersdecor.clinker_brick_stained_block,Stained Clinker Brick Block,汚れたクリンカーレンガブロック
block.engineersdecor.clinker_brick_stained_block.help,"A brick block with position
 dependent texture variations.
 Looks slightly darker and more
 color intensive than the vanilla
 brick block. Has more visible
 traces of grime or stain.",位置に依存したテクスチャバリエーションを持つレンガブロック。バニラのレンガブロックよりも暗く、より色鮮やかに見えます。汚れやしみのより目に見える跡があります。
block.engineersdecor.clinker_brick_stained_slab,Stained Clinker Brick Slab,汚れたクリンカーレンガスラブ
block.engineersdecor.clinker_brick_stained_slab.help,Slab made from a Stained Clinker Block.,汚れたクリンカーブロックから作られたスラブ。
block.engineersdecor.clinker_brick_stained_stairs,Stained Clinker Brick Stairs,汚れたクリンカーレンガ階段
block.engineersdecor.clinker_brick_stained_stairs.help,"Looks slightly darker and more
 color intensive than the vanilla
 brick block. Has more visible
 traces of grime or stain.",バニラのレンガブロックよりも暗く、より色鮮やかに見えます。汚れやしみのより目に見える跡があります。
block.engineersdecor.clinker_brick_stairs,Clinker Brick Stairs,クリンカーレンガ階段
