key,source_text,target_text
block.exnihilosequentia.acacia_barrel,Acacia Barrel,アカシア樽
block.exnihilosequentia.acacia_crucible,Acacia Crucible,アカシア坩堝
block.exnihilosequentia.acacia_sieve,Acacia Sieve,アカシアふるい
block.exnihilosequentia.birch_barrel,Birch Barrel,シラカバ樽
block.exnihilosequentia.birch_crucible,Birch Crucible,シラカバ坩堝
block.exnihilosequentia.birch_sieve,Birch Sieve,シラカバふるい
block.exnihilosequentia.crimson_barrel,Crimson Barrel,真紅の樽
block.exnihilosequentia.crimson_crucible,Crimson Crucible,真紅の坩堝
block.exnihilosequentia.crimson_sieve,Crimson Sieve,真紅のふるい
block.exnihilosequentia.crushed_andesite,Crushed Andesite,砕いた安山岩
block.exnihilosequentia.crushed_diorite,Crushed Diorite,砕いた斑岩
block.exnihilosequentia.crushed_end_stone,Crushed End Stone,砕いたエンドストーン
block.exnihilosequentia.crushed_granite,Crushed Granite,砕いた花崗岩
block.exnihilosequentia.crushed_netherrack,Crushed Netherrack,砕いたネザーラック
block.exnihilosequentia.dark_oak_barrel,Dark Oak Barrel,黒樫樽
block.exnihilosequentia.dark_oak_crucible,Dark Oak Crucible,黒樫坩堝
block.exnihilosequentia.dark_oak_sieve,Dark Oak Sieve,黒樫ふるい
block.exnihilosequentia.dust,Dust,塵
block.exnihilosequentia.end_cake,End Cake,エンドケーキ
block.exnihilosequentia.fired_crucible,Fired Crucible,焼成坩堝
block.exnihilosequentia.infested_leaves,Infested Leaves,蔓延した葉
block.exnihilosequentia.infesting_leaves,Infesting Leaves,蔓延させる葉
block.exnihilosequentia.jungle_barrel,Jungle Barrel,ジャングル樽
block.exnihilosequentia.jungle_crucible,Jungle Crucible,ジャングル坩堝
block.exnihilosequentia.jungle_sieve,Jungle Sieve,ジャングルふるい
block.exnihilosequentia.oak_barrel,Oak Barrel,オーク樽
block.exnihilosequentia.oak_crucible,Oak Crucible,オーク坩堝
block.exnihilosequentia.oak_sieve,Oak Sieve,オークふるい
block.exnihilosequentia.sea_water,Sea Water,海水
block.exnihilosequentia.spruce_barrel,Spruce Barrel,トウヒ樽
block.exnihilosequentia.spruce_crucible,Spruce Crucible,トウヒ坩堝
block.exnihilosequentia.spruce_sieve,Spruce Sieve,トウヒふるい
block.exnihilosequentia.stone_barrel,Stone Barrel,石樽
block.exnihilosequentia.unfired_crucible,Unfired Crucible,焼成前坩堝
block.exnihilosequentia.warped_barrel,Warped Barrel,ウォープ樽
block.exnihilosequentia.warped_crucible,Warped Crucible,ウォープ坩堝
block.exnihilosequentia.warped_sieve,Warped Sieve,ウォープふるい
block.exnihilosequentia.witch_water,Witch Water,魔女の水
exnihilosequentia.subtitle.pebbleThrow,Pebble flies,小石が飛ぶ音
fluid.exnihilosequentia.sea_water,Sea Water,海水
fluid.exnihilosequentia.sea_water_flow,Flowing Sea Water,流れる海水
fluid.exnihilosequentia.witch_water,Witch Water,魔女の水
fluid.exnihilosequentia.witch_water_flow,Flowing Witch Water,流れる魔女の水
