key,source_text,target_text
block.expandedae.exp_crafting_accelerator_128,128x Crafting Co-Processing Unit,128倍 製作共処理ユニット
block.expandedae.exp_crafting_accelerator_128k,128K Crafting Co-Processing Unit,128K 製作共処理ユニット
block.expandedae.exp_crafting_accelerator_16,16x Crafting Co-Processing Unit,16倍 製作共処理ユニット
block.expandedae.exp_crafting_accelerator_16k,16K Crafting Co-Processing Unit,16K 製作共処理ユニット
block.expandedae.exp_crafting_accelerator_1k,1K Crafting Co-Processing Unit,1K 製作共処理ユニット
block.expandedae.exp_crafting_accelerator_1m,1M Crafting Co-Processing Unit,1M 製作共処理ユニット
block.expandedae.exp_crafting_accelerator_2,2x Crafting Co-Processing Unit,2倍 製作共処理ユニット
block.expandedae.exp_crafting_accelerator_256,256x Crafting Co-Processing Unit,256倍 製作共処理ユニット
block.expandedae.exp_crafting_accelerator_256k,256K Crafting Co-Processing Unit,256K 製作共処理ユニット
block.expandedae.exp_crafting_accelerator_2k,2K Crafting Co-Processing Unit,2K 製作共処理ユニット
block.expandedae.exp_crafting_accelerator_32,32x Crafting Co-Processing Unit,32倍 製作共処理ユニット
block.expandedae.exp_crafting_accelerator_32k,32K Crafting Co-Processing Unit,32K 製作共処理ユニット
block.expandedae.exp_crafting_accelerator_4,4x Crafting Co-Processing Unit,4倍 製作共処理ユニット
block.expandedae.exp_crafting_accelerator_4k,4K Crafting Co-Processing Unit,4K 製作共処理ユニット
block.expandedae.exp_crafting_accelerator_512,512x Crafting Co-Processing Unit,512倍 製作共処理ユニット
block.expandedae.exp_crafting_accelerator_512k,512K Crafting Co-Processing Unit,512K 製作共処理ユニット
block.expandedae.exp_crafting_accelerator_64,64x Crafting Co-Processing Unit,64倍 製作共処理ユニット
block.expandedae.exp_crafting_accelerator_64k,64K Crafting Co-Processing Unit,64K 製作共処理ユニット
block.expandedae.exp_crafting_accelerator_8,8x Crafting Co-Processing Unit,8倍 製作共処理ユニット
block.expandedae.exp_crafting_accelerator_8k,8K Crafting Co-Processing Unit,8K 製作共処理ユニット
block.expandedae.exp_crafting_unit,Expanded Crafting Unit,拡張製作ユニット
block.expandedae.exp_io_port,ME Expanded IO Port,ME拡張IOポート
block.expandedae.exp_pattern_provider,ME Expanded Pattern Provider,ME拡張パターンプロバイダー
creativetab.expandedae,Expanded AE,拡張AE
group.adv_pattern_provider.name,ME Advanced Pattern Provider,ME高度なパターンプロバイダー
group.ex_interface.name,ME Extended Interface,ME拡張インターフェース
group.ex_pattern_provider.name,ME Extended Pattern Provider,ME拡張パターンプロバイダー
group.exp_pattern_provider.name,ME Expanded Pattern Provider,ME拡張パターンプロバイダー
group.exp_wet.name,Expanded Pattern Encoding Terminal,拡張パターン符号化ターミナル
group.interface.name,ME Interface,MEインターフェース
group.mega_pattern_provider.name,ME MEGA Pattern Provider,MEメガパターンプロバイダー
group.mod_storage_bus.name,ME Mod Storage Bus,MEモッドストレージバス
group.oversize_interface.name,ME Oversize Interface,ME超大型インターフェース
group.pattern_provider.name,ME Pattern Provider,MEパターンプロバイダー
group.precise_storage_bus.name,ME Precise Storage Bus,ME精密ストレージバス
group.storage_bus.name,ME Storage Bus,MEストレージバス
group.tag_storage_bus.name,ME Tagged Storage Bus,MEタグストレージバス
group.wireless_exp_pattern_encoding_terminal.name,Wireless Expanded Pattern Encoding Terminal,ワイヤレス拡張パターン符号化ターミナル
gui.expandedae.blocking_mode.all,Blocks if target contains anything,ターゲットに何か含まれていればブロック
gui.expandedae.blocking_mode.default,Default blocking mode,デフォルトブロックモード
gui.expandedae.blocking_mode.smart,Allows same pattern to be pushed,同じパターンをプッシュ可能にする
gui.expandedae.buttons.pattern.div,§c÷%d§f,
gui.expandedae.buttons.pattern.mult,§bx%d§f,
gui.expandedae.buttons.tooltips.pattern.div,Divides contents by §b%d§f,内容を§b%d§fで分割
gui.expandedae.buttons.tooltips.pattern.mult,Multiplies contents by §c%d§f,内容を§c%d§fで乗算
gui.expandedae.exp_drive,ME Expanded Drive,ME拡張ドライブ
gui.expandedae.exp_io_port,ME Expanded IO Port,ME拡張IOポート
gui.expandedae.exp_pattern_provider,Expanded Pattern Provider,拡張パターンプロバイダー
gui.expandedae.filter_terminal,Filter Terminal,フィルターターミナル
gui.tooltips.expandedae.arrow,Advanced Encoding,高度な符号化
gui.tooltips.expandedae.arrowHint,Click to toggle advanced encoding,高度な符号化を切り替えるにはクリック
gui.tooltips.expandedae.modifyPatterns,Modify Patterns,パターンを修正
gui.tooltips.expandedae.modifyPatternsHint,"Left click to multiply, right click to divide 
Multipliers: Shift 2x, Ctrl 8x","左クリックで乗算、右クリックで除算
乗数: Shift 2倍、Ctrl 8倍"
info.expandedae.useless,This is currently disabled,これは現在無効です
item.expandedae.advanced_blocking_card.tooltip.1,Exposes the entire networks contents when placed in an interface,インターフェースに配置するとネットワーク全体の内容を公開
item.expandedae.auto_complete_card,Auto Complete Card,自動完了カード
item.expandedae.auto_complete_card.tooltip.1,Automatically completes the crafting job,クラフティング作業を自動的に完了
item.expandedae.auto_complete_card.tooltip.2,Note: This only works for single requests,注意: これは単一リクエストでのみ機能します
item.expandedae.exp_encoding_terminal,Expanded Pattern Encoding Terminal,拡張パターン符号化ターミナル
item.expandedae.exp_pattern_provider_part,Expanded Pattern Provider,拡張パターンプロバイダー
item.expandedae.exp_pattern_provider_upgrade,Expanded Pattern Provider Upgrade,拡張パターンプロバイダーアップグレード
item.expandedae.greater_accel_card,Greater Acceleration Card,高度なアクセラレーションカード
item.expandedae.greater_accel_card.tooltip.1,Even greater acceleration,さらに優れたアクセラレーション
item.expandedae.greater_accel_card.tooltip.2,Note: Very power hungry!,注意: 非常に電力消費が多い！
item.expandedae.pattern_refiller_card,Pattern Refiller Card,パターン詰め替えカード
item.expandedae.pattern_refiller_card.tooltip.1,Automatically refills the blank patterns,空白パターンを自動的に詰め替え
item.expandedae.upgrade.tooltip,Upgrade %s,%sをアップグレード
item.expandedae.wireless_exp_encoding_terminal,Wireless Expanded Pattern Encoding Terminal,ワイヤレス拡張パターン符号化ターミナル
itemGroup.eae,Expanded AE,拡張AE
