key,source_text,target_text
ftbchunks,FTB Chunks,
ftbchunks.action_prevented,Interaction prevented here by claim protection!,ここではクレーム保護によってインタラクションが阻止されました！
ftbchunks.advanced,Advanced Settings,詳細設定
ftbchunks.advanced.debug_info,Debug info,デバッグ情報
ftbchunks.advanced.memory,Memory Usage,メモリ使用量
ftbchunks.advanced.memory.autorelease_on_map_close,Autorelease regions on map close,マップ閉鎖時にリージョンを自動リリース
ftbchunks.advanced.memory.autorelease_on_map_close.tooltip,"When the large map is closed, auto-release region data down to this number.
Smaller values mean less memory usage, but more disk access as released regions are reloaded
Set to 0 to disable releasing of region data.","大型マップが閉じるとき、リージョンデータを自動的にこの数までリリースします。
値が小さいほどメモリ使用量は少なくなりますが、リリースされたリージョンが再ロードされるため、ディスクアクセスが増加します
リージョンデータのリリースを無効にするには0に設定してください。"
ftbchunks.advanced.memory.max_zoom_constraint,Constrain map zoom-out,マップズームアウトを制限
ftbchunks.advanced.memory.max_zoom_constraint.tooltip,"When true, max map zoom-out is limited by the number of explored regions and amount of available memory.
If this is bothersome, set this to false.","真に設定した場合、最大マップズームアウトは探索済みリージョン数と利用可能メモリ量で制限されます。
これが煩わしい場合は、これを偽に設定してください。"
ftbchunks.advanced.memory.region_release_time,Idle region release timeout,アイドルリージョンリリースタイムアウト
ftbchunks.advanced.memory.region_release_time.tooltip,"Timeout in seconds to release data for 512x512 regions which haven't been accessed recently
Smaller values mean less memory usage, but more disk access as released regions are reloaded
Set to 0 to disable releasing of region data.","最近アクセスされていない512x512リージョンのデータをリリースするまでの秒数でのタイムアウト
値が小さいほどメモリ使用量は少なくなりますが、リリースされたリージョンが再ロードされるため、ディスクアクセスが増加します
リージョンデータのリリースを無効にするには0に設定してください。"
ftbchunks.ally_mode,Allow Player to Change Ally Settings,プレイヤーが同盟設定を変更することを許可
ftbchunks.ally_mode.default,Default,デフォルト
ftbchunks.ally_mode.forced_all,Forced All,すべて強制
ftbchunks.ally_mode.forced_none,Forced None,なし強制
ftbchunks.ally_mode.tooltip,"DEFAULT: FTB Teams ally status is checked to decide if players are allied
FORCED_ALL: all players are always considered to be allied
FORCED_NONE: no players are ever considered to be allied","デフォルト: FTBチームの同盟ステータスがチェックされてプレイヤーが同盟中かどうかが判定されます
すべて強制: すべてのプレイヤーは常に同盟中と見なされます
なし強制: プレイヤーは決して同盟中と見なされません"
ftbchunks.already_claimed,Chunk is already claimed by %s,チャンクはすでに%sによってクレームされています
ftbchunks.appearance,Appearance,外観
ftbchunks.appearance.biome_blend,Biome blend,バイオーム混合
ftbchunks.appearance.chunk_grid,Chunk grid,チャンクグリッド
ftbchunks.appearance.claimed_chunks_on_map,Show claimed chunks on map,マップにクレーム済みチャンクを表示
ftbchunks.appearance.map_mode,Map mode,マップモード
ftbchunks.appearance.noise,Noise,ノイズ
ftbchunks.appearance.only_surface_entities,Only surface entities,表面エンティティのみ
ftbchunks.appearance.own_claimed_chunks_on_map,Show your own claimed chunks on map,マップに自分のクレーム済みチャンクを表示
ftbchunks.appearance.reduced_color_palette,Reduced color palette,色の減色パレット
ftbchunks.appearance.saturation,Saturation,彩度
ftbchunks.appearance.shadows,Shadows,影
ftbchunks.appearance.water_height_factor,Water height factor,水高ファクター
ftbchunks.biome_blend.blend_11x11,Blend 11x11,ブレンド 11x11
ftbchunks.biome_blend.blend_13x13,Blend 13x13,ブレンド 13x13
ftbchunks.biome_blend.blend_15x15,Blend 15x15 (Slowest),ブレンド 15x15（最速度）
ftbchunks.biome_blend.blend_3x3,Blend 3x3,ブレンド 3x3
ftbchunks.biome_blend.blend_5x5,Blend 5x5,ブレンド 5x5
ftbchunks.biome_blend.blend_7x7,Blend 7x7,ブレンド 7x7
ftbchunks.biome_blend.blend_9x9,Blend 9x9,ブレンド 9x9
ftbchunks.biome_blend.none,None (Fastest),なし（最速）
ftbchunks.claim_result,Chunks modified: %d / %d,チャンク変更: %d / %d
ftbchunks.claim_result.already_claimed,Chunk already claimed,チャンクはすでにクレームされています
ftbchunks.claim_result.already_loaded,Chunk already loaded,チャンクはすでにロードされています
ftbchunks.claim_result.dimension_forbidden,Claiming forbidden in this dimension,このディメンションでのクレームが禁止されています
ftbchunks.claim_result.not_claimed,Chunk not claimed,チャンクはクレームされていません
ftbchunks.claim_result.not_enough_power,Chunk limit reached,チャンク制限に達しました
ftbchunks.claim_result.not_loaded,Chunk not loaded,チャンクがロードされていません
ftbchunks.claim_result.not_owner,Not the chunk owner,チャンク所有者ではありません
ftbchunks.claim_result.other,Unknown issues,不明な問題
ftbchunks.claiming,Chunk Claiming,チャンククレーム
ftbchunks.claiming.claim_dimension_blacklist,Dimension Blacklist,ディメンションブラックリスト
ftbchunks.claiming.claim_dimension_blacklist.tooltip,"Blacklist for dimension ID's where chunks may not be claimed.
E.g. add ""minecraft:the_end"" to this list if you want to disable chunk claiming in The End
Wildcards are allowed, e.g. ""othermod:*"" matches all dimensions added by ""othermod""","チャンクがクレームされないディメンションIDのブラックリスト。
たとえば、ジ・エンドでのチャンククレーミングを無効にしたい場合は、このリストに""minecraft:the_end""を追加します
ワイルドカードが許可されています。例：""othermod:*""は""othermod""によって追加されたすべてのディメンションと一致します"
ftbchunks.claiming.claim_dimension_whitelist,Dimension Whitelist,ディメンションホワイトリスト
ftbchunks.claiming.claim_dimension_whitelist.tooltip,"Whitelist for dimension ID's where chunks may be claimed. If non-empty, dimension *must* be in this list (and also not in ""Dimension Blacklist"".
Same syntax as for ""Dimension Blacklist""","チャンクがクレームされるディメンションIDのホワイトリスト。空でない場合、ディメンションはこのリストにある必要があります（および""ディメンションブラックリスト""にもない）。
""ディメンションブラックリスト""と同じ構文"
ftbchunks.claiming.hard_team_claim_limit,Hard Max Team Claim Limit,ハード最大チームクレーム制限
ftbchunks.claiming.hard_team_claim_limit.tooltip,"Hard claim limit for party teams, regardless of member count or Party Limit Calculation mode.
Default of 0 means no hard limit.","メンバー数またはパーティ制限計算モードに関係なく、パーティチームのハードクレーム制限。
デフォルトの0はハード制限がないことを意味します。"
ftbchunks.claiming.max_claimed_chunks,Max Claimed Chunks per Player,プレイヤーごとの最大クレーム数
ftbchunks.claiming.max_claimed_chunks.tooltip,This default can be overridden by the FTB Ranks 'ftbchunks.max_claimed` permission node.,この既定値はFTB Ranksの'ftbchunks.max_claimed`パーミッションノードでオーバーライドできます。
ftbchunks.claiming.max_idle_days_before_unclaim,Max Idle Days Before Unclaim,アンクレーム前の最大アイドル日数
ftbchunks.claiming.max_idle_days_before_unclaim.tooltip,"If no team member logs in for this many days, the team's claims will be released.
Setting this to 0 disables auto-unclaiming.","チームメンバーがこの日数の間ログインしない場合、チームのクレームがリリースされます。
これを0に設定すると、自動アンクレーミングが無効になります。"
ftbchunks.claiming.party_limit_mode,Party Limit Calculation Mode,パーティ制限計算モード
ftbchunks.claiming.party_limit_mode.tooltip,"Method by which party claim & force-load limits are calculated.
LARGEST: use the limits of the member with the largest limits
SUM: add up all the members' limits
OWNER: use the party owner's limits only
AVERAGE: use the average of all members' limits.","パーティクレーム＆強制ロード制限が計算される方法。
最大: 最も大きな制限を持つメンバーの制限を使用
合計: すべてのメンバーの制限を加算
所有者: パーティ所有者の制限のみを使用
平均: すべてのメンバーの制限の平均を使用"
ftbchunks.command.bypass_protection_disabled,Bypass Protection: Disabled,バイパス保護: 無効
ftbchunks.command.bypass_protection_enabled,Bypass Protection: Enabled,バイパス保護: 有効
ftbchunks.command.extra_chunks_claimed,%s has %d extra claimed chunks,%sは%d個の追加クレーム済みチャンクを持っています
ftbchunks.command.extra_forceload_chunks,%s has %d extra force loaded chunks,%sは%d個の追加強制ロード済みチャンクを持っています
ftbchunks.command.set_extra_chunks_claimed,Set Extra chunks claimed to %d for %s,%sの追加クレーム済みチャンク数を%dに設定
ftbchunks.command.set_extra_forceload_chunks,Set extra force loaded chunks to %d for %s,%sの追加強制ロード済みチャンク数を%dに設定
ftbchunks.command.view_loaded,Chunks Loaded: %d. Check the map to see loaded chunks,ロード済みチャンク: %d。マップをチェックしてロード済みチャンクを確認
ftbchunks.command.waypoint_added,Added waypoint '%s',ウェイポイント'%s'を追加しました
ftbchunks.commands.cant_determined,Can't determine chunk status,チャンクステータスを判定できません
