key,source_text,target_text,status
_comment,#Moon Phases,#Moon Phases,translated
jer.above.text,Above Y Level %s,Y Level %s より上,translated
jer.aboveLooting.text,Looting above %s,掠奪効果が %s 以上,translated
jer.affectedByLooting.text,Affected by Looting,掠奪効果の影響を受ける,translated
jer.any,Any,任意,translated
jer.beforeTime.text,Day time before %s,昼間の時間が %s より前,translated
jer.beforeWorldDifficulty.text,Before World Difficulty %s,ワールド難易度が %s より前,translated
jer.beforeWorldTime.text,World time before %s,ワールド時間が %s より前,translated
jer.beheading.text,Beheading increases chance,斬首がドロップ確率を上昇,translated
jer.below.text,Below Y Level %s,Y Level %s より下,translated
jer.belowLooting.text,Looting below %s,掠奪効果が %s 以下,translated
jer.beyond.text,Further than %sm from spawn,スポーン地点から %sm 以上離れている,translated
jer.burning.text,When on fire,炎上状態,translated
jer.config.dimensionsBlacklist.description,Blacklist dimensions from the JEI profiling scan,JEIプロファイリングスキャンからディメンションをブラックリストに追加,translated
jer.config.dimensionsBlacklist.title,Dimension Blacklist,ディメンションブラックリスト,translated
jer.config.diyData.description,The build in compat code will not load and jsons will be loaded (requires MC restart),ビルト イン互換性コードが読み込まれず、JSONが読み込まれます（MC再起動が必要）,translated
jer.config.diyData.title,Use DIY data in the views,ビューでDIYデータを使用する,translated
jer.config.enchantsBlacklist.description,Blacklist enchants from the JEI Enchants View,JEI エンチャントビューからエンチャントをブラックリストに追加,translated
jer.config.enchantsBlacklist.title,Enchants Blacklist,エンチャントブラックリスト,translated
jer.config.hiddenTabs.description,"Tabs added by JER are 'dungeon', 'enchantment', 'mob', 'villager', worldgen' and 'plant'",JERで追加されたタブは「ダンジョン」「エンチャント」「モブ」「村人」「ワールドジェン」「植物」です,translated
jer.config.hiddenTabs.title,Hide tabs added by JER,JERが追加したタブを非表示にする,translated
jer.config.itemsPerColumn.description,Changes the amount of items per column in the JEI dungeon and mob views,JEIのダンジョンとモブビューの列あたりのアイテム数を変更します,translated
jer.config.itemsPerColumn.title,Items Per Column,列あたりのアイテム数,translated
jer.config.itemsPerRow.description,Changes the amount of items per row in the JEI dungeon view,JEIのダンジョンビューの行あたりのアイテム数を変更します,translated
jer.config.itemsPerRow.title,Items Per Row,行あたりのアイテム数,translated
jer.config.showDevData.description,"Mainly for pack devs. Features include but not limited to avg. blocks per chuck, entity ids, ...",主にパックの開発者向け。チャンク当たりの平均ブロック数、エンティティIDなどを含む機能,translated
jer.config.showDevData.title,Show extra information,追加情報を表示,translated
jer.dim.all,All,すべて,translated
jer.dim.minecraft:overworld,Overworld,オーバーワールド,translated
jer.dim.minecraft:the_end,The End,ジ・エンド,translated
jer.dim.minecraft:the_nether,The Nether,ネザー,translated
jer.dim.no,No Valid Spawn Dimensions,有効なスポーンディメンションなし,translated
jer.dry.text,When not raining,雨が降っていないとき,translated
jer.dungeon.abandonedMineshaftChest,Mineshaft,廃坑,translated
jer.dungeon.bastion_bridge,Bastion Bridge,要塞ブリッジ,translated
jer.dungeon.bastion_hoglin_stable,Bastion Hoglin Stable,要塞ホグリン厩舎,translated
jer.dungeon.bastion_other,Bastion Other,その他の要塞,translated
jer.dungeon.bastion_treasure,Bastion Treasure,要塞トレジャー,translated
jer.dungeon.buried_treasure,Buried Treasure,埋もれた宝,translated
jer.dungeon.desertPyramidChest,Desert Temple,砂漠の神殿,translated
jer.dungeon.endCityTreasureChest,End City,エンドシティー,translated
jer.dungeon.iglooChest,Igloo,イグルー,translated
jer.dungeon.netherBridgeChest,Nether Fortress,ネザー要塞,translated
jer.dungeon.pillager_outpost,Pillager Outpost,ピリジャー前哨基地,translated
jer.dungeon.pyramidJungleChest,Jungle Temple,ジャングルの寺院,translated
jer.dungeon.ruined_portal,Ruined Portal,廃墟のポータル,translated
jer.dungeon.shipwreck_map,Shipwreck Map,沈没船マップ,translated
jer.dungeon.shipwreck_supply,Shipwreck Supply,沈没船補給品,translated
jer.dungeon.shipwreck_treasure,Shipwreck Treasure,沈没船トレジャー,translated
jer.dungeon.simpleDungeonChest,Dungeon,ダンジョン,translated
jer.dungeon.spawnBonusChest,Bonus,ボーナス,translated
jer.dungeon.strongholdCorridorChest,Stronghold Corridor,要塞 廊下,translated
jer.dungeon.strongholdCrossingChest,Stronghold Crossing,要塞 交差点,translated
jer.dungeon.strongholdLibraryChest,Stronghold Library,要塞 図書館,translated
jer.dungeon.title,Dungeon Chests,ダンジョンチェスト,translated
jer.dungeon.underwater_ruin_big,Big Underwater Ruin,大きな水中遺跡,translated
jer.dungeon.underwater_ruin_small,Small Underwater Ruin,小さな水中遺跡,translated
jer.dungeon.villageBlacksmithChest,Blacksmith,鍛冶屋,translated
jer.dungeon.village_armorer,Village Armorer,村 鎧職人,translated
jer.dungeon.village_butcher,Village Butcher,村 肉屋,translated
jer.dungeon.village_cartographer,Village Cartographer,村 地図職人,translated
jer.dungeon.village_desert_house,Village Desert House,村 砂漠の家,translated
jer.dungeon.village_fisher,Village Fisher,村 漁民,translated
jer.dungeon.village_fletcher,Village Fletcher,村 矢師,translated
jer.dungeon.village_mason,Village Mason,村 石工,translated
jer.dungeon.village_plains_house,Village Plains House,村 草原の家,translated
jer.dungeon.village_savanna_house,Village Savanna House,村 サバンナの家,translated
jer.dungeon.village_shepherd,Village Shepherd,村 羊飼い,translated
jer.dungeon.village_snowy_house,Village Snowy House,村 雪の家,translated
jer.dungeon.village_taiga_house,Village Taiga House,村 タイガの家,translated
jer.dungeon.village_tannery,Village Tannery,村 革なめし職人,translated
jer.dungeon.village_temple,Village Temple,村 寺院,translated
jer.dungeon.village_toolsmith,Village Toolsmith,村 道具職人,translated
jer.dungeon.village_weaponsmith,Village Weaponsmith,村 武器職人,translated
jer.dungeon.woodlandMansion,Woodland Mansion,森の館,translated
jer.enchantments.title,Enchantments,エンチャント,translated
jer.equipmentDrop.text,Dropped Equipment,落とされた装備,translated
jer.first_quarter.moon,First Quarter,上弦の月,translated
jer.full.moon,Full,満月,translated
jer.gameDifficulty.text,Difficulty %s,難易度 %s,translated
jer.hasNoPotion.text,When not affected by %s,%s の効果を受けていないとき,translated
jer.hasPotion.text,When affected by %s,%s の効果を受けているとき,translated
jer.inBiome.text,In Biome %s,バイオーム %s に在るとき,translated
jer.inDimension.text,In Dimension %s,ディメンション %s に在るとき,translated
jer.killedBy.text,When killed by %s,%s に殺されたとき,translated
jer.kingSlime.text,King Slimes only,キングスライムのみ,translated
jer.lightLevel,Light Level,光レベル,translated
jer.magmaCream.text,Small and Large Magma Cubes,小と大のマグマキューブ,translated
jer.mob.biome,Spawn Biomes: Hover mouse here,スポーン バイオーム: ここにマウスを合わせる,translated
jer.mob.exp,Experience Dropped,ドロップされた経験値,translated
jer.mob.spawn,Spawn Biome:,スポーン バイオーム:,translated
jer.mob.title,Mob Drops,モブドロップ,translated
jer.moonPhase.text,During %s Moon,%s ムーン中,translated
jer.nearer.text,Closer than %sm from spawn,スポーン地点から %sm 以内,translated
jer.new.moon,New,新月,translated
jer.not,Not,～しない,translated
jer.notBurning.text,When not on fire,炎上していないとき,translated
jer.notGameDifficulty.text,Difficulty not %s,難易度が %s ではないとき,translated
jer.notInBiome.text,Not in Biome %s,バイオーム %s にいないとき,translated
jer.notInDimension.text,Not in Dimension %s,ディメンション %s にいないとき,translated
jer.notKilledBy.text,When not killed by %s,%s に殺されていないとき,translated
jer.notMoonPhase.text,Out of %s Moon,%s ムーン以外,translated
jer.notOnBlock.text,Not on %s,%s の上にいないとき,translated
jer.notPlayerKill.text,Not killed by a Player,プレイヤーに殺されていない,translated
jer.notThundering.text,When not storming,嵐が降っていないとき,translated
jer.notWet.text,When not wet,濡れていないとき,translated
jer.of,of,の,translated
jer.onBlock.text,On %s,%s の上に在る,translated
jer.page,Page,ページ,translated
jer.pastTime.text,Day time past %s,昼間の時間が %s を超えている,translated
jer.pastWorldDifficulty.text,Past World Difficulty %s,ワールド難易度が %s を超えている,translated
jer.pastWorldTime.text,World time past %s,ワールド時間が %s を超えている,translated
jer.plant.title,Plant Drops,植物ドロップ,translated
jer.playerKill.text,Killed by a Player,プレイヤーに殺された,translated
jer.playerOffline.text,When Player %s offline,プレイヤー %s がオフラインのとき,translated
jer.playerOnline.text,When Player %s online,プレイヤー %s がオンラインのとき,translated
jer.powered.text,When powered,給電されているとき,translated
jer.raining.text,When raining,雨が降っているとき,translated
