key,source_text,target_text
advancements.bakuretsu.description,La la la,ラ　ラ　ラ～
advancements.bakuretsu.title,"Bakuretsu, Bakuretsu..",爆裂、爆裂..
advancements.beam.description,Fire off a beam from the Mystic Staff of Explosive Mana Condensation,魔力爆発の杖でビームを射出した
advancements.beam.title,BEEEEEEEEEEEEEAM,ビィィィィィィィィィィム
advancements.boogie_woogie.description,Swap with one of your friends,友達の一人とスワップしてください
advancements.boogie_woogie.title,Boogie Woogie,ブギウギ
advancements.breadcrumbs.description,Killed your first villager with Morgan.,モルガンで初めて村人を殺した
advancements.breadcrumbs.title,How many breads have you eaten in your life?,今までいくつのパンを食べましたか？
advancements.butterfly_effect.description,Make use of the Butterfly Effect,バタフライ・エフェクトを使用した
advancements.butterfly_effect.title,In the court of the Crimson King...,クリムゾン・キングの宮殿にて・・・
advancements.clarent.description,Acquired Clarent.,クラレントを手に入れた
advancements.clarent.title,Young Warlock...,若き魔術師よ・・・
advancements.emrys.description,Someone just got electrocuted,電撃攻撃をくらわせた
advancements.emrys.title,Thou art more near thy death than I am,汝は我よりも死に近し
advancements.flying_pigs.description,Use the Staff of Spatial Disorientation on a pig you're riding to achieve flight.,空間操作の杖を使って豚に乗りながら空を飛んだ。
advancements.flying_pigs.title,When Pigs Fly!,豚も飛ぶときだ!
advancements.gandr.description,Kill something with Gandr,ガンドで何かしらを殺した
advancements.gandr.title,People Die if They are Killed,人は殺されると死ぬ
advancements.greater_grail.description,"Watch out for this guy, he's nuts.",こいつは危険だ、目を離すな！
advancements.greater_grail.title,Activate a Greater Grail!,大聖杯の起動
advancements.kodoku.description,Successfully made use of Kodoku for sympathetic magic.,蠱毒による類感呪術を成功させた
advancements.kodoku.title,Worms and Voodoo,蟲と呪い
advancements.lesser_grail.description,"You call that evil? Weak, weak.",それを危ないって言ってるの？まだまだ！
advancements.lesser_grail.title,Activate a Lesser Grail!,小聖杯の起動
advancements.mahoutsukai.description,You literally drew a circle on the floor. You're qualified.,初めて魔法陣を描いた。見込みありだ！
advancements.mahoutsukai.title,Become a Mahou Tsukai!,見習い魔法使い
advancements.morgan.description,You monster...,怪物め・・・
advancements.morgan.title,I reject my humanity!,もう人じゃなくなってもいい！
advancements.nobu.description,Try not to lose your head...,頭を失わないようにしてください...
advancements.nobu.title,Demon King of the Sixth Heaven,第六天魔王
advancements.replica.description,Why even use a shield at this point?,この時点でシールドを使う意味がありますか？
advancements.replica.title,"I Didn't Want to Get Hurt, so I Maxed Out My Defense",傷つくのが嫌なので防御力を極限まで高めました
advancements.secret_calibur.description,All other Sabers must die!,他のすべてのセイバーは死ぬ必要があります！
advancements.secret_calibur.title,Secret Calibur,秘剣シャルプール
advancements.sword_in_the_lake.description,Acquire a new sword by throwing yours into a lake. The Lady must be on vacation.,剣を湖に投げ入れて新しい剣をゲットした。女神はお休みかな。
advancements.sword_in_the_lake.title,The Sword in the... Lake?,湖中の...剣？
advancements.treasury_projection.description,Fired some weapons from the Treasury Projection Gauntlet,王の財宝のガントレットで武器を射出した
advancements.treasury_projection.title,Zasshu,ズシャァッ！
biome.mahoutsukai.marble,Reality Marble,現実の大理石
block.mahoutsukai.black_fire,Black Fire,黒炎
block.mahoutsukai.fog_projector,Fog Projector,霧プロジェクター
block.mahoutsukai.invisible_barrier_block,Invisible Barrier,透明防壁
block.mahoutsukai.mahoujin,Mahoujin,魔法陣
block.mahoutsukai.mahoujin_alarm_barrier,Alarm Boundary,感知結界
block.mahoutsukai.mahoujin_alchemical_exchange,Alchemical Exchange,錬金変換
block.mahoutsukai.mahoujin_ascension,Ascension,上方転移
block.mahoutsukai.mahoujin_black_flame,Mystic Eyes of the Black Flame,黒炎の魔眼
block.mahoutsukai.mahoujin_borrowed_authority,Borrowed Authority,神の権威
block.mahoutsukai.mahoujin_butterfly_effect,Butterfly Effect,バラフライ・エフェクト
block.mahoutsukai.mahoujin_catalyst_exchange,Catalyst Exchange,触媒変換
block.mahoutsukai.mahoujin_chronal_exchange,Chronal Exchange,時刻変換
block.mahoutsukai.mahoujin_contract,Contract,契約
block.mahoutsukai.mahoujin_cup_of_heaven,Cup Of Heaven,天の杯
block.mahoutsukai.mahoujin_damage_exchange,Damage Exchange,ダメージ変換
block.mahoutsukai.mahoujin_damage_replication,Shared Pain,痛覚共有
block.mahoutsukai.mahoujin_death_collection,Death Collection,転死の魔眼
block.mahoutsukai.mahoujin_displacement_barrier,Displacement Boundary,転移結界
block.mahoutsukai.mahoujin_drain_life_barrier,Boundary of Drain Life,生命吸収結界
block.mahoutsukai.mahoujin_durability_exchange,Durability Exchange,耐久変換
block.mahoutsukai.mahoujin_equivalent_displacement,Equivalent Displacement,等価転移
block.mahoutsukai.mahoujin_fallen_down,Fallen Down,転倒
block.mahoutsukai.mahoujin_familiars_garden,Familiars Garden,使い魔の楽園
block.mahoutsukai.mahoujin_fay_sight,Fay Sight,妖精の魔眼
block.mahoutsukai.mahoujin_gandr,Gandr,ガンド
block.mahoutsukai.mahoujin_geas,Geas,ギアス
block.mahoutsukai.mahoujin_gravity_barrier,Gravity Boundary,重力結界
block.mahoutsukai.mahoujin_immunity_exchange,Immunity Exchange,免疫変換
