key,source_text,target_text
block.modularrouters.modular_router,Modular Router,モジュラールーター
block.modularrouters.modular_router,Modular Router,モジュラールーター
block.modularrouters.modular_router,Modular Router,モジュラールーター
block.modularrouters.template_frame,Template Frame,テンプレートフレーム
block.modularrouters.template_frame,Template Frame,テンプレートフレーム
block.modularrouters.template_frame,Template Frame,テンプレートフレーム
config.jade.plugin_modularrouters.router,Modular Router,モジュラールーター
config.jade.plugin_modularrouters.router,Modular Router,モジュラールーター
config.jade.plugin_modularrouters.router,Modular Router,モジュラールーター
item.modularrouters.activator_module,Activator Module,アクティベーターモジュール
item.modularrouters.activator_module,Activator Module,アクティベーターモジュール
item.modularrouters.activator_module,Activator Module,アクティベーターモジュール
item.modularrouters.augment_core,Augment Core,オーグメントコア
item.modularrouters.augment_core,Augment Core,オーグメントコア
item.modularrouters.augment_core,Augment Core,オーグメントコア
item.modularrouters.blank_module,Blank Module,空白モジュール
item.modularrouters.blank_module,Blank Module,空白モジュール
item.modularrouters.blank_module,Blank Module,空白モジュール
item.modularrouters.blank_upgrade,Blank Upgrade,空白アップグレード
item.modularrouters.blank_upgrade,Blank Upgrade,空白アップグレード
item.modularrouters.blank_upgrade,Blank Upgrade,空白アップグレード
item.modularrouters.blast_upgrade,Blast Upgrade,耐爆アップグレード
item.modularrouters.blast_upgrade,Blast Upgrade,耐爆アップグレード
item.modularrouters.blast_upgrade,Blast Upgrade,耐爆アップグレード
item.modularrouters.breaker_module,Breaker Module,破壊モジュール
item.modularrouters.breaker_module,Breaker Module,破壊モジュール
item.modularrouters.breaker_module,Breaker Module,破壊モジュール
item.modularrouters.bulk_item_filter,Bulk Item Filter,一括アイテムフィルター
item.modularrouters.bulk_item_filter,Bulk Item Filter,一括アイテムフィルター
item.modularrouters.bulk_item_filter,Bulk Item Filter,一括アイテムフィルター
item.modularrouters.camouflage_upgrade,Camouflage Upgrade,偽装アップグレード
item.modularrouters.camouflage_upgrade,Camouflage Upgrade,偽装アップグレード
item.modularrouters.camouflage_upgrade,Camouflage Upgrade,偽装アップグレード
item.modularrouters.creative_module,Creative Module,クリエイティブモジュール
item.modularrouters.creative_module,Creative Module,クリエイティブモジュール
item.modularrouters.creative_module,Creative Module,クリエイティブモジュール
item.modularrouters.detector_module,Detector Module,検出モジュール
item.modularrouters.detector_module,Detector Module,検出モジュール
item.modularrouters.detector_module,Detector Module,検出モジュール
item.modularrouters.distributor_module,Distributor Module,分配モジュール
