key,source_text,target_text
block.pamhc2crops.aridgarden,Arid Garden,乾燥した庭
block.pamhc2crops.frostgarden,Frost Garden,霜の庭
block.pamhc2crops.pamagavecrop,Agave Crop,リュウゼツラン作物
block.pamhc2crops.pamalfalfacrop,Alfalfa Crop,アルファルファ作物
block.pamhc2crops.pamaloecrop,Aloe Crop,アロエ作物
block.pamhc2crops.pamamaranthcrop,Amaranth Crop,アマランス作物
block.pamhc2crops.pamarrowrootcrop,Arrowroot Crop,ワサビノキ作物
block.pamhc2crops.pamartichokecrop,Artichoke Crop,アーティチョーク作物
block.pamhc2crops.pamasparaguscrop,Asparagus Crop,アスパラガス作物
block.pamhc2crops.pambarleycrop,Barley Crop,大麦作物
block.pamhc2crops.pambarrelcactuscrop,Barrel Cactus Crop,樽サボテン作物
block.pamhc2crops.pambeancrop,Bean Crop,豆作物
block.pamhc2crops.pambellpeppercrop,Bellpepper Crop,パプリカ作物
block.pamhc2crops.pamblackberrycrop,Blackberry Crop,ブラックベリー作物
block.pamhc2crops.pamblueberrycrop,Blueberry Crop,ブルーベリー作物
block.pamhc2crops.pambokchoycrop,Bok Choy Crop,チンゲン菜作物
block.pamhc2crops.pambroccolicrop,Broccoli Crop,ブロッコリー作物
block.pamhc2crops.pambrusselsproutcrop,Brusselsprout Crop,ブリュッセルスプラウト作物
block.pamhc2crops.pamcabbagecrop,Cabbage Crop,キャベツ作物
block.pamhc2crops.pamcactusfruitcrop,Cactusfruit Crop,ウチワサボテンの実作物
block.pamhc2crops.pamcalabashcrop,Calabash Crop,ヒョウタン作物
block.pamhc2crops.pamcandleberrycrop,Candleberry Crop,キャンドルベリー作物
block.pamhc2crops.pamcanolacrop,Canola Crop,キャノーラ作物
block.pamhc2crops.pamcantaloupecrop,Cantaloupe Crop,メロン作物
block.pamhc2crops.pamcassavacrop,Cassava Crop,キャッサバ作物
block.pamhc2crops.pamcattailcrop,Cattail Crop,ガマ作物
block.pamhc2crops.pamcauliflowercrop,Cauliflower Crop,カリフラワー作物
block.pamhc2crops.pamcelerycrop,Celery Crop,セロリ作物
block.pamhc2crops.pamchiacrop,Chia Crop,チア作物
block.pamhc2crops.pamchickpeacrop,Chickpea Crop,ヒヨコ豆作物
block.pamhc2crops.pamchilipeppercrop,Chilipepper Crop,唐辛子作物
block.pamhc2crops.pamcloudberrycrop,Cloudberry Crop,ホロムイイチゴ作物
block.pamhc2crops.pamcoffeebeancrop,Coffeebean Crop,コーヒー豆作物
block.pamhc2crops.pamcorncrop,Corn Crop,トウモロコシ作物
block.pamhc2crops.pamcottoncrop,Cotton Crop,綿作物
block.pamhc2crops.pamcranberrycrop,Cranberry Crop,クランベリー作物
block.pamhc2crops.pamcucumbercrop,Cucumber Crop,キュウリ作物
block.pamhc2crops.pameggplantcrop,Eggplant Crop,ナス作物
block.pamhc2crops.pamelderberrycrop,Elderberry Crop,セイヨウニワトコ作物
block.pamhc2crops.pamflaxcrop,Flax Crop,亜麻作物
block.pamhc2crops.pamgarliccrop,Garlic Crop,ニンニク作物
block.pamhc2crops.pamgingercrop,Ginger Crop,ショウガ作物
block.pamhc2crops.pamgrapecrop,Grape Crop,ブドウ作物
block.pamhc2crops.pamgreengrapecrop,Greengrape Crop,青ブドウ作物
block.pamhc2crops.pamguaranacrop,Guarana Crop,ガラナ作物
block.pamhc2crops.pamhuckleberrycrop,Huckleberry Crop,ハックルベリー作物
block.pamhc2crops.pamjicamacrop,Jicama Crop,ヤムイモ作物
block.pamhc2crops.pamjuniperberrycrop,Juniperberry Crop,ジュニパーベリー作物
block.pamhc2crops.pamjutecrop,Jute Crop,ジュート作物
block.pamhc2crops.pamkalecrop,Kale Crop,ケール作物
block.pamhc2crops.pamkenafcrop,Kenaf Crop,ケナフ作物
block.pamhc2crops.pamkiwicrop,Kiwi Crop,キウイフルーツ作物
block.pamhc2crops.pamkohlrabicrop,Kohlrabi Crop,コールラビー作物
block.pamhc2crops.pamleekcrop,Leek Crop,ネギ作物
block.pamhc2crops.pamlentilcrop,Lentil Crop,レンズ豆作物
block.pamhc2crops.pamlettucecrop,Lettuce Crop,レタス作物
block.pamhc2crops.pamlotuscrop,Lotus Crop,蓮作物
block.pamhc2crops.pammilletcrop,Millet Crop,キビ作物
block.pamhc2crops.pammulberrycrop,Mulberry Crop,クワノミ作物
block.pamhc2crops.pammustardseedscrop,Mustard Seeds Crop,からし種作物
block.pamhc2crops.pamnettlescrop,Nettles Crop,イラクサ作物
block.pamhc2crops.pamnopalescrop,Nopales Crop,ウチワサボテン作物
block.pamhc2crops.pamoatscrop,Oats Crop,燕麦作物
block.pamhc2crops.pamokracrop,Okra Crop,オクラ作物
block.pamhc2crops.pamonioncrop,Onion Crop,タマネギ作物
block.pamhc2crops.pampapyruscrop,Papyrus Crop,パピルス作物
block.pamhc2crops.pamparsnipcrop,Parsnip Crop,パースニップ作物
block.pamhc2crops.pampeanutcrop,Peanut Crop,ピーナッツ作物
block.pamhc2crops.pampeascrop,Peas Crop,エンドウ豆作物
block.pamhc2crops.pampineapplecrop,Pineapple Crop,パイナップル作物
block.pamhc2crops.pamquinoacrop,Quinoa Crop,キノア作物
block.pamhc2crops.pamradishcrop,Radish Crop,ダイコン作物
block.pamhc2crops.pamraspberrycrop,Raspberry Crop,ラズベリー作物
block.pamhc2crops.pamrhubarbcrop,Rhubarb Crop,ルバーブ作物
block.pamhc2crops.pamricecrop,Rice Crop,米作物
block.pamhc2crops.pamrutabagacrop,Rutabaga Crop,ルタバガ作物
block.pamhc2crops.pamryecrop,Rye Crop,ライ麦作物
block.pamhc2crops.pamscallioncrop,Scallion Crop,ネギ作物
block.pamhc2crops.pamsesameseedscrop,Sesame Seeds Crop,ゴマ作物
block.pamhc2crops.pamsisalcrop,Sisal Crop,シサル麻作物
block.pamhc2crops.pamsorghumcrop,Sorghum Crop,ソルガム作物
block.pamhc2crops.pamsoybeancrop,Soybean Crop,大豆作物
