key,source_text,target_text
item.pamhc2foodcore.appledonutitem,Apple Donut,リンゴdonut
item.pamhc2foodcore.applejellyitem,Apple Jelly,リンゴjelly
item.pamhc2foodcore.applejellytoastitem,Apple Jelly Toast,リンゴjellytoast
item.pamhc2foodcore.applejuiceitem,Apple Juice,リンゴjuice
item.pamhc2foodcore.applemuffinitem,Apple Muffin,リンゴmuffin
item.pamhc2foodcore.applepieitem,Apple Pie,リンゴpie
item.pamhc2foodcore.applepopsicleitem,Apple Popsicle,リンゴpopsicle
item.pamhc2foodcore.applesauceitem,Applesauce,リンゴsauce
item.pamhc2foodcore.applesmoothieitem,Apple Smoothie,リンゴsmoothie
item.pamhc2foodcore.appleyogurtitem,Apple Yogurt,リンゴyogurt
item.pamhc2foodcore.baconandeggsitem,Bacon and Eggs,ベーコンandeggs
item.pamhc2foodcore.baconcheeseburgeritem,Bacon Cheeseburger,ベーコンcheeseburger
item.pamhc2foodcore.bakedvegetablemedlyitem,Baked Vegetable Medly,焼いたvegetablemedly
item.pamhc2foodcore.bakewareitem,Bakeware,焼き物用器具
item.pamhc2foodcore.basiccheeseburgeritem,Basic Cheeseburger,basiccheeseバーガー
item.pamhc2foodcore.basicchickensandwichitem,Basic Chicken Sandwich,basicchickensとwich
item.pamhc2foodcore.basicfishsandwichitem,Basic Fish Sandwich,basicfishsとwich
item.pamhc2foodcore.basichamburgeritem,Basic Hamburger,basichamバーガー
item.pamhc2foodcore.basicmuttonsandwichitem,Basic Mutton Sandwich,basicmuttonsとwich
item.pamhc2foodcore.basicporksandwichitem,Basic Pork Sandwich,basicporksとwich
item.pamhc2foodcore.basicrabbitsandwichitem,Basic Rabbit Sandwich,basicrabbitsとwich
item.pamhc2foodcore.basicveggieburgeritem,Basic Veggie Burger,basicveggieバーガー
item.pamhc2foodcore.batteritem,Batter,生地
item.pamhc2foodcore.beefjerkyitem,Beef Jerky,牛肉jerky
item.pamhc2foodcore.beefnoodlesoupitem,Beef Noodle Soup,牛肉noodlesoup
item.pamhc2foodcore.beefpotpieitem,Beef Pot Pie,牛肉potpie
item.pamhc2foodcore.boiledeggitem,Boiled Egg,ゆでたegg
item.pamhc2foodcore.butteredbakedpotatoitem,Buttered Baked Potato,buttered焼いたpotato
item.pamhc2foodcore.butteritem,Butter,バター
item.pamhc2foodcore.caramelappleitem,Caramel Apple,caramelリンゴ
item.pamhc2foodcore.carameldonutitem,Caramel Donut,キャラメルdonut
item.pamhc2foodcore.caramelicecreamitem,Caramel Ice Cream,キャラメルicecream
item.pamhc2foodcore.caramelitem,Caramel,キャラメル
item.pamhc2foodcore.caramelmuffinitem,Caramel Muffin,キャラメルmuffin
item.pamhc2foodcore.caramelpieitem,Caramel Pie,キャラメルpie
