key,source_text,target_text
block.pamhc2trees.acorn_sapling,Acorn Sapling,樫の実の苗木
block.pamhc2trees.almond_sapling,Almond Sapling,アーモンドの苗木
block.pamhc2trees.apple_sapling,Apple Sapling,りんごの苗木
block.pamhc2trees.apricot_sapling,Apricot Sapling,あんずの苗木
block.pamhc2trees.avocado_sapling,Avocado Sapling,アボカドの苗木
block.pamhc2trees.banana_sapling,Banana Sapling,バナナの苗木
block.pamhc2trees.breadfruit_sapling,Breadfruit Sapling,パンの木の苗木
block.pamhc2trees.candlenut_sapling,Candlenut Sapling,キャンドルナッツの苗木
block.pamhc2trees.cashew_sapling,Cashew Sapling,カシューの苗木
block.pamhc2trees.cherry_sapling,Cherry Sapling,さくらんぼの苗木
block.pamhc2trees.chestnut_sapling,Chestnut Sapling,栗の苗木
block.pamhc2trees.cinnamon_sapling,Cinnamon Sapling ,シナモンの苗木
block.pamhc2trees.coconut_sapling,Coconut Sapling,ココナッツの苗木
block.pamhc2trees.date_sapling,Date Sapling,ナツメヤシの苗木
block.pamhc2trees.dragonfruit_sapling,Dragonfruit Sapling,ドラゴンフルーツの苗木
block.pamhc2trees.durian_sapling,Durian Sapling,ドリアンの苗木
block.pamhc2trees.fig_sapling,Fig Sapling,イチジクの苗木
block.pamhc2trees.gooseberry_sapling,Gooseberry Sapling,グースベリーの苗木
block.pamhc2trees.grapefruit_sapling,Grapefruit Sapling,グレープフルーツの苗木
block.pamhc2trees.guava_sapling,Guava Sapling,グアバの苗木
block.pamhc2trees.hazelnut_sapling,Hazelnut Sapling,ヘーゼルナッツの苗木
block.pamhc2trees.jackfruit_sapling,Jackfruit Sapling,ジャックフルーツの苗木
block.pamhc2trees.lemon_sapling,Lemon Sapling,レモンの苗木
block.pamhc2trees.lime_sapling,Lime Sapling,ライムの苗木
block.pamhc2trees.lychee_sapling,Lychee Sapling,ライチの苗木
block.pamhc2trees.mango_sapling,Mango Sapling,マンゴーの苗木
block.pamhc2trees.maple_sapling,Maple Sapling ,メープルの苗木
block.pamhc2trees.nutmeg_sapling,Nutmeg Sapling,ナツメグの苗木
block.pamhc2trees.olive_sapling,Olive Sapling,オリーブの苗木
block.pamhc2trees.orange_sapling,Orange Sapling,オレンジの苗木
block.pamhc2trees.pamacorn,Acorn Fruit,樫の実
block.pamhc2trees.pamalmond,Almond Fruit,アーモンド
block.pamhc2trees.pamapple,Apple Fruit,りんご
block.pamhc2trees.pamapricot,Apricot Fruit,あんず
block.pamhc2trees.pamavocado,Avocado Fruit,アボカド
block.pamhc2trees.pambanana,Banana Fruit,バナナ
block.pamhc2trees.pambreadfruit,Breadfruit Fruit,パンの木の実
block.pamhc2trees.pamcandlenut,Candlenut Fruit,キャンドルナッツ
block.pamhc2trees.pamcashew,Cashew Fruit,カシュー
block.pamhc2trees.pamcherry,Cherry Fruit,さくらんぼ
block.pamhc2trees.pamchestnut,Chestnut Fruit,栗
block.pamhc2trees.pamcinnamon,Cinnamon Fruit Log,シナモン
block.pamhc2trees.pamcoconut,Coconut Fruit,ココナッツ
block.pamhc2trees.pamdate,Date Fruit,ナツメヤシ
block.pamhc2trees.pamdragonfruit,Dragonfruit Fruit,ドラゴンフルーツの実
block.pamhc2trees.pamdurian,Durian Fruit,ドリアン
block.pamhc2trees.pamfig,Fig Fruit,イチジク
block.pamhc2trees.pamgooseberry,Gooseberry Fruit,グースベリー
block.pamhc2trees.pamgrapefruit,Grapefruit Fruit,グレープフルーツの実
block.pamhc2trees.pamguava,Guava Fruit,グアバ
block.pamhc2trees.pamhazelnut,Hazelnut Fruit,ヘーゼルナッツ
block.pamhc2trees.pamjackfruit,Jackfruit Fruit,ジャックフルーツの実
block.pamhc2trees.pamlemon,Lemon Fruit,レモン
block.pamhc2trees.pamlime,Lime Fruit,ライム
block.pamhc2trees.pamlychee,Lychee Fruit,ライチ
block.pamhc2trees.pammango,Mango Fruit,マンゴー
block.pamhc2trees.pammaple,Maple Fruit Log,メープル
block.pamhc2trees.pamnutmeg,Nutmeg Fruit,ナツメグ
block.pamhc2trees.pamolive,Olive Fruit,オリーブ
block.pamhc2trees.pamorange,Orange Fruit,オレンジ
block.pamhc2trees.pampapaya,Papaya Fruit,パパイヤ
block.pamhc2trees.pampaperbark,Paperbark Fruit Log,ペーパーバーク
block.pamhc2trees.pampassionfruit,Passionfruit Fruit,パッションフルーツの実
block.pamhc2trees.pampawpaw,Pawpaw Fruit,ポーポー
block.pamhc2trees.pampeach,Peach Fruit,モモ
block.pamhc2trees.pampear,Pear Fruit,なし
block.pamhc2trees.pampecan,Pecan Fruit,ペカン
block.pamhc2trees.pampeppercorn,Peppercorn Fruit,ペッパーコーン
block.pamhc2trees.pampersimmon,Persimmon Fruit,柿
block.pamhc2trees.pampinenut,Pinenut Fruit,松の実の実
block.pamhc2trees.pampistachio,Pistachio Fruit,ピスタチオ
block.pamhc2trees.pamplum,Plum Fruit,プラム
block.pamhc2trees.pampomegranate,Pomegranate Fruit,ザクロ
block.pamhc2trees.pamrambutan,Rambutan Fruit,ラマタン
block.pamhc2trees.pamsoursop,Soursop Fruit,サワーソップ
block.pamhc2trees.pamspiderweb,Spiderweb Fruit,スパイダーウェブの実
block.pamhc2trees.pamstarfruit,Starfruit Fruit,スターフルーツの実
block.pamhc2trees.pamtamarind,Tamarind Fruit,タマリンド
block.pamhc2trees.pamvanillabean,Vanillabean Fruit,バニラビーンの実
block.pamhc2trees.pamwalnut,Walnut Fruit,くるみ
block.pamhc2trees.papaya_sapling,Papaya Sapling,パパイヤの苗木
block.pamhc2trees.paperbark_sapling,Paperbark Sapling ,ペーパーバーク
block.pamhc2trees.passionfruit_sapling,Passionfruit Sapling,パッションフルーツの苗木
block.pamhc2trees.pawpaw_sapling,Pawpaw Sapling,ポーポー
block.pamhc2trees.peach_sapling,Peach Sapling,モモの苗木
block.pamhc2trees.pear_sapling,Pear Sapling,なしの苗木
block.pamhc2trees.pecan_sapling,Pecan Sapling,ペカンの苗木
block.pamhc2trees.peppercorn_sapling,Peppercorn Sapling,ペッパーコーン
