key,source_text,target_text
block.pipez.energy_pipe,Energy Pipe,エネルギーパイプ
block.pipez.fluid_pipe,Fluid Pipe,流体パイプ
block.pipez.gas_pipe,Gas Pipe,ガスパイプ
block.pipez.item_pipe,Item Pipe,アイテムパイプ
block.pipez.universal_pipe,Universal Pipe,ユニバーサルパイプ
config.jade.plugin_pipez.pipe,Pipe,パイプ
item.pipez.advanced_upgrade,Advanced Pipe Upgrade,発展パイプアップグレード
item.pipez.basic_upgrade,Basic Pipe Upgrade,基本パイプアップグレード
item.pipez.filter_destination_tool,Filter Destination Tool,目的地フィルターツール
item.pipez.improved_upgrade,Improved Pipe Upgrade,改良パイプアップグレード
item.pipez.infinity_upgrade,Infinity Pipe Upgrade,無限パイプアップグレード
item.pipez.ultimate_upgrade,Ultimate Pipe Upgrade,究極パイプアップグレード
item.pipez.wrench,Pipe Wrench,パイプレンチ
itemGroup.pipez,Pipez,パイペズ
message.pipez.direction.down,Down,下
message.pipez.direction.east,East,東
message.pipez.direction.north,North,北
message.pipez.direction.south,South,南
message.pipez.direction.up,Up,上
message.pipez.direction.west,West,西
message.pipez.filter.add,Add,追加
message.pipez.filter.any_item,Any item,任意の
message.pipez.filter.cancel,Cancel,キャンセル
message.pipez.filter.destination,Destination,目的地
message.pipez.filter.edit,Edit,編集
message.pipez.filter.inverted,Inverted,反転
message.pipez.filter.item,Item: %s,アイテム：%s
message.pipez.filter.item_tag,Item/Tag,アイテム／タグ
message.pipez.filter.nbt,NBT: %s,NBT：%s
message.pipez.filter.nbt.exact,(exact),(正確)
message.pipez.filter.nbt.tag,%s Tag,%s個のタグ
message.pipez.filter.nbt.tags,%s Tags,%s個のタグ
message.pipez.filter.nbt_string,NBT Data,NBTデータ
message.pipez.filter.remove,Remove,削除
message.pipez.filter.submit,Submit,確定
message.pipez.filter.tag,Tag: %s,タグ：%s
message.pipez.filter_destination_tool.destination,"Destination: %s, %s, %s, %s","目的地：%s, %s, %s, %s"
message.pipez.filter_destination_tool.destination.any,Destination: Any,目的地：任意
message.pipez.filter_destination_tool.destination.set,Destination set,目的地を設定しました
tooltip.pipez.distribution,Distribution: %s,目的地：%s
tooltip.pipez.distribution.furthest,Furthest First,遠い方を優先
tooltip.pipez.distribution.nearest,Nearest First,近い方を優先
tooltip.pipez.distribution.random,Random,ランダム
tooltip.pipez.distribution.round_robin,Round Robin,順繰り分配
tooltip.pipez.energy,Energy,エネルギー
tooltip.pipez.filter.accepts_tag,Any %s,任意の%s
tooltip.pipez.filter.destination.click_to_remove,Click to remove,クリックして削除
tooltip.pipez.filter.destination.description,Use the filter destination tool to set a destination,目的地フィルターツールで目的地を設定
tooltip.pipez.filter.destination_distance,%s block(s) away,距離：%sブロック
tooltip.pipez.filter.destination_location,"At X=%s, Y=%s, Z=%s","位置：X=%s, Y=%s, Z=%s"
tooltip.pipez.filter.destination_side,Facing %s,方向：%s
tooltip.pipez.filter.inverted,Inverted,反転
tooltip.pipez.filter.item_tag.description,Tags prefixed with # or item IDs,タグ(接頭辞：#)またはアイテムID
tooltip.pipez.filter.nbt.exact,Match exact NBT data,正確なNBTデータと一致
tooltip.pipez.filter.nbt.not_exact,Match only provided tags,指定されたタグのみと一致
tooltip.pipez.filter.nbt_string.description,NBT Data,NBTデータ
tooltip.pipez.filter.nbt_string.no_nbt,This type can't have NBT tags,NBTタグを持つことができない種類です
tooltip.pipez.filter.not,Not,以外
tooltip.pipez.filter.not_inverted,Regular,通常
tooltip.pipez.filter.unknown_block,UNKNOWN BLOCK,不明なブロック
tooltip.pipez.filter_destination_tool,Click on a block to set destination,ブロックをクリックして目的地を設定
tooltip.pipez.filter_destination_tool.destination,"Destination: X=%s, Y=%s, Z=%s, %s","目的地：X=%s, Y=%s, Z=%s, %s"
tooltip.pipez.filter_mode,Filter Mode: %s,フィルター：%s
tooltip.pipez.filter_mode.blacklist,Blacklist,ブラックリスト
tooltip.pipez.filter_mode.whitelist,Whitelist,ホワイトリスト
tooltip.pipez.fluid,Fluid,流体
tooltip.pipez.gas,Gas,ガス
tooltip.pipez.item,Items,アイテム
tooltip.pipez.no_upgrade,No Upgrade,アップグレードなし
tooltip.pipez.rate.energy,Transferring %s FE every tick,1ティック毎に%s FEのエネルギーを輸送
tooltip.pipez.rate.fluid,Transferring %s mB every tick,1ティック毎に%s mBの流体を輸送
tooltip.pipez.rate.gas,Transferring %s mB gas every tick,1ティック毎に%s mBのガスを輸送
tooltip.pipez.rate.item,Transferring %s items every %s tick(s),%2$sティック毎に%1$s個のアイテムを輸送
tooltip.pipez.redstone_mode,Redstone Mode: %s,レッドストーン：%s
tooltip.pipez.redstone_mode.always_off,Always Off,常にオフ
tooltip.pipez.redstone_mode.ignored,Ignored,無視
tooltip.pipez.redstone_mode.off_when_powered,Off When Powered,オフのときのみ動作
tooltip.pipez.redstone_mode.on_when_powered,On When Powered,オンのときのみ動作
tooltip.pipez.upgrade.configured,Configured for %s,設定済み：%s
tooltip.pipez.upgrade.configured.energy,Energy,エネルギー
tooltip.pipez.upgrade.configured.fluid,Fluids,流体
tooltip.pipez.upgrade.configured.gas,Gases,ガス
tooltip.pipez.upgrade.configured.item,Items,アイテム
tooltip.pipez.wrench,Click on a pipe to configure,パイプをクリックして設定
