key,source_text,target_text
advancements.projecte.alch_bag,Pocket storage!,懐の貯蔵庫！
advancements.projecte.alch_bag.description,"All the wonders of an alchemical chest, in your pocket.",錬金チェストのすべての驚きを、懐中に。
advancements.projecte.alch_chest,Storage Upgrade!,貯蔵庫の強化！
advancements.projecte.alch_chest.description,"A ""little"" chest upgrade.",小さなチェストの強化。
advancements.projecte.collector,The power of the sun!,太陽の大力！
advancements.projecte.collector.description,Now the fun begins.,さて、お楽しみはこれからです。
advancements.projecte.condenser,Condense the world!,世界を凝縮！
advancements.projecte.condenser.description,MORE DIAMONDS!,もっともっともっとダイヤモンドを！！！
advancements.projecte.dark_matter,All that Matters.,すべてがヤバイ
advancements.projecte.dark_matter.description,It looks... weird....,それは...奇妙に感じる...
advancements.projecte.dark_matter_block,A block that Matters!,マターブロック
advancements.projecte.dark_matter_block.description,Stuffing matter together. Because that's a good idea.,詰めちゃおう。それはいい考えだから。
advancements.projecte.dark_matter_furnace,Hot matter!,あっついマター！
advancements.projecte.dark_matter_furnace.description,A furnace is even better when made from dark matter.,ダークマターから作られたなら、かまどがさらに良い性能になります。
advancements.projecte.dark_matter_pickaxe,Using Matter on Matter,マターにマターを使ってみる
advancements.projecte.dark_matter_pickaxe.description,Because why not?,なんで？
advancements.projecte.description,Correspondent Commerce?,相応の商業？
advancements.projecte.klein_star,EMC Batteries,EMC蓄電機
advancements.projecte.klein_star.description,Storing EMC for a rainy day.,EMCを雨の日のために蓄える。
advancements.projecte.klein_star_big,BIG EMC Batteries,でっかいEMC蓄電機
advancements.projecte.klein_star_big.description,Holding the universe in your pocket.,ポケットの中に世界をつかむ。
advancements.projecte.philo_stone,An alchemist's best friend!,錬金術士の右手！
advancements.projecte.philo_stone.description,Let's get things started! Craft a philosopher's stone,さあ始めよう！ 賢者の石を作る
advancements.projecte.red_matter,Even better Matter!,さらに良いマターを！
advancements.projecte.red_matter.description,The space time continuum may be broken.,時空連続体が壊れるかも。
advancements.projecte.red_matter_block,Red and shiny!,赤色で光輝く！
advancements.projecte.red_matter_block.description,Now you're getting somewhere!,もうあなたは取得している！
advancements.projecte.red_matter_furnace,Even hotter matter!,もっとあっついマター！
advancements.projecte.red_matter_furnace.description,"Wow, that thing is fast.",えっ、これ早すぎ。
advancements.projecte.red_matter_pickaxe,Is this thing safe?,これ安全なの？
advancements.projecte.red_matter_pickaxe.description,Probably not.,多分安全じゃない。
advancements.projecte.relay,Power flowers!,エネルギーの花！
advancements.projecte.relay.description,Linking collectors together for even more power.,より多くのエネルギーのためにコレクター同士をつなぐ。
