key,source_text,target_text
block.rftoolsbuilder.blue_shield_template_block,Blue Shield Template,青いシールドテンプレート
block.rftoolsbuilder.builder,Builder,ビルダー
block.rftoolsbuilder.green_shield_template_block,Green Shield Template,緑のシールドテンプレート
block.rftoolsbuilder.invisible_mover,Vehicle,ビークル
block.rftoolsbuilder.mover,Mover,ムーバー
block.rftoolsbuilder.mover_control,Mover Control,ムーバーコントロール
block.rftoolsbuilder.mover_control2,Mover Control (Page 2),ムーバーコントロール (ページ2)
block.rftoolsbuilder.mover_control3,Mover Control (Page 3),ムーバーコントロール (ページ3)
block.rftoolsbuilder.mover_control4,Mover Control (Page 4),ムーバーコントロール (ページ4)
block.rftoolsbuilder.mover_controller,Mover Controller,ムーバーコントローラー
block.rftoolsbuilder.mover_status,Mover Status,ムーバーステータス
block.rftoolsbuilder.red_shield_template_block,Red Shield Template,赤いシールドテンプレート
block.rftoolsbuilder.shield_block1,Shield Projector Tier 1,シールドプロジェクターティア1
block.rftoolsbuilder.shield_block2,Shield Projector Tier 2,シールドプロジェクターティア2
block.rftoolsbuilder.shield_block3,Shield Projector Tier 3,シールドプロジェクターティア3
block.rftoolsbuilder.shield_block4,Shield Projector Tier 4,シールドプロジェクターティア4
block.rftoolsbuilder.shielding_cutout,Shield,シールド
block.rftoolsbuilder.shielding_solid,Shield,シールド
block.rftoolsbuilder.shielding_translucent,Shield,シールド
block.rftoolsbuilder.space_chamber,Space Chamber,スペースチャンバー
block.rftoolsbuilder.space_chamber_controller,Space Chamber Controller,スペースチャンバーコントローラー
block.rftoolsbuilder.support_block,Support Block,サポートブロック
block.rftoolsbuilder.vehicle_builder,Vehicle Builder,ビークルビルダー
block.rftoolsbuilder.yellow_shield_template_block,Yellow Shield Template,黄色いシールドテンプレート
item.rftoolsbuilder.shape_card_def,Shape Card,シェイプカード
item.rftoolsbuilder.shape_card_liquid,Shape Card (Placing Liquids),シェイプカード (液体配置)
item.rftoolsbuilder.shape_card_pump,Shape Card (Pump),シェイプカード (ポンプ)
item.rftoolsbuilder.shape_card_pump_clear,Shape Card (Clearing Pump),シェイプカード (クリアリングポンプ)
item.rftoolsbuilder.shape_card_quarry,Shape Card (Quarry),シェイプカード (採掘機)
item.rftoolsbuilder.shape_card_quarry_clear,Shape Card (Clearing Quarry),シェイプカード (クリアリング採掘機)
item.rftoolsbuilder.shape_card_quarry_clear_fortune,Shape Card (Clearing Fortune Quarry),シェイプカード (クリアリングフォーチュン採掘機)
item.rftoolsbuilder.shape_card_quarry_clear_silk,Shape Card (Clearing Silk Quarry),シェイプカード (クリアリングシルク採掘機)
item.rftoolsbuilder.shape_card_quarry_fortune,Shape Card (Fortune Quarry),シェイプカード (フォーチュン採掘機)
item.rftoolsbuilder.shape_card_quarry_silk,Shape Card (Silk Quarry),シェイプカード (シルク採掘機)
item.rftoolsbuilder.shape_card_void,Shape Card (Void),シェイプカード (ボイド)
item.rftoolsbuilder.space_chamber_card,Space Card,スペースカード
item.rftoolsbuilder.vehicle_card,Vehicle Card,ビークルカード
item.rftoolsbuilder.vehicle_control_module,Vehicle Control Module,ビークルコントロールモジュール
item.rftoolsbuilder.vehicle_status_module,Vehicle Status Module,ビークルステータスモジュール
itemGroup.rftoolsbuilder,RFTools Builder,RFツールズ ビルダー
key.unmountVehicle,Unmount Vehicle,ビークルから下車
message.rftoolsbuilder.blue_shield_template_block.header,This block can be used to build a shield. The set of template blocks with the same color should touch the shield projector,このブロックはシールドを構築するために使用できます。同じ色のテンプレートブロックセットはシールドプロジェクターに接していることが必要です
message.rftoolsbuilder.builder.gold,Infusing bonus: reduced power consumption and increased speed,インフューズボーナス: 電力消費量削減と速度向上
message.rftoolsbuilder.builder.header,"This block can quarry areas, pump liquids, move/copy/swap structures, collect items and XP, move entities, build structures, ...",このブロックは領域を採掘、液体をポンプ、構造を移動/コピー/スワップ、アイテムとXPを収集、エンティティを移動、構造を構築できます
message.rftoolsbuilder.green_shield_template_block.header,This block can be used to build a shield. The set of template blocks with the same color should touch the shield projector,このブロックはシールドを構築するために使用できます。同じ色のテンプレートブロックセットはシールドプロジェクターに接していることが必要です
message.rftoolsbuilder.mover.gold,Use in combination with a mover controller,ムーバーコントローラーと組み合わせて使用してください
message.rftoolsbuilder.mover.header,This block can move vehicles to other movers,このブロックは他のムーバーにビークルを移動できます
message.rftoolsbuilder.mover_control.gold,Put this in your vehicle!,これをビークルに入れてください!
