key,source_text,target_text
advancements.sgjourney.adventure.archeology_table.description,Craft an Archeology Table,考古学テーブルをクラフトする
advancements.sgjourney.adventure.archeology_table.title,Archeology!,考古学者！
advancements.sgjourney.adventure.root.description,Start your journey into the Stargate universe by finding a Golden Idol,ゴールデンアイドルを見つけてスターゲイト宇宙への旅を始める
advancements.sgjourney.adventure.root.title,Stargate Journey,スターゲイト・ジャーニー
advancements.sgjourney.adventure.travel_far.description,Travel 50000 blocks through a Stargate,スターゲイトを通じて50000ブロック移動する
advancements.sgjourney.adventure.travel_far.title,Not quite light-years away,光年とまではいかないが
advancements.sgjourney.adventure.use_stargate.description,Step through the Stargate for the first time,スターゲイトを初めて通過する
advancements.sgjourney.adventure.use_stargate.title,Who needs starships?,宇宙船は要らない？
advancements.sgjourney.adventure.visit_abydos.description,Visit Abydos,アビドスを訪問する
advancements.sgjourney.adventure.visit_abydos.title,Further than ever before,これまで以上に遠い
advancements.sgjourney.adventure.visit_cavum_tenebrae.description,Visit Cavum Tenebrae,カヴム・テネブラエを訪問する
advancements.sgjourney.adventure.visit_cavum_tenebrae.title,Gravity,重力
advancements.sgjourney.adventure.visit_chulak.description,Visit Chulak,チュラクを訪問する
advancements.sgjourney.adventure.visit_chulak.title,"So, where's this Apophis guy?",で、アポフィスはどこに？
advancements.sgjourney.adventure.visit_lantea.description,Visit Lantea,ランテアを訪問する
advancements.sgjourney.adventure.visit_lantea.title,Welcome to Pegasus,ペガサスへようこそ
advancements.sgjourney.technology.mine_pure_naquadah.description,Mine Pure Naquadah,純粋なナクアダを採掘する
advancements.sgjourney.technology.mine_pure_naquadah.title,A quartz-like mineral,石英のような鉱物
advancements.sgjourney.technology.mine_raw_naquadah.description,Mine Raw Naquadah,粗鉱ナクアダを採掘する
advancements.sgjourney.technology.mine_raw_naquadah.title,Unlike any found on Earth...,地球にはない鉱物...
advancements.sgjourney.technology.obtain_advanced_crystal.description,Obtain an Advanced Crystal,高度なクリスタルを入手する
advancements.sgjourney.technology.obtain_advanced_crystal.title,Advanced Crystal Technology,高度なクリスタル技術
advancements.sgjourney.technology.obtain_advanced_crystal_interface.description,Create an Advanced Crystal Interface,高度なクリスタルインターフェースを作成する
advancements.sgjourney.technology.obtain_advanced_crystal_interface.title,Low level control,低レベルコントロール
advancements.sgjourney.technology.obtain_advanced_crystallizer.description,Craft an Advanced Crystallizer,高度なクリスタライザーをクラフトする
advancements.sgjourney.technology.obtain_advanced_crystallizer.title,Crystals really are something...,クリスタルは本当に何か...
advancements.sgjourney.technology.obtain_basic_interface.description,Jury rig a device capable of interfacing with the Stargate,スターゲイトとのインターフェースが可能な装置を応急処置する
advancements.sgjourney.technology.obtain_basic_interface.title,MacGyver would be proud,マッカイバーなら誇りに思うだろう
advancements.sgjourney.technology.obtain_classic_dhd.description,Craft a Classic DHD,クラシックDHDをクラフトする
advancements.sgjourney.technology.obtain_classic_dhd.title,My DHD,私のDHD
advancements.sgjourney.technology.obtain_classic_stargate_block.description,Craft a piece of the Classic Stargate,クラシックスターゲイトの一部をクラフトする
advancements.sgjourney.technology.obtain_classic_stargate_block.title,SG Craft,SGクラフト
advancements.sgjourney.technology.obtain_crystal.description,Obtain a Crystal,クリスタルを入手する
advancements.sgjourney.technology.obtain_crystal.title,Crystal Technology,クリスタル技術
advancements.sgjourney.technology.obtain_crystal_interface.description,Create a Crystal Interface,クリスタルインターフェースを作成する
advancements.sgjourney.technology.obtain_crystal_interface.title,15 years and 3 supercomputers...,15年と3台のスーパーコンピューター...
advancements.sgjourney.technology.obtain_crystallizer.description,Craft a Crystallizer,クリスタライザーをクラフトする
advancements.sgjourney.technology.obtain_crystallizer.title,Crystal growing kit!,クリスタル成長キット！
advancements.sgjourney.technology.obtain_heavy_naquadah_liquidizer.description,Craft a Heavy Naquadah Liquidizer,ヘビーナクアダ液化装置をクラフトする
advancements.sgjourney.technology.obtain_heavy_naquadah_liquidizer.title,It's gonna be heavy,思い結果になる
advancements.sgjourney.technology.obtain_matok.description,Obtain a Ma'Tok staff weapon,マ・トク・スタッフ・ウェポンを入手する
advancements.sgjourney.technology.obtain_matok.title,"Jaffa, Kree!",ジャッファ、クリー！
advancements.sgjourney.technology.obtain_naquadah.description,Obtain Weapons Grade Naquadah,兵器級ナクアダを入手する
