key,source_text,target_text,status
block.sophisticatedstorage.barrel,%s%sBarrel,%s%s樽,verified
block.sophisticatedstorage.barrel.tooltip.flat_top," (Flat Top)"," (平らな上部)",verified
block.sophisticatedstorage.chest,%s%sChest,%s%sチェスト,verified
block.sophisticatedstorage.controller,Storage Controller,ストレージコントローラ,verified
block.sophisticatedstorage.controller.tooltip,Allows to deposit and pipe items to and from a connected multiblock of storages,ストレージを連結させ、アイテムを出し入れできるようになります。,verified
block.sophisticatedstorage.copper_barrel,%s%sCopper Barrel,%s%s銅の樽,verified
block.sophisticatedstorage.copper_chest,%s%sCopper Chest,%s%s銅のチェスト,verified
block.sophisticatedstorage.copper_shulker_box,Copper Shulker Box,銅のシュルカーボックス,verified
block.sophisticatedstorage.decoration_table,Decoration Table,装飾テーブル,translated
block.sophisticatedstorage.diamond_barrel,%s%sDiamond Barrel,%s%sダイヤモンドの樽,verified
block.sophisticatedstorage.diamond_chest,%s%sDiamond Chest,%s%sダイヤモンドのチェスト,verified
block.sophisticatedstorage.diamond_shulker_box,Diamond Shulker Box,ダイヤモンドのシュルカーボックス,verified
block.sophisticatedstorage.gold_barrel,%s%sGold Barrel,%s%s金の樽,verified
block.sophisticatedstorage.gold_chest,%s%sGold Chest,%s%s金のチェスト,verified
block.sophisticatedstorage.gold_shulker_box,Gold Shulker Box,金のシュルカーボックス,verified
block.sophisticatedstorage.iron_barrel,%s%sIron Barrel,%s%s鉄の樽,verified
block.sophisticatedstorage.iron_chest,%s%sIron Chest,%s%s鉄のチェスト,verified
block.sophisticatedstorage.iron_shulker_box,Iron Shulker Box,鉄のシュルカーボックス,verified
block.sophisticatedstorage.limited_barrel_1,Limited %s%sBarrel I,%s%s専用樽 I,verified
block.sophisticatedstorage.limited_barrel_2,Limited %s%sBarrel II,%s%s専用樽 II,verified
block.sophisticatedstorage.limited_barrel_3,Limited %s%sBarrel III,%s%s専用樽 III,verified
block.sophisticatedstorage.limited_barrel_4,Limited %s%sBarrel IV,%s%s専用樽 IV,verified
block.sophisticatedstorage.limited_barrel_plural.tooltip,"%s slots, %sx base stack size multiplier",アイテム: %s種、容量: %sスタック,verified
block.sophisticatedstorage.limited_barrel_singular.tooltip,"%s slot, %sx base stack size multiplier",アイテム: %s種、容量: %sスタック,verified
block.sophisticatedstorage.limited_copper_barrel_1,Limited %s%sCopper Barrel I,%s%s銅の専用樽 I,verified
block.sophisticatedstorage.limited_copper_barrel_2,Limited %s%sCopper Barrel II,%s%s銅の専用樽 II,verified
block.sophisticatedstorage.limited_copper_barrel_3,Limited %s%sCopper Barrel III,%s%s銅の専用樽 III,verified
block.sophisticatedstorage.limited_copper_barrel_4,Limited %s%sCopper Barrel IV,%s%s銅の専用樽 IV,verified
block.sophisticatedstorage.limited_diamond_barrel_1,Limited %s%sDiamond Barrel I,%s%sダイヤモンドの専用樽 I,verified
block.sophisticatedstorage.limited_diamond_barrel_2,Limited %s%sDiamond Barrel II,%s%sダイヤモンドの専用樽 II,verified
block.sophisticatedstorage.limited_diamond_barrel_3,Limited %s%sDiamond Barrel III,%s%sダイヤモンドの専用樽 III,verified
block.sophisticatedstorage.limited_diamond_barrel_4,Limited %s%sDiamond Barrel IV,%s%sダイヤモンドの専用樽 IV,verified
block.sophisticatedstorage.limited_gold_barrel_1,Limited %s%sGold Barrel I,%s%s金の専用樽 I,verified
block.sophisticatedstorage.limited_gold_barrel_2,Limited %s%sGold Barrel II,%s%s金の専用樽 II,verified
block.sophisticatedstorage.limited_gold_barrel_3,Limited %s%sGold Barrel III,%s%s金の専用樽 III,verified
block.sophisticatedstorage.limited_gold_barrel_4,Limited %s%sGold Barrel IV,%s%s金の専用樽 IV,verified
block.sophisticatedstorage.limited_iron_barrel_1,Limited %s%sIron Barrel I,%s%s鉄の専用樽 I,verified
block.sophisticatedstorage.limited_iron_barrel_2,Limited %s%sIron Barrel II,%s%s鉄の専用樽 II,verified
block.sophisticatedstorage.limited_iron_barrel_3,Limited %s%sIron Barrel III,%s%s鉄の専用樽 III,verified
block.sophisticatedstorage.limited_iron_barrel_4,Limited %s%sIron Barrel IV,%s%s鉄の専用樽 IV,verified
block.sophisticatedstorage.limited_netherite_barrel_1,Limited %s%sNetherite Barrel I,%s%sネザライトの専用樽 I,verified
block.sophisticatedstorage.limited_netherite_barrel_2,Limited %s%sNetherite Barrel II,%s%sネザライトの専用樽 II,verified
block.sophisticatedstorage.limited_netherite_barrel_3,Limited %s%sNetherite Barrel III,%s%sネザライトの専用樽 III,verified
block.sophisticatedstorage.limited_netherite_barrel_4,Limited %s%sNetherite Barrel IV,%s%sネザライトの専用樽 IV,verified
block.sophisticatedstorage.netherite_barrel,%s%sNetherite Barrel,%s%sネザライトの樽,verified
block.sophisticatedstorage.netherite_chest,%s%sNetherite Chest,%s%sネザライトのチェスト,verified
block.sophisticatedstorage.netherite_shulker_box,Netherite Shulker Box,ネザライトのシュルカーボックス,verified
block.sophisticatedstorage.shulker_box,Shulker Box,シュルカーボックス,verified
block.sophisticatedstorage.storage_connector,%s Storage Connector,%sストレージコネクタ,translated
block.sophisticatedstorage.storage_connector.tooltip,Bridges gaps between storage blocks in a storage multiblock.,ストレージマルチブロック内のストレージブロック間のギャップを埋めます。,translated
block.sophisticatedstorage.storage_input,Storage Input,ストレージ収納装置,verified
block.sophisticatedstorage.storage_input.tooltip,"When placed in storage multiblock allows to pipe items into it
Optimized for low tps impact",パイプなどでアイテムを収納することができます,verified
block.sophisticatedstorage.storage_io,Storage I/O,ストレージ入出力,verified
block.sophisticatedstorage.storage_io.tooltip,When placed in storage multiblock allows to pipe items to and from it,パイプなどからアイテムを入れたり出したりできます,verified
block.sophisticatedstorage.storage_link,Storage Link,ストレージ連結装置,verified
block.sophisticatedstorage.storage_link.tooltip,"Connects separate multiblock of storages to controller
Use Storage Tool to link to controller","隣接していないストレージを連結します。
ストレージツールを使ってコントローラとリンクさせます。",verified
block.sophisticatedstorage.storage_output,Storage Output,ストレージ搬出装置,verified
block.sophisticatedstorage.storage_output.tooltip,When placed in storage multiblock allows to pipe items out of it,パイプなどでアイテムを取り出すことができます,verified
gui.sophisticatedstorage.back_to_storage.tooltip,Back To Storage,戻る,verified
gui.sophisticatedstorage.barrel_part.all,All Parts,全パーツ,translated
gui.sophisticatedstorage.barrel_part.all_but_trim,All Main,全メイン,translated
gui.sophisticatedstorage.barrel_part.all_trim,All Accents,全アクセント,translated
gui.sophisticatedstorage.barrel_part.bottom,Bottom Main,下メイン,translated
gui.sophisticatedstorage.barrel_part.bottom_all,All Bottom,下全部,translated
gui.sophisticatedstorage.barrel_part.bottom_trim,Bottom Accent,下アクセント,translated
gui.sophisticatedstorage.barrel_part.side,Side Main,側メイン,translated
gui.sophisticatedstorage.barrel_part.side_all,All Side,側全部,translated
gui.sophisticatedstorage.barrel_part.side_trim,Side Accent,側アクセント,translated
gui.sophisticatedstorage.barrel_part.top,Top Main,上メイン,translated
gui.sophisticatedstorage.barrel_part.top_all,All Top,上全部,translated
gui.sophisticatedstorage.barrel_part.top_inner_trim,Top Inner Accent,上内側アクセント,translated
gui.sophisticatedstorage.barrel_part.top_trim,Top Accent,上アクセント,translated
gui.sophisticatedstorage.block_side.back,Back,背面,verified
gui.sophisticatedstorage.block_side.bottom,Bottom,底面,verified
gui.sophisticatedstorage.block_side.front,Front,前面,verified
gui.sophisticatedstorage.block_side.left,Left,左面,verified
gui.sophisticatedstorage.block_side.right,Right,右面,verified
gui.sophisticatedstorage.block_side.top,Top,上面,verified
gui.sophisticatedstorage.buttons.decoration_inheritance_off,Don't Reuse Material,マテリアルを再利用しない,translated
gui.sophisticatedstorage.buttons.decoration_inheritance_on,Reuse Material,マテリアルを再利用,translated
gui.sophisticatedstorage.buttons.pick_color,Click to Pick Color,クリックして色を選択,translated
gui.sophisticatedstorage.buttons.upgrade_switch_disabled,OFF,オフ,translated
gui.sophisticatedstorage.buttons.upgrade_switch_enabled,ON,オン,translated
gui.sophisticatedstorage.direction.down,Down,下,verified
gui.sophisticatedstorage.direction.east,East,東,verified
gui.sophisticatedstorage.direction.north,North,北,verified
gui.sophisticatedstorage.direction.south,South,南,verified
gui.sophisticatedstorage.direction.up,Up,上,verified
gui.sophisticatedstorage.direction.west,West,西,verified
gui.sophisticatedstorage.error.add.compacting_exists,There's already Compacting Upgrade in another upgrade slot,別のアップグレードスロットに既にコンパクティングアップグレードがあります,translated
gui.sophisticatedstorage.error.add.compression_exists,There's already Compression Upgrade in another upgrade slot,別のアップグレードスロットに既にコンプレッションアップグレードがあります,translated
gui.sophisticatedstorage.error.add.compression_incompatible_items,Item(s) in these slots can't be compressed from the previous slot,このスロットのアイテムは分解レシピがないか、無関係なアイテムが後ろのスロットに置かれています。,verified
gui.sophisticatedstorage.error.add.compression_no_space,There are no additional slots this compression upgrade can manage,結合分解機能で使用する空きスロットがありません。,verified
gui.sophisticatedstorage.settings.buttons.context_storage,Storage,個別に適用,verified
gui.sophisticatedstorage.settings.buttons.context_storage.tooltip,This Storage's settings,チェストごとに設定,verified
gui.sophisticatedstorage.settings.buttons.context_storage.tooltip_detail,Inherited from player or overriden for this storage,プレイヤ単位の設定を引き継ぐか、個別に設定したものが適用されます。,verified
gui.sophisticatedstorage.settings.storage,Storage,設定,verified
gui.sophisticatedstorage.settings.storage.tooltip,Storage Settings,チェストの設定,verified
gui.sophisticatedstorage.settings.title,Settings,設定,verified
gui.sophisticatedstorage.settings.tooltip,Settings,設定,verified
gui.sophisticatedstorage.status.infinity_upgrade_only_admin_break,Only Admins can break storage with Infinity Upgrade,インフィニティアップグレード付きのストレージを破壊できるのは管理者のみです,translated
gui.sophisticatedstorage.status.packing_tape_disabled,Config set to drop all storages as packed without the need for packing tape,設定によりパッキングテープなしですべてのストレージがパック状態でドロップします,translated
gui.sophisticatedstorage.status.too_low_tier_upgrade_count,Upgrading requires %s %ss,アップグレードには%s個の %s が必要です。,verified
gui.sophisticatedstorage.status.too_many_item_entity_drops,"Can't break the %s as it would cause too many (%s) item entities to drop from it
Consider using %s or break it while sneaking to skip this check","その %s を壊すと%s個のアイテムをドロップするため壊せません。
%sを使用するか、SHIFTを押しながら壊してください。",verified
