key,source_text,target_text
block.storagedelight.acacia_bookshelf_with_door,Acacia Bookshelf with Door,扉付きアカシアの本棚
block.storagedelight.acacia_bookshelf_with_door,Acacia Bookshelf with Door,扉付きアカシアの本棚
block.storagedelight.acacia_cabinet_with_glass_doors,Acacia Cabinet with Glass Doors,ガラス扉のアカシア製キャビネット
block.storagedelight.acacia_cabinet_with_glass_doors,Acacia Cabinet with Glass Doors,ガラス扉のアカシア製キャビネット
block.storagedelight.acacia_drawer,Acacia Drawer,アカシアの引き出し
block.storagedelight.acacia_drawer,Acacia Drawer,アカシアの引き出し
block.storagedelight.acacia_drawer_with_books,Acacia Drawer with Books,アカシアの本付き引き出し
block.storagedelight.acacia_drawer_with_books,Acacia Drawer with Books,アカシアの本付き引き出し
block.storagedelight.acacia_drawer_with_door,Acacia Drawer with Door,アカシアのドア付き引き出し
block.storagedelight.acacia_drawer_with_door,Acacia Drawer with Door,アカシアのドア付き引き出し
block.storagedelight.acacia_single_door_cabinet,Acacia Single Door Cabinet,アカシアの片扉キャビネット
block.storagedelight.acacia_single_door_cabinet,Acacia Single Door Cabinet,アカシアの片扉キャビネット
block.storagedelight.bamboo_bookshelf_with_door,Bamboo Bookshelf with Door,扉付きバンブーの本棚
block.storagedelight.bamboo_bookshelf_with_door,Bamboo Bookshelf with Door,扉付きバンブーの本棚
block.storagedelight.bamboo_cabinet_with_glass_doors,Bamboo Cabinet with Glass Doors,ガラス扉の竹製キャビネット
block.storagedelight.bamboo_cabinet_with_glass_doors,Bamboo Cabinet with Glass Doors,ガラス扉の竹製キャビネット
block.storagedelight.bamboo_drawer,Bamboo Drawer,竹製の引き出し
block.storagedelight.bamboo_drawer,Bamboo Drawer,竹製の引き出し
block.storagedelight.bamboo_drawer_with_books,Bamboo Drawer with Books,竹の本付き引き出し
block.storagedelight.bamboo_drawer_with_books,Bamboo Drawer with Books,竹の本付き引き出し
block.storagedelight.bamboo_drawer_with_door,Bamboo Drawer with Door,竹のドア付き引き出し
block.storagedelight.bamboo_drawer_with_door,Bamboo Drawer with Door,竹のドア付き引き出し
block.storagedelight.bamboo_single_door_cabinet,Bamboo Single Door Cabinet,竹の片扉キャビネット
block.storagedelight.bamboo_single_door_cabinet,Bamboo Single Door Cabinet,竹の片扉キャビネット
block.storagedelight.birch_bookshelf_with_door,Birch Bookshelf with Door,扉付きバーチの本棚
block.storagedelight.birch_bookshelf_with_door,Birch Bookshelf with Door,扉付きバーチの本棚
block.storagedelight.birch_cabinet_with_glass_doors,Birch Cabinet with Glass Doors,ガラス扉の白樺製キャビネット
block.storagedelight.birch_cabinet_with_glass_doors,Birch Cabinet with Glass Doors,ガラス扉の白樺製キャビネット
block.storagedelight.birch_drawer,Birch Drawer,白樺の引き出し
block.storagedelight.birch_drawer,Birch Drawer,白樺の引き出し
block.storagedelight.birch_drawer_with_books,Birch Drawer with Books,白樺の本付き引き出し
block.storagedelight.birch_drawer_with_books,Birch Drawer with Books,白樺の本付き引き出し
block.storagedelight.birch_drawer_with_door,Birch Drawer with Door,白樺のドア付き引き出し
block.storagedelight.birch_drawer_with_door,Birch Drawer with Door,白樺のドア付き引き出し
block.storagedelight.birch_single_door_cabinet,Birch Single Door Cabinet,白樺の片扉キャビネット
block.storagedelight.birch_single_door_cabinet,Birch Single Door Cabinet,白樺の片扉キャビネット
block.storagedelight.cherry_bookshelf_with_door,Cherry Bookshelf with Door,扉付きチェリーの本棚
block.storagedelight.cherry_bookshelf_with_door,Cherry Bookshelf with Door,扉付きチェリーの本棚
block.storagedelight.cherry_cabinet_with_glass_doors,Cherry Cabinet with Glass Doors,ガラス扉のチェリー製キャビネット
block.storagedelight.cherry_cabinet_with_glass_doors,Cherry Cabinet with Glass Doors,ガラス扉のチェリー製キャビネット
block.storagedelight.cherry_drawer,Cherry Drawer,チェリーの引き出し
block.storagedelight.cherry_drawer,Cherry Drawer,チェリーの引き出し
block.storagedelight.cherry_drawer_with_books,Cherry Drawer with Books,桜の本付き引き出し
block.storagedelight.cherry_drawer_with_books,Cherry Drawer with Books,桜の本付き引き出し
block.storagedelight.cherry_drawer_with_door,Cherry Drawer with Door,桜のドア付き引き出し
block.storagedelight.cherry_drawer_with_door,Cherry Drawer with Door,桜のドア付き引き出し
block.storagedelight.cherry_single_door_cabinet,Cherry Single Door Cabinet,チェリーの片扉キャビネット
block.storagedelight.cherry_single_door_cabinet,Cherry Single Door Cabinet,チェリーの片扉キャビネット
block.storagedelight.crimson_bookshelf_with_door,Crimson Bookshelf with Door,扉付きクリムゾンの本棚
block.storagedelight.crimson_bookshelf_with_door,Crimson Bookshelf with Door,扉付きクリムゾンの本棚
block.storagedelight.crimson_cabinet_with_glass_doors,Crimson Cabinet with Glass Doors,ガラス扉の深紅色のキャビネット
block.storagedelight.crimson_cabinet_with_glass_doors,Crimson Cabinet with Glass Doors,ガラス扉の深紅色のキャビネット
block.storagedelight.crimson_drawer,Crimson Drawer,クリムゾンの引き出し
block.storagedelight.crimson_drawer,Crimson Drawer,クリムゾンの引き出し
block.storagedelight.crimson_drawer_with_books,Crimson Drawer with Books,クリムゾンの本付き引き出し
block.storagedelight.crimson_drawer_with_books,Crimson Drawer with Books,クリムゾンの本付き引き出し
block.storagedelight.crimson_drawer_with_door,Crimson Drawer with Door,クリムゾンのドア付き引き出し
block.storagedelight.crimson_drawer_with_door,Crimson Drawer with Door,クリムゾンのドア付き引き出し
block.storagedelight.crimson_single_door_cabinet,Crimson Single Door Cabinet,クリムゾンの片扉キャビネット
block.storagedelight.crimson_single_door_cabinet,Crimson Single Door Cabinet,クリムゾンの片扉キャビネット
block.storagedelight.dark_oak_bookshelf_with_door,Dark Oak Bookshelf with Door,扉付きダークオークの本棚
block.storagedelight.dark_oak_bookshelf_with_door,Dark Oak Bookshelf with Door,扉付きダークオークの本棚
block.storagedelight.dark_oak_cabinet_with_glass_doors,Dark Oak Cabinet with Glass Doors,ガラス扉のダークオーク製キャビネット
block.storagedelight.dark_oak_cabinet_with_glass_doors,Dark Oak Cabinet with Glass Doors,ガラス扉のダークオーク製キャビネット
block.storagedelight.dark_oak_drawer,Dark Oak Drawer,ダークオークの引き出し
block.storagedelight.dark_oak_drawer,Dark Oak Drawer,ダークオークの引き出し
block.storagedelight.dark_oak_drawer_with_books,Dark Oak Drawer with Books,ダークオークの本付き引き出し
block.storagedelight.dark_oak_drawer_with_books,Dark Oak Drawer with Books,ダークオークの本付き引き出し
block.storagedelight.dark_oak_drawer_with_door,Dark Oak Drawer with Door,ダークオークのドア付き引き出し
block.storagedelight.dark_oak_drawer_with_door,Dark Oak Drawer with Door,ダークオークのドア付き引き出し
block.storagedelight.dark_oak_single_door_cabinet,Dark Oak Single Door Cabinet,ダークオークの片扉キャビネット
block.storagedelight.dark_oak_single_door_cabinet,Dark Oak Single Door Cabinet,ダークオークの片扉キャビネット
block.storagedelight.glass_acacia_cabinet,Glass Acacia Cabinet,ガラスアカシアキャビネット
block.storagedelight.glass_acacia_cabinet,Glass Acacia Cabinet,ガラスアカシアキャビネット
block.storagedelight.glass_bamboo_cabinet,Glass Bamboo Cabinet,ガラス竹製キャビネット
block.storagedelight.glass_bamboo_cabinet,Glass Bamboo Cabinet,ガラス竹製キャビネット
block.storagedelight.glass_birch_cabinet,Glass Birch Cabinet,ガラス白樺キャビネット
block.storagedelight.glass_birch_cabinet,Glass Birch Cabinet,ガラス白樺キャビネット
block.storagedelight.glass_cherry_cabinet,Glass Cherry Cabinet,ガラスチェリーキャビネット
block.storagedelight.glass_cherry_cabinet,Glass Cherry Cabinet,ガラスチェリーキャビネット
block.storagedelight.glass_crimson_cabinet,Glass Crimson Cabinet,ガラスクリムゾンキャビネット
block.storagedelight.glass_crimson_cabinet,Glass Crimson Cabinet,ガラスクリムゾンキャビネット
block.storagedelight.glass_dark_oak_cabinet,Glass Dark Oak Cabinet,ガラスダークオークキャビネット
block.storagedelight.glass_dark_oak_cabinet,Glass Dark Oak Cabinet,ガラスダークオークキャビネット
block.storagedelight.glass_jungle_cabinet,Glass Jungle Cabinet,ガラスジャングルキャビネット
block.storagedelight.glass_jungle_cabinet,Glass Jungle Cabinet,ガラスジャングルキャビネット
block.storagedelight.glass_mangrove_cabinet,Glass Mangrove Cabinet,ガラスマングローブキャビネット
block.storagedelight.glass_mangrove_cabinet,Glass Mangrove Cabinet,ガラスマングローブキャビネット
block.storagedelight.glass_oak_cabinet,Glass Oak Cabinet,ガラスオークキャビネット
block.storagedelight.glass_oak_cabinet,Glass Oak Cabinet,ガラスオークキャビネット
block.storagedelight.glass_pale_oak_cabinet,Glass Pale Oak Cabinet,ガラス付きの淡いオークのキャビネット
block.storagedelight.glass_pale_oak_cabinet,Glass Pale Oak Cabinet,ガラス付きの淡いオークのキャビネット
block.storagedelight.glass_spruce_cabinet,Glass Spruce Cabinet,ガラス松キャビネット
block.storagedelight.glass_spruce_cabinet,Glass Spruce Cabinet,ガラス松キャビネット
block.storagedelight.glass_warped_cabinet,Glass Warped Cabinet,ガラスワープドキャビネット
block.storagedelight.glass_warped_cabinet,Glass Warped Cabinet,ガラスワープドキャビネット
block.storagedelight.jungle_bookshelf_with_door,Jungle Bookshelf with Door,扉付きジャングルウッドの本棚
block.storagedelight.jungle_bookshelf_with_door,Jungle Bookshelf with Door,扉付きジャングルウッドの本棚
block.storagedelight.jungle_cabinet_with_glass_doors,Jungle Cabinet with Glass Doors,ガラス扉のジャングル製キャビネット
block.storagedelight.jungle_cabinet_with_glass_doors,Jungle Cabinet with Glass Doors,ガラス扉のジャングル製キャビネット
block.storagedelight.jungle_drawer,Jungle Drawer,ジャングルの引き出し
block.storagedelight.jungle_drawer,Jungle Drawer,ジャングルの引き出し
block.storagedelight.jungle_drawer_with_books,Jungle Drawer with Books,ジャングルの本付き引き出し
block.storagedelight.jungle_drawer_with_books,Jungle Drawer with Books,ジャングルの本付き引き出し
block.storagedelight.jungle_drawer_with_door,Jungle Drawer with Door,ジャングルのドア付き引き出し
block.storagedelight.jungle_drawer_with_door,Jungle Drawer with Door,ジャングルのドア付き引き出し
block.storagedelight.jungle_single_door_cabinet,Jungle Single Door Cabinet,ジャングルの片扉キャビネット
block.storagedelight.jungle_single_door_cabinet,Jungle Single Door Cabinet,ジャングルの片扉キャビネット
block.storagedelight.mangrove_bookshelf_with_door,Mangrove Bookshelf with Door,扉付きマングローブの本棚
block.storagedelight.mangrove_bookshelf_with_door,Mangrove Bookshelf with Door,扉付きマングローブの本棚
block.storagedelight.mangrove_cabinet_with_glass_doors,Mangrove Cabinet with Glass Doors,ガラス扉のマングローブ製キャビネット
block.storagedelight.mangrove_cabinet_with_glass_doors,Mangrove Cabinet with Glass Doors,ガラス扉のマングローブ製キャビネット
block.storagedelight.mangrove_drawer,Mangrove Drawer,マングローブの引き出し
block.storagedelight.mangrove_drawer,Mangrove Drawer,マングローブの引き出し
block.storagedelight.mangrove_drawer_with_books,Mangrove Drawer with Books,マングローブの本付き引き出し
block.storagedelight.mangrove_drawer_with_books,Mangrove Drawer with Books,マングローブの本付き引き出し
block.storagedelight.mangrove_drawer_with_door,Mangrove Drawer with Door,マングローブのドア付き引き出し
block.storagedelight.mangrove_drawer_with_door,Mangrove Drawer with Door,マングローブのドア付き引き出し
block.storagedelight.mangrove_single_door_cabinet,Mangrove Single Door Cabinet,マングローブの片扉キャビネット
block.storagedelight.mangrove_single_door_cabinet,Mangrove Single Door Cabinet,マングローブの片扉キャビネット
block.storagedelight.oak_bookshelf_with_door,Oak Bookshelf with Door,扉付きオークの本棚
block.storagedelight.oak_bookshelf_with_door,Oak Bookshelf with Door,扉付きオークの本棚
block.storagedelight.oak_cabinet_with_glass_doors,Oak Cabinet with Glass Doors,ガラス扉のオーク製キャビネット
block.storagedelight.oak_cabinet_with_glass_doors,Oak Cabinet with Glass Doors,ガラス扉のオーク製キャビネット
block.storagedelight.oak_drawer,Oak Drawer,オークの引き出し
block.storagedelight.oak_drawer,Oak Drawer,オークの引き出し
block.storagedelight.oak_drawer_with_books,Oak Drawer with Books,オークの本付き引き出し
block.storagedelight.oak_drawer_with_books,Oak Drawer with Books,オークの本付き引き出し
block.storagedelight.oak_drawer_with_door,Oak Drawer with Door,オークのドア付き引き出し
block.storagedelight.oak_drawer_with_door,Oak Drawer with Door,オークのドア付き引き出し
block.storagedelight.oak_single_door_cabinet,Oak Single Door Cabinet,オークの片扉キャビネット
block.storagedelight.oak_single_door_cabinet,Oak Single Door Cabinet,オークの片扉キャビネット
